,Median value (dollars),Total homes
"Springville village, New York: Summary level: 160, state:36> place:70442",132100,2028
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",104000,7511
"Canastota village, New York: Summary level: 160, state:36> place:12188",129300,2055
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",132300,27376
"Madison village, New York: Summary level: 160, state:36> place:44424",99000,208
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",200600,1074
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",395500,327
"Mayville village, New York: Summary level: 160, state:36> place:46239",111600,783
"Webster village, New York: Summary level: 160, state:36> place:78960",154400,2618
"Nichols village, New York: Summary level: 160, state:36> place:51110",86800,254
"Dexter village, New York: Summary level: 160, state:36> place:20500",115500,494
"Nassau village, New York: Summary level: 160, state:36> place:49506",153200,540
"Troy city, New York: Summary level: 160, state:36> place:75484",145800,23580
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",498500,10475
"Johnson City village, New York: Summary level: 160, state:36> place:38748",87300,7186
"Le Roy village, New York: Summary level: 160, state:36> place:42026",97900,1957
"Lisle village, New York: Summary level: 160, state:36> place:42642",92800,111
"Mohawk village, New York: Summary level: 160, state:36> place:47823",76700,1188
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",111100,819
"Millbrook village, New York: Summary level: 160, state:36> place:47273",331100,774
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",360100,1368
"Greece CDP, New York: Summary level: 160, state:36> place:30279",119900,6615
"Nyack village, New York: Summary level: 160, state:36> place:54100",460100,3798
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",461300,6116
"Suffern village, New York: Summary level: 160, state:36> place:71894",312100,4680
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",75000,527
"Palmyra village, New York: Summary level: 160, state:36> place:56187",101100,1521
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",84800,2063
"Horseheads village, New York: Summary level: 160, state:36> place:35694",110900,3250
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",83300,215
"Caledonia village, New York: Summary level: 160, state:36> place:11704",115700,1016
"Lima village, New York: Summary level: 160, state:36> place:42323",139700,982
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",243900,662
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",281200,1445
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",212500,347
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",251400,444
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",1006000,149
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",384300,6765
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",452000,1463
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",288700,10096
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",247400,3642
"Harriman village, New York: Summary level: 160, state:36> place:32325",218800,1220
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",454500,4318
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",249500,2475
"Waterville village, New York: Summary level: 160, state:36> place:78663",117700,687
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",194500,546
"Black River village, New York: Summary level: 160, state:36> place:06794",176500,592
"Carthage village, New York: Summary level: 160, state:36> place:12683",118000,1479
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",112500,271
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",239200,269
"Delhi village, New York: Summary level: 160, state:36> place:20126",151500,897
"Morristown village, New York: Summary level: 160, state:36> place:48571",95000,236
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",94200,1398
"Salem CDP, New York: Summary level: 160, state:36> place:64771",122700,394
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",189100,122
"Wells CDP, New York: Summary level: 160, state:36> place:79048",157200,514
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",-666666666,159
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",76500,556
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",140000,148
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",68500,165
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",253400,499
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",70500,221
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",112500,50
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",130400,928
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",147500,172
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",92700,677
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",261500,3093
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",487300,2422
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",599100,1547
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",74800,742
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",194900,14240
"Tivoli village, New York: Summary level: 160, state:36> place:74023",220100,588
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",164300,1171
"Southport CDP, New York: Summary level: 160, state:36> place:69606",82000,3492
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",311300,2063
"Buchanan village, New York: Summary level: 160, state:36> place:10341",372200,851
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",593300,8317
"Elmsford village, New York: Summary level: 160, state:36> place:24295",441200,1791
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",954400,2442
"Irvington village, New York: Summary level: 160, state:36> place:37803",664400,2707
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",159200,1792
"Brushton village, New York: Summary level: 160, state:36> place:10286",85700,238
"Burke village, New York: Summary level: 160, state:36> place:11154",85000,95
"Amityville village, New York: Summary level: 160, state:36> place:02044",398800,3603
"Babylon village, New York: Summary level: 160, state:36> place:03408",458400,4670
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",260800,10168
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",310700,7625
"Coram CDP, New York: Summary level: 160, state:36> place:18157",312300,15980
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",402000,4733
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",465200,7479
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",554600,3164
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",280200,2666
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1567700,1836
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",430700,3402
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",341500,10245
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",780000,1879
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",509500,3739
"Candor village, New York: Summary level: 160, state:36> place:12210",84300,347
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",410000,836
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",596600,751
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",547400,1625
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",406400,2045
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",597800,1030
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",464100,8254
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",355800,6843
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",437200,6608
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",494700,1295
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",94600,2923
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",80600,213
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",102600,144
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",-666666666,181
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",-666666666,112
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",108300,131
"Pike CDP, New York: Summary level: 160, state:36> place:57815",71900,120
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",120600,387
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",134400,66
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",137200,210
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",-666666666,0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",1563900,2047
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",114000,362
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",87900,333
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",133200,878
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",81500,151
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",750000,1333
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",121300,582
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",133600,1197
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",149000,1740
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",118000,218
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",163700,342
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",247200,1131
"Colton CDP, New York: Summary level: 160, state:36> place:17398",110200,176
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",111900,188
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",86400,221
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",201500,2053
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",168800,361
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",-666666666,107
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",100000,157
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",131600,475
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",79500,135
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",54100,116
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",64500,225
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",102600,277
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",192300,314
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",174000,350
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",118900,366
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",147400,6777
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",155000,368
"Erin CDP, New York: Summary level: 160, state:36> place:24625",45500,172
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",-666666666,184
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",77700,591
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",-666666666,58
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",222600,202
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",81100,276
"Gates CDP, New York: Summary level: 160, state:36> place:28453",116900,2098
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",781300,72
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",102400,445
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",-666666666,157
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",149100,2113
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",86600,135
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",866700,275
"Bellport village, New York: Summary level: 160, state:36> place:05771",446200,1132
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",376900,2973
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",359400,9085
"Springs CDP, New York: Summary level: 160, state:36> place:70387",702200,4778
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",356700,3887
"Walton village, New York: Summary level: 160, state:36> place:78036",103500,1542
"Albany city, New York: Summary level: 160, state:36> place:01000",173300,48625
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",109600,1732
"New York city, New York: Summary level: 160, state:36> place:51000",570500,3472354
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",143700,670
"Phelps village, New York: Summary level: 160, state:36> place:57518",110000,829
"Falconer village, New York: Summary level: 160, state:36> place:25164",68500,1235
"Jamestown city, New York: Summary level: 160, state:36> place:38264",64400,15035
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",81800,1157
"Turin village, New York: Summary level: 160, state:36> place:75682",90000,144
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",662100,5396
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",1617500,279
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",429400,587
"Westbury village, New York: Summary level: 160, state:36> place:79444",445100,5223
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",993500,282
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",86900,858
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",142200,203
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",85000,358
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",203200,3192
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",1097800,360
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",241200,2190
"Phoenix village, New York: Summary level: 160, state:36> place:57661",89100,1171
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",99700,341
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",267900,1297
"Florida village, New York: Summary level: 160, state:36> place:26319",251500,1066
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",250300,1650
"Middletown city, New York: Summary level: 160, state:36> place:47042",182400,11504
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",231900,3800
"Walden village, New York: Summary level: 160, state:36> place:77849",197200,2399
"West Point CDP, New York: Summary level: 160, state:36> place:80747",-666666666,1021
"Chester village, New York: Summary level: 160, state:36> place:15297",196100,1578
"Fishkill village, New York: Summary level: 160, state:36> place:25967",226200,1104
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",303500,2561
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",220500,576
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",186500,1222
"Philmont village, New York: Summary level: 160, state:36> place:57639",153100,693
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",175200,16362
"Rochester city, New York: Summary level: 160, state:36> place:63000",82000,99510
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",362400,4757
"Sidney village, New York: Summary level: 160, state:36> place:67334",82800,2187
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",523700,814
"Elba village, New York: Summary level: 160, state:36> place:23745",114300,256
"Hudson city, New York: Summary level: 160, state:36> place:35969",216000,3295
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",164500,685
"Brockport village, New York: Summary level: 160, state:36> place:08466",114000,2522
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",170700,1313
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",529900,651
"Delevan village, New York: Summary level: 160, state:36> place:20115",100900,473
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",90900,295
"Gloversville city, New York: Summary level: 160, state:36> place:29443",76800,7617
"Mayfield village, New York: Summary level: 160, state:36> place:46206",111900,401
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",94200,299
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",198600,1579
"Warwick village, New York: Summary level: 160, state:36> place:78355",326900,2999
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",252800,720
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",120600,23863
"Scottsville village, New York: Summary level: 160, state:36> place:65959",124100,870
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",511900,1655
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",465300,2529
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",248200,3816
"Kaser village, New York: Summary level: 160, state:36> place:38934",1083300,944
"Montebello village, New York: Summary level: 160, state:36> place:48090",591100,1792
"New City CDP, New York: Summary level: 160, state:36> place:50100",482200,11887
"Pomona village, New York: Summary level: 160, state:36> place:58992",523400,1001
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",85400,344
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",83900,1094
"Herkimer village, New York: Summary level: 160, state:36> place:34121",79300,3586
"Middleville village, New York: Summary level: 160, state:36> place:47108",91100,231
"Beacon city, New York: Summary level: 160, state:36> place:05100",262400,5961
"Victor village, New York: Summary level: 160, state:36> place:77376",188000,1200
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",159700,280
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",188000,1358
"Union Springs village, New York: Summary level: 160, state:36> place:76155",118000,540
"Colonie village, New York: Summary level: 160, state:36> place:17332",213800,3213
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",83800,726
"Clayton village, New York: Summary level: 160, state:36> place:16089",155300,1155
"Deferiet village, New York: Summary level: 160, state:36> place:19994",92500,135
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",-666666666,178
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",174200,264
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",199200,1652
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",188800,844
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",306800,444
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",216200,987
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",228200,1035
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",304200,1602
"Cambridge village, New York: Summary level: 160, state:36> place:11825",158000,954
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",120700,3324
"Waterford village, New York: Summary level: 160, state:36> place:78520",151900,1048
"Lake George village, New York: Summary level: 160, state:36> place:40508",228800,700
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",85800,405
"Malone village, New York: Summary level: 160, state:36> place:44710",83800,2703
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",426400,1145
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1093800,2592
"Little Valley village, New York: Summary level: 160, state:36> place:42829",69100,493
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",607600,2151
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",711000,8875
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",348800,14161
"Brownville village, New York: Summary level: 160, state:36> place:10231",160300,435
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",330900,3799
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",317000,5840
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",424700,3587
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",775900,2024
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",285400,1835
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",109300,1505
"Stillwater village, New York: Summary level: 160, state:36> place:71322",205900,847
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",165800,2847
"Great River CDP, New York: Summary level: 160, state:36> place:30235",631000,510
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",470600,7437
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",355100,9544
"Oakfield village, New York: Summary level: 160, state:36> place:54155",91600,697
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",714600,2846
"Bronxville village, New York: Summary level: 160, state:36> place:08532",1131100,2370
"Centre Island village, New York: Summary level: 160, state:36> place:13618",1658300,261
"Chittenango village, New York: Summary level: 160, state:36> place:15561",130900,1922
"Larchmont village, New York: Summary level: 160, state:36> place:41333",1195800,2033
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",417800,4271
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",572800,2781
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",759100,910
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",373900,8175
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",516400,1986
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",434200,7353
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",535200,1353
"Great Neck village, New York: Summary level: 160, state:36> place:30169",815100,3386
"Kings Point village, New York: Summary level: 160, state:36> place:39694",2000001,1499
"Peru CDP, New York: Summary level: 160, state:36> place:57364",143900,740
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",146900,8864
"Watervliet city, New York: Summary level: 160, state:36> place:78674",145300,5262
"East Hills village, New York: Summary level: 160, state:36> place:22260",1012200,2430
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",402200,4005
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",620200,1379
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",941800,301
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",386800,3170
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",460800,5982
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",595000,4915
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",1963500,1229
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",1145300,331
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",428700,1070
"Margaretville village, New York: Summary level: 160, state:36> place:45557",169200,364
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",455600,2096
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",1779400,584
"Williston Park village, New York: Summary level: 160, state:36> place:82117",535500,2669
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",840000,3261
"New York Mills village, New York: Summary level: 160, state:36> place:51011",119900,1892
"Oriskany village, New York: Summary level: 160, state:36> place:55365",112100,692
"Rome city, New York: Summary level: 160, state:36> place:63418",94800,14887
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",184400,1851
"Canton village, New York: Summary level: 160, state:36> place:12331",168300,1801
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",562300,1321
"Piermont village, New York: Summary level: 160, state:36> place:57749",560300,1323
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",309700,1168
"Massena village, New York: Summary level: 160, state:36> place:46019",78200,4986
"Potsdam village, New York: Summary level: 160, state:36> place:59564",110800,2476
"Unadilla village, New York: Summary level: 160, state:36> place:76001",97300,528
"Highland CDP, New York: Summary level: 160, state:36> place:34484",225800,2408
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",179300,1174
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",244300,1704
"New Paltz village, New York: Summary level: 160, state:36> place:50551",271100,2288
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",202900,348
"Deposit village, New York: Summary level: 160, state:36> place:20346",87400,979
"Corinth village, New York: Summary level: 160, state:36> place:18212",144200,1098
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",189200,746
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",243900,1923
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",604100,1397
"White Plains city, New York: Summary level: 160, state:36> place:81677",550400,24467
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",90900,911
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",264100,107
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",211100,2688
"Scotia village, New York: Summary level: 160, state:36> place:65893",136600,3746
"Northville village, New York: Summary level: 160, state:36> place:53770",150000,597
"Cleveland village, New York: Summary level: 160, state:36> place:16188",97100,314
"Mexico village, New York: Summary level: 160, state:36> place:46811",118900,729
"Monticello village, New York: Summary level: 160, state:36> place:48175",103700,3306
"Goshen village, New York: Summary level: 160, state:36> place:29542",291700,2275
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",220300,1872
"Maybrook village, New York: Summary level: 160, state:36> place:46162",175600,1525
"Lacona village, New York: Summary level: 160, state:36> place:40200",108100,283
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",117700,505
"Liberty village, New York: Summary level: 160, state:36> place:42224",101600,1882
"Monroe village, New York: Summary level: 160, state:36> place:47988",321900,2746
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",205800,1097
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",171700,535
"Montgomery village, New York: Summary level: 160, state:36> place:48142",239500,1703
"Newburgh city, New York: Summary level: 160, state:36> place:50034",162600,11765
"Unionville village, New York: Summary level: 160, state:36> place:76210",202400,326
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",233000,851
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",314000,582
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",249600,206
"Athens village, New York: Summary level: 160, state:36> place:02902",176800,775
"Accord CDP, New York: Summary level: 160, state:36> place:00155",251700,229
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",108600,557
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",896600,555
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",360100,14364
"Owego village, New York: Summary level: 160, state:36> place:55882",92600,1931
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",130100,158
"Lake Success village, New York: Summary level: 160, state:36> place:40937",1192800,844
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",108800,230
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",74100,345
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",107100,195
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",144700,286
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",87100,60
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",370700,210
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",151700,81
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",69600,178
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",207400,596
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",64300,241
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",338200,96
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",195500,64
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",131000,561
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",65200,217
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",174100,820
"Scio CDP, New York: Summary level: 160, state:36> place:65761",68200,291
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",52200,205
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",78300,64
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",95400,173
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",150000,104
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",446700,560
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",80400,169
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",609400,28
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",144000,314
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",97100,390
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",-666666666,7
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",337000,350
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",156600,122
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",257800,300
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",-666666666,27
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",-666666666,95
"Verona CDP, New York: Summary level: 160, state:36> place:77167",111300,455
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",77600,123
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",144200,1359
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",167800,725
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",-666666666,48
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",148600,261
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",184400,318
