,Median value (dollars),Total homes
"Morris village, New York: Summary level: 160, state:36> place:48483",111800,287
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",144000,822
"Morristown village, New York: Summary level: 160, state:36> place:48571",104800,296
"Morrisville village, New York: Summary level: 160, state:36> place:48593",108700,425
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",168200,865
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",241200,2834
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",403000,4252
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",68300,1288
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",457800,4232
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",392300,29405
"Munnsville village, New York: Summary level: 160, state:36> place:49220",96400,204
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",1000001,777
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",120300,1048
"Muttontown village, New York: Summary level: 160, state:36> place:49330",1000001,1141
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",325300,2248
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",410900,7008
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",150900,604
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",601600,722
"Naples village, New York: Summary level: 160, state:36> place:49429",113700,474
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",147200,262
"Nassau village, New York: Summary level: 160, state:36> place:49506",151100,561
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",91300,195
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",80100,913
"Nelliston village, New York: Summary level: 160, state:36> place:49748",73400,322
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",411700,258
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",466600,4611
"Newark village, New York: Summary level: 160, state:36> place:49891",84800,4041
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",91700,493
"New Berlin village, New York: Summary level: 160, state:36> place:49946",80400,539
"Newburgh city, New York: Summary level: 160, state:36> place:50034",176300,11334
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",330500,3280
"New City CDP, New York: Summary level: 160, state:36> place:50100",485400,11431
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",86400,1435
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",101700,287
"New Hartford village, New York: Summary level: 160, state:36> place:50298",160700,903
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",449100,1200
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",473500,3368
"New Paltz village, New York: Summary level: 160, state:36> place:50551",277500,2398
"Newport village, New York: Summary level: 160, state:36> place:50573",102100,238
