,Total households
"Harriman village, New York: Summary level: 160, state:36> place:32325",1065
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",4089
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",2314
"Waterville village, New York: Summary level: 160, state:36> place:78663",633
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",144
"Black River village, New York: Summary level: 160, state:36> place:06794",513
"Carthage village, New York: Summary level: 160, state:36> place:12683",1245
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",153
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",269
"Delhi village, New York: Summary level: 160, state:36> place:20126",779
"Morristown village, New York: Summary level: 160, state:36> place:48571",128
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",1202
"Salem CDP, New York: Summary level: 160, state:36> place:64771",298
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",97
"Wells CDP, New York: Summary level: 160, state:36> place:79048",116
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",38
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",493
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",148
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",162
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",253
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",194
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",47
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",855
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",150
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",536
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",3071
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",2359
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",1508
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",660
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",12627
"Tivoli village, New York: Summary level: 160, state:36> place:74023",486
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",1053
"Southport CDP, New York: Summary level: 160, state:36> place:69606",3236
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",1994
"Buchanan village, New York: Summary level: 160, state:36> place:10341",727
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",7817
"Elmsford village, New York: Summary level: 160, state:36> place:24295",1558
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",2282
"Irvington village, New York: Summary level: 160, state:36> place:37803",2413
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",1685
"Brushton village, New York: Summary level: 160, state:36> place:10286",195
"Burke village, New York: Summary level: 160, state:36> place:11154",92
"Amityville village, New York: Summary level: 160, state:36> place:02044",3421
"Babylon village, New York: Summary level: 160, state:36> place:03408",4324
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",9183
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",7016
"Coram CDP, New York: Summary level: 160, state:36> place:18157",14685
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",4323
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",6983
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",1895
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",2408
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",358
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",3205
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",9682
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",1714
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",3566
"Candor village, New York: Summary level: 160, state:36> place:12210",274
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",789
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",696
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",1618
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",1984
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",998
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",5502
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",6554
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",6071
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",1295
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",2664
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",189
"Perrysburg CDP, New York: Summary level: 160, state:36> place:57287",133
"Copake Falls CDP, New York: Summary level: 160, state:36> place:18113",155
"Pierrepont Manor CDP, New York: Summary level: 160, state:36> place:57782",52
"Piffard CDP, New York: Summary level: 160, state:36> place:57804",131
"Pike CDP, New York: Summary level: 160, state:36> place:57815",110
"Pine Valley CDP, New York: Summary level: 160, state:36> place:58189",306
"Plessis CDP, New York: Summary level: 160, state:36> place:58739",43
"York Hamlet CDP, New York: Summary level: 160, state:36> place:84035",210
"Watchtower CDP, New York: Summary level: 160, state:36> place:78487",0
"Water Mill CDP, New York: Summary level: 160, state:36> place:78575",759
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",308
"Campbell CDP, New York: Summary level: 160, state:36> place:11935",305
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",268
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",108
"Chautauqua CDP, New York: Summary level: 160, state:36> place:14058",68
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",582
"Chenango Bridge CDP, New York: Summary level: 160, state:36> place:15121",1097
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",1740
"Chazy CDP, New York: Summary level: 160, state:36> place:14102",191
"Chestertown CDP, New York: Summary level: 160, state:36> place:15363",263
"Clarence CDP, New York: Summary level: 160, state:36> place:15814",1054
"Colton CDP, New York: Summary level: 160, state:36> place:17398",157
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",159
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",204
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",1232
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",83
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",107
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",136
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",400
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",130
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",94
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",209
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",217
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",266
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",350
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",267
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",6447
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",262
"Erin CDP, New York: Summary level: 160, state:36> place:24625",164
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",167
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",502
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",58
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",166
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",32
"Gates CDP, New York: Summary level: 160, state:36> place:28453",2079
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",72
"Worcester CDP, New York: Summary level: 160, state:36> place:83118",364
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",115
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",1966
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",113
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",250
"Bellport village, New York: Summary level: 160, state:36> place:05771",823
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",2753
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",8594
"Springs CDP, New York: Summary level: 160, state:36> place:70387",2679
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",3742
"Walton village, New York: Summary level: 160, state:36> place:78036",1258
"Albany city, New York: Summary level: 160, state:36> place:01000",41207
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",1425
"New York city, New York: Summary level: 160, state:36> place:51000",3154103
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",603
"Phelps village, New York: Summary level: 160, state:36> place:57518",764
"Falconer village, New York: Summary level: 160, state:36> place:25164",1097
"Jamestown city, New York: Summary level: 160, state:36> place:38264",12652
"Silver Creek village, New York: Summary level: 160, state:36> place:67411",970
"Turin village, New York: Summary level: 160, state:36> place:75682",87
"Woodmere CDP, New York: Summary level: 160, state:36> place:82942",5140
"Plandome Manor village, New York: Summary level: 160, state:36> place:58497",259
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",562
"Westbury village, New York: Summary level: 160, state:36> place:79444",4918
"Woodsburgh village, New York: Summary level: 160, state:36> place:82986",268
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",798
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",166
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",325
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",2941
"Tuxedo Park village, New York: Summary level: 160, state:36> place:75803",233
"Washingtonville village, New York: Summary level: 160, state:36> place:78465",2122
"Phoenix village, New York: Summary level: 160, state:36> place:57661",1086
"Sandy Creek village, New York: Summary level: 160, state:36> place:65068",302
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1178
"Florida village, New York: Summary level: 160, state:36> place:26319",1008
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",1218
"Middletown city, New York: Summary level: 160, state:36> place:47042",10331
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",3506
"Walden village, New York: Summary level: 160, state:36> place:77849",2210
"West Point CDP, New York: Summary level: 160, state:36> place:80747",882
"Chester village, New York: Summary level: 160, state:36> place:15297",1418
"Fishkill village, New York: Summary level: 160, state:36> place:25967",980
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",2359
"Pine Plains CDP, New York: Summary level: 160, state:36> place:58145",551
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1090
"Philmont village, New York: Summary level: 160, state:36> place:57639",568
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",15441
"Rochester city, New York: Summary level: 160, state:36> place:63000",86057
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",4376
"Sidney village, New York: Summary level: 160, state:36> place:67334",1729
"Upper Nyack village, New York: Summary level: 160, state:36> place:76386",784
"Elba village, New York: Summary level: 160, state:36> place:23745",235
"Hudson city, New York: Summary level: 160, state:36> place:35969",2694
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",556
"Brockport village, New York: Summary level: 160, state:36> place:08466",2260
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",1203
"Village of the Branch village, New York: Summary level: 160, state:36> place:77519",591
"Delevan village, New York: Summary level: 160, state:36> place:20115",403
"St. Bonaventure CDP, New York: Summary level: 160, state:36> place:64551",295
"Gloversville city, New York: Summary level: 160, state:36> place:29443",6159
"Mayfield village, New York: Summary level: 160, state:36> place:46206",321
"Sand Ridge CDP, New York: Summary level: 160, state:36> place:65024",242
"Vails Gate CDP, New York: Summary level: 160, state:36> place:76584",1385
"Warwick village, New York: Summary level: 160, state:36> place:78355",2912
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",465
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",22085
"Scottsville village, New York: Summary level: 160, state:36> place:65959",803
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",1617
"Chestnut Ridge village, New York: Summary level: 160, state:36> place:15400",2432
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",3641
"Kaser village, New York: Summary level: 160, state:36> place:38934",926
"Montebello village, New York: Summary level: 160, state:36> place:48090",1673
"New City CDP, New York: Summary level: 160, state:36> place:50100",11451
"Pomona village, New York: Summary level: 160, state:36> place:58992",991
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",319
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",1006
"Herkimer village, New York: Summary level: 160, state:36> place:34121",2894
"Middleville village, New York: Summary level: 160, state:36> place:47108",225
"Beacon city, New York: Summary level: 160, state:36> place:05100",5178
"Victor village, New York: Summary level: 160, state:36> place:77376",1122
"Schaghticoke village, New York: Summary level: 160, state:36> place:65475",273
"Wynantskill CDP, New York: Summary level: 160, state:36> place:83349",1358
"Union Springs village, New York: Summary level: 160, state:36> place:76155",439
"Colonie village, New York: Summary level: 160, state:36> place:17332",3013
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",613
"Clayton village, New York: Summary level: 160, state:36> place:16089",884
"Deferiet village, New York: Summary level: 160, state:36> place:19994",120
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",162
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",218
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",1449
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",756
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",428
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",773
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",894
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",1096
"Cambridge village, New York: Summary level: 160, state:36> place:11825",824
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",2901
"Waterford village, New York: Summary level: 160, state:36> place:78520",958
"Lake George village, New York: Summary level: 160, state:36> place:40508",494
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",313
"Malone village, New York: Summary level: 160, state:36> place:44710",2501
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",792
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",534
"Little Valley village, New York: Summary level: 160, state:36> place:42829",445
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",1938
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",8269
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",13351
"Brownville village, New York: Summary level: 160, state:36> place:10231",407
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",3581
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",5373
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",3302
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",1017
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",1354
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",1381
"Stillwater village, New York: Summary level: 160, state:36> place:71322",735
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",2714
"Great River CDP, New York: Summary level: 160, state:36> place:30235",425
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",6795
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",8839
"Oakfield village, New York: Summary level: 160, state:36> place:54155",632
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",2661
"Bronxville village, New York: Summary level: 160, state:36> place:08532",2190
"Centre Island village, New York: Summary level: 160, state:36> place:13618",184
"Chittenango village, New York: Summary level: 160, state:36> place:15561",1732
"Larchmont village, New York: Summary level: 160, state:36> place:41333",2033
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",4036
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",2548
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",601
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",7894
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",1888
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",6794
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",1332
"Great Neck village, New York: Summary level: 160, state:36> place:30169",3089
"Kings Point village, New York: Summary level: 160, state:36> place:39694",1306
"Peru CDP, New York: Summary level: 160, state:36> place:57364",680
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",7894
"Watervliet city, New York: Summary level: 160, state:36> place:78674",4716
"East Hills village, New York: Summary level: 160, state:36> place:22260",2348
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",3704
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",1379
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",301
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",3043
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",5669
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",4790
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",1100
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",329
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",1053
"Margaretville village, New York: Summary level: 160, state:36> place:45557",246
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",2029
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",504
"Williston Park village, New York: Summary level: 160, state:36> place:82117",2582
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",2964
"New York Mills village, New York: Summary level: 160, state:36> place:51011",1737
"Oriskany village, New York: Summary level: 160, state:36> place:55365",607
"Rome city, New York: Summary level: 160, state:36> place:63418",12622
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",1727
"Canton village, New York: Summary level: 160, state:36> place:12331",1513
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",1321
"Piermont village, New York: Summary level: 160, state:36> place:57749",1184
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",1087
"Massena village, New York: Summary level: 160, state:36> place:46019",4635
"Potsdam village, New York: Summary level: 160, state:36> place:59564",2107
"Unadilla village, New York: Summary level: 160, state:36> place:76001",462
"Highland CDP, New York: Summary level: 160, state:36> place:34484",2101
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",1121
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",1520
"New Paltz village, New York: Summary level: 160, state:36> place:50551",1935
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",91
"Deposit village, New York: Summary level: 160, state:36> place:20346",669
"Corinth village, New York: Summary level: 160, state:36> place:18212",981
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",703
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",1821
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",1316
"White Plains city, New York: Summary level: 160, state:36> place:81677",22929
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",829
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",92
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",2203
"Scotia village, New York: Summary level: 160, state:36> place:65893",3061
"Northville village, New York: Summary level: 160, state:36> place:53770",449
"Cleveland village, New York: Summary level: 160, state:36> place:16188",283
"Mexico village, New York: Summary level: 160, state:36> place:46811",642
"Monticello village, New York: Summary level: 160, state:36> place:48175",2430
"Goshen village, New York: Summary level: 160, state:36> place:29542",1990
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",1662
"Maybrook village, New York: Summary level: 160, state:36> place:46162",1370
"Lacona village, New York: Summary level: 160, state:36> place:40200",250
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",467
"Liberty village, New York: Summary level: 160, state:36> place:42224",1469
"Monroe village, New York: Summary level: 160, state:36> place:47988",2584
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",241
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",460
"Montgomery village, New York: Summary level: 160, state:36> place:48142",1573
"Newburgh city, New York: Summary level: 160, state:36> place:50034",9358
"Unionville village, New York: Summary level: 160, state:36> place:76210",260
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",714
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",467
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",183
"Athens village, New York: Summary level: 160, state:36> place:02902",644
"Accord CDP, New York: Summary level: 160, state:36> place:00155",182
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",464
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",479
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",12393
"Owego village, New York: Summary level: 160, state:36> place:55882",1703
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",140
"Lake Success village, New York: Summary level: 160, state:36> place:40937",766
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",148
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",304
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",92
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",257
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",60
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",132
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",71
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",148
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",506
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",176
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",73
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",55
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",549
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",195
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",304
"Scio CDP, New York: Summary level: 160, state:36> place:65761",255
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",177
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",33
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",152
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",104
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",560
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",156
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",17
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",282
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",254
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",7
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",39
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",100
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",269
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",27
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",95
"Verona CDP, New York: Summary level: 160, state:36> place:77167",351
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",123
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",1275
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",725
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",14
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",233
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",318
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",210
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",162
"Busti CDP, New York: Summary level: 160, state:36> place:11440",99
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",17
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",110
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",254
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",222
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",365
"Millport village, New York: Summary level: 160, state:36> place:47427",152
"Richville village, New York: Summary level: 160, state:36> place:61621",109
"Red Creek village, New York: Summary level: 160, state:36> place:60829",215
"Wolcott village, New York: Summary level: 160, state:36> place:82678",726
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",2098
"Alexander village, New York: Summary level: 160, state:36> place:01154",236
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",1604
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",1300
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",523
"Frankfort village, New York: Summary level: 160, state:36> place:27188",940
"Ilion village, New York: Summary level: 160, state:36> place:37275",3094
"Kensington village, New York: Summary level: 160, state:36> place:39309",421
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",21474
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",13645
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",562
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",133
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",378
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",940
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",4792
"Manchester village, New York: Summary level: 160, state:36> place:44853",742
"Cato village, New York: Summary level: 160, state:36> place:12958",233
"Moravia village, New York: Summary level: 160, state:36> place:48296",572
"East Williston village, New York: Summary level: 160, state:36> place:23217",801
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",1571
"Chaumont village, New York: Summary level: 160, state:36> place:14036",267
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",3248
"Mannsville village, New York: Summary level: 160, state:36> place:45073",122
"Nelliston village, New York: Summary level: 160, state:36> place:49748",218
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",2012
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",5083
"Wyoming village, New York: Summary level: 160, state:36> place:83371",153
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",738
"Hammond village, New York: Summary level: 160, state:36> place:31830",107
"Harrisville village, New York: Summary level: 160, state:36> place:32424",232
"Clinton village, New York: Summary level: 160, state:36> place:16419",727
"Alden village, New York: Summary level: 160, state:36> place:01088",1173
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",462
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",339
"Churchville village, New York: Summary level: 160, state:36> place:15638",911
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",1470
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",117
"Chatham village, New York: Summary level: 160, state:36> place:14003",713
"Spencerport village, New York: Summary level: 160, state:36> place:70189",1438
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",5547
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",2642
"Argyle village, New York: Summary level: 160, state:36> place:02550",206
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",203
"Allegany village, New York: Summary level: 160, state:36> place:01286",742
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",993
"Franklinville village, New York: Summary level: 160, state:36> place:27331",633
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",342
"North Collins village, New York: Summary level: 160, state:36> place:51792",478
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",760
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",151
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",10618
"Adams village, New York: Summary level: 160, state:36> place:00199",642
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",89
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",486
"Hobart village, New York: Summary level: 160, state:36> place:34979",169
"Theresa village, New York: Summary level: 160, state:36> place:73517",278
"Watertown city, New York: Summary level: 160, state:36> place:78608",11110
"Morris village, New York: Summary level: 160, state:36> place:48483",219
"Otego village, New York: Summary level: 160, state:36> place:55618",414
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",552
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",979
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",427
"Windham CDP, New York: Summary level: 160, state:36> place:82469",133
"Wilson village, New York: Summary level: 160, state:36> place:82359",506
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",134
"Altona CDP, New York: Summary level: 160, state:36> place:01572",105
"Parc CDP, New York: Summary level: 160, state:36> place:56291",27
"Brewster village, New York: Summary level: 160, state:36> place:08070",791
"Afton village, New York: Summary level: 160, state:36> place:00342",436
"Smyrna village, New York: Summary level: 160, state:36> place:68099",107
"Oneida city, New York: Summary level: 160, state:36> place:54837",4436
