,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",1463,1279,184
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",24938,17893,7045
"Owego village, New York: Summary level: 160, state:36> place:55882",3721,2870,851
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",343,270,73
"Lake Success village, New York: Summary level: 160, state:36> place:40937",2580,2492,88
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",274,220,54
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",937,825,112
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",199,150,49
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",660,577,83
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",164,151,13
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",454,402,52
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",182,178,4
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",401,347,54
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",1078,789,289
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",452,408,44
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",305,305,0
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",147,128,19
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",1129,796,333
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",585,517,68
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",699,574,125
"Scio CDP, New York: Summary level: 160, state:36> place:65761",595,531,64
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",462,407,55
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",99,92,7
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",365,310,55
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",239,223,16
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",1785,1628,157
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",397,326,71
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",50,47,3
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",681,564,117
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",503,314,189
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",7,0,7
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",64,50,14
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",215,172,43
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",562,483,79
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",69,69,0
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",262,159,103
"Verona CDP, New York: Summary level: 160, state:36> place:77167",952,867,85
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",341,299,42
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",2904,2457,447
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",1593,1163,430
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",34,34,0
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",489,390,99
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",787,738,49
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",521,402,119
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",363,281,82
"Busti CDP, New York: Summary level: 160, state:36> place:11440",334,296,38
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",29,19,10
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",236,204,32
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",507,346,161
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",614,585,29
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",948,777,171
"Millport village, New York: Summary level: 160, state:36> place:47427",443,379,64
"Richville village, New York: Summary level: 160, state:36> place:61621",282,250,32
"Red Creek village, New York: Summary level: 160, state:36> place:60829",684,634,50
"Wolcott village, New York: Summary level: 160, state:36> place:82678",1682,1236,446
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",5551,4531,1020
"Alexander village, New York: Summary level: 160, state:36> place:01154",589,456,133
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",4724,4384,340
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",4862,4617,245
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1459,1344,115
"Frankfort village, New York: Summary level: 160, state:36> place:27188",2376,1931,445
"Ilion village, New York: Summary level: 160, state:36> place:37275",7715,6215,1500
"Kensington village, New York: Summary level: 160, state:36> place:39309",1184,1085,99
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",48288,36792,11496
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",30429,23650,6779
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",1601,1432,169
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",366,336,30
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",1090,1016,74
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",2185,1498,687
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",10162,7369,2793
"Manchester village, New York: Summary level: 160, state:36> place:44853",1786,1399,387
"Cato village, New York: Summary level: 160, state:36> place:12958",665,590,75
"Moravia village, New York: Summary level: 160, state:36> place:48296",1308,1082,226
"East Williston village, New York: Summary level: 160, state:36> place:23217",2576,2448,128
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",4769,4502,267
"Chaumont village, New York: Summary level: 160, state:36> place:14036",813,676,137
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",9736,9254,482
"Mannsville village, New York: Summary level: 160, state:36> place:45073",351,293,58
"Nelliston village, New York: Summary level: 160, state:36> place:49748",565,451,114
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",5139,4290,849
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",15051,13583,1468
"Wyoming village, New York: Summary level: 160, state:36> place:83371",383,326,57
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",1945,1728,217
"Hammond village, New York: Summary level: 160, state:36> place:31830",242,196,46
"Harrisville village, New York: Summary level: 160, state:36> place:32424",613,466,147
"Clinton village, New York: Summary level: 160, state:36> place:16419",1626,1226,400
"Alden village, New York: Summary level: 160, state:36> place:01088",2562,2025,537
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",893,660,233
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",1045,976,69
"Churchville village, New York: Summary level: 160, state:36> place:15638",2215,1909,306
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",3829,3438,391
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",344,305,39
"Chatham village, New York: Summary level: 160, state:36> place:14003",1639,1294,345
"Spencerport village, New York: Summary level: 160, state:36> place:70189",3576,3010,566
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",15452,13673,1779
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",7870,7474,396
"Argyle village, New York: Summary level: 160, state:36> place:02550",555,488,67
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",603,559,44
"Allegany village, New York: Summary level: 160, state:36> place:01286",1922,1356,566
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",2142,1461,681
"Franklinville village, New York: Summary level: 160, state:36> place:27331",1548,1301,247
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",831,748,83
"North Collins village, New York: Summary level: 160, state:36> place:51792",1215,994,221
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",1971,1484,487
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",458,444,14
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",31026,28461,2565
"Adams village, New York: Summary level: 160, state:36> place:00199",1654,1382,272
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",241,206,35
"Philadelphia village, New York: Summary level: 160, state:36> place:57551",1115,954,161
"Hobart village, New York: Summary level: 160, state:36> place:34979",453,379,74
"Theresa village, New York: Summary level: 160, state:36> place:73517",679,543,136
"Watertown city, New York: Summary level: 160, state:36> place:78608",25318,18798,6520
"Morris village, New York: Summary level: 160, state:36> place:48483",530,409,121
"Otego village, New York: Summary level: 160, state:36> place:55618",904,701,203
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",1295,1049,246
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",2233,1735,498
"Poestenkill CDP, New York: Summary level: 160, state:36> place:58794",893,629,264
"Windham CDP, New York: Summary level: 160, state:36> place:82469",287,223,64
"Wilson village, New York: Summary level: 160, state:36> place:82359",1099,880,219
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",370,297,73
"Altona CDP, New York: Summary level: 160, state:36> place:01572",269,230,39
"Parc CDP, New York: Summary level: 160, state:36> place:56291",43,10,33
"Brewster village, New York: Summary level: 160, state:36> place:08070",2058,1458,600
"Afton village, New York: Summary level: 160, state:36> place:00342",986,776,210
"Smyrna village, New York: Summary level: 160, state:36> place:68099",230,178,52
"Oneida city, New York: Summary level: 160, state:36> place:54837",10773,8174,2599
"Sea Cliff village, New York: Summary level: 160, state:36> place:66047",4974,4467,507
"Valley Stream village, New York: Summary level: 160, state:36> place:76705",37565,34825,2740
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",1928,1373,555
"Earlville village, New York: Summary level: 160, state:36> place:21523",1153,1049,104
"Cortland city, New York: Summary level: 160, state:36> place:18388",15765,10437,5328
"Albertson CDP, New York: Summary level: 160, state:36> place:01011",5246,4789,457
"Bath village, New York: Summary level: 160, state:36> place:04759",5492,3719,1773
"South Corning village, New York: Summary level: 160, state:36> place:68847",1157,871,286
"Wayland village, New York: Summary level: 160, state:36> place:78850",1776,1479,297
"Tully village, New York: Summary level: 160, state:36> place:75627",1052,868,184
"Marcellus village, New York: Summary level: 160, state:36> place:45480",1893,1498,395
"Syracuse city, New York: Summary level: 160, state:36> place:73000",128390,90924,37466
"Warsaw village, New York: Summary level: 160, state:36> place:78333",3157,2177,980
"Cohocton village, New York: Summary level: 160, state:36> place:16727",882,785,97
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",489,352,137
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",2863,2134,729
"Schenectady city, New York: Summary level: 160, state:36> place:65508",61935,47198,14737
"Fulton city, New York: Summary level: 160, state:36> place:27815",11312,9180,2132
"Hannibal village, New York: Summary level: 160, state:36> place:32017",511,439,72
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",344,220,124
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",1223,1002,221
"Dresden village, New York: Summary level: 160, state:36> place:20896",331,271,60
"Whitehall village, New York: Summary level: 160, state:36> place:81622",2274,1823,451
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13647,12736,911
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",212,151,61
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",18631,16698,1933
"Roslyn village, New York: Summary level: 160, state:36> place:63770",2599,1847,752
"Dansville village, New York: Summary level: 160, state:36> place:19664",4493,3487,1006
"Nunda village, New York: Summary level: 160, state:36> place:54078",1172,901,271
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",433,433,0
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",3184,2940,244
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2680,2060,620
"Hunter village, New York: Summary level: 160, state:36> place:36167",478,264,214
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",2588,2279,309
"Kingston city, New York: Summary level: 160, state:36> place:39727",22494,17411,5083
"Plattekill CDP, New York: Summary level: 160, state:36> place:58541",969,859,110
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",306,249,57
"Laurens village, New York: Summary level: 160, state:36> place:41520",180,150,30
"Ellenville village, New York: Summary level: 160, state:36> place:23965",3969,3297,672
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",698,552,146
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",3143,2500,643
"Shokan CDP, New York: Summary level: 160, state:36> place:67081",1200,1086,114
"Zena CDP, New York: Summary level: 160, state:36> place:84187",1111,985,126
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1330,1028,302
"Rensselaer city, New York: Summary level: 160, state:36> place:61148",9265,6794,2471
"Oxford village, New York: Summary level: 160, state:36> place:55948",1407,1059,348
"Bayville village, New York: Summary level: 160, state:36> place:05034",6639,5977,662
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",17180,15568,1612
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",4867,4400,467
"Rifton CDP, New York: Summary level: 160, state:36> place:61797",231,179,52
"Saugerties village, New York: Summary level: 160, state:36> place:65288",3791,2746,1045
"Walker Valley CDP, New York: Summary level: 160, state:36> place:77948",1215,1202,13
"Geneva city, New York: Summary level: 160, state:36> place:28640",10534,7870,2664
"Bolivar village, New York: Summary level: 160, state:36> place:07190",965,751,214
"Cuba village, New York: Summary level: 160, state:36> place:19356",1478,1228,250
"Wellsville village, New York: Summary level: 160, state:36> place:79092",4346,3073,1273
"Green Island village, New York: Summary level: 160, state:36> place:30521",2591,1854,737
"Sloan village, New York: Summary level: 160, state:36> place:67686",3584,2735,849
"Aurora village, New York: Summary level: 160, state:36> place:03188",232,181,51
"Cayuga village, New York: Summary level: 160, state:36> place:13068",489,385,104
"Weedsport village, New York: Summary level: 160, state:36> place:79015",1837,1472,365
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",420,342,78
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",2514,2101,413
"Skaneateles village, New York: Summary level: 160, state:36> place:67510",2379,1954,425
"Warrensburg CDP, New York: Summary level: 160, state:36> place:78289",3193,2495,698
"Little Falls city, New York: Summary level: 160, state:36> place:42741",4608,3664,944
"Newport village, New York: Summary level: 160, state:36> place:50573",531,371,160
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",580,547,33
"Granville village, New York: Summary level: 160, state:36> place:30026",2450,1785,665
"Victory village, New York: Summary level: 160, state:36> place:77431",604,507,97
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",30417,27272,3145
"Calverton CDP, New York: Summary level: 160, state:36> place:11781",7112,5247,1865
"Commack CDP, New York: Summary level: 160, state:36> place:17530",36395,33781,2614
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",0,0,0
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1034,781,253
"Islandia village, New York: Summary level: 160, state:36> place:37840",3260,2930,330
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",11112,10108,1004
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",1052,1010,42
"Middle Island CDP, New York: Summary level: 160, state:36> place:46976",9919,8041,1878
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",16674,14455,2219
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",11593,10426,1167
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",24,16,8
"Endicott village, New York: Summary level: 160, state:36> place:24515",12410,9295,3115
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",11600,9265,2335
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1107,943,164
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",2430,2136,294
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",992,696,296
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",4544,3766,778
"Millerton village, New York: Summary level: 160, state:36> place:47361",857,611,246
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",403,345,58
"Avon village, New York: Summary level: 160, state:36> place:03353",3189,2693,496
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",4693,4084,609
"Melville CDP, New York: Summary level: 160, state:36> place:46514",17493,15401,2092
"Liverpool village, New York: Summary level: 160, state:36> place:42884",2147,1526,621
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",6097,4904,1193
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",4960,4524,436
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",6762,4368,2394
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",1899,1791,108
"Long Beach city, New York: Summary level: 160, state:36> place:43335",32487,24511,7976
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3655,3437,218
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",417,397,20
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11782,10704,1078
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5485,4998,487
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",13669,12342,1327
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",61761,58362,3399
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",3138,2755,383
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",1952,1719,233
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",112,95,17
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",7527,6715,812
"Northport village, New York: Summary level: 160, state:36> place:53396",7294,6178,1116
"West Islip CDP, New York: Summary level: 160, state:36> place:80302",26687,24537,2150
"Wyandanch CDP, New York: Summary level: 160, state:36> place:83294",11570,10943,627
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4380,4109,271
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",2178,2032,146
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",9880,8693,1187
"Asharoken village, New York: Summary level: 160, state:36> place:02737",443,396,47
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",1636,1388,248
"Marathon village, New York: Summary level: 160, state:36> place:45392",843,709,134
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",7668,7063,605
"Altamont village, New York: Summary level: 160, state:36> place:01517",1732,1439,293
"Blasdell village, New York: Summary level: 160, state:36> place:06849",2623,1969,654
"Buffalo city, New York: Summary level: 160, state:36> place:11000",248500,179248,69252
"Kenmore village, New York: Summary level: 160, state:36> place:39232",15175,11467,3708
"Valhalla CDP, New York: Summary level: 160, state:36> place:76639",3551,3205,346
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",1475,1298,177
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",75962,64803,11159
"Peach Lake CDP, New York: Summary level: 160, state:36> place:56869",1804,1598,206
"Perry village, New York: Summary level: 160, state:36> place:57243",3525,2938,587
"Dryden village, New York: Summary level: 160, state:36> place:20951",2069,1686,383
"Fonda village, New York: Summary level: 160, state:36> place:26462",835,702,133
"St. Johnsville village, New York: Summary level: 160, state:36> place:64639",1793,1483,310
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1177,866,311
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1799,1430,369
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",1065,862,203
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",586,450,136
"Williamsville village, New York: Summary level: 160, state:36> place:82084",5059,3664,1395
"Bridgewater CDP, New York: Summary level: 160, state:36> place:08169",529,481,48
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",2163,1678,485
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",17179,13944,3235
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",33065,29542,3523
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",3642,3504,138
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1429,1350,79
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3503,2949,554
"Old Field village, New York: Summary level: 160, state:36> place:54617",800,726,74
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",13365,11915,1450
"Wainscott CDP, New York: Summary level: 160, state:36> place:77805",287,248,39
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",951,789,162
"South Dayton village, New York: Summary level: 160, state:36> place:68891",673,551,122
"West Carthage village, New York: Summary level: 160, state:36> place:79499",1502,1112,390
"Speculator village, New York: Summary level: 160, state:36> place:70123",306,291,15
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",214,177,37
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",5175,4140,1035
"Milton CDP (Saratoga County), New York: Summary level: 160, state:36> place:47548",3111,2676,435
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",456,442,14
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",13671,12753,918
"Lawrence village, New York: Summary level: 160, state:36> place:41553",6527,5834,693
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",6616,5614,1002
"Merrick CDP, New York: Summary level: 160, state:36> place:46668",19939,18571,1368
"Mineola village, New York: Summary level: 160, state:36> place:47636",19127,16177,2950
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",14625,13812,813
"North Hills village, New York: Summary level: 160, state:36> place:53022",5607,4732,875
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",2320,1747,573
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",797,705,92
"Castorland village, New York: Summary level: 160, state:36> place:12881",365,303,62
"Livonia village, New York: Summary level: 160, state:36> place:42950",1361,1130,231
"Norwood village, New York: Summary level: 160, state:36> place:54012",1581,1188,393
"Binghamton city, New York: Summary level: 160, state:36> place:06607",43719,29315,14404
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",908,749,159
"Bergen village, New York: Summary level: 160, state:36> place:06046",1112,974,138
"West Hampton Dunes village, New York: Summary level: 160, state:36> place:80186",69,67,2
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1144,907,237
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1095,988,107
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1015,840,175
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",897,746,151
"Poland village, New York: Summary level: 160, state:36> place:58937",370,310,60
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2834,2421,413
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",3226,2891,335
"Pawling village, New York: Summary level: 160, state:36> place:56814",2083,1630,453
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",3188,2796,392
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",7204,6600,604
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6894,5828,1066
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",289,243,46
"Shortsville village, New York: Summary level: 160, state:36> place:67257",1268,1057,211
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",687,667,20
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",260,225,35
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",283,196,87
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",761,699,62
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",868,772,96
"Tillson CDP, New York: Summary level: 160, state:36> place:73902",1653,1462,191
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",5275,3776,1499
"Albion village, New York: Summary level: 160, state:36> place:01033",5279,4310,969
"Medina village, New York: Summary level: 160, state:36> place:46415",5602,4360,1242
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",7337,6531,806
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",3062,2761,301
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",2914,2426,488
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",22265,18835,3430
"Ames village, New York: Summary level: 160, state:36> place:01737",132,117,15
"Fultonville village, New York: Summary level: 160, state:36> place:27859",595,464,131
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",435,406,29
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",858,661,197
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1371,1211,160
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",2172,1604,568
"Cohoes city, New York: Summary level: 160, state:36> place:16749",15768,11327,4441
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",25675,23778,1897
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",3201,2816,385
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",936,874,62
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",4547,4378,169
"Thomaston village, New York: Summary level: 160, state:36> place:73605",2617,2341,276
"Clayville village, New York: Summary level: 160, state:36> place:16111",247,204,43
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1720,1356,364
"Vernon village, New York: Summary level: 160, state:36> place:77112",1125,885,240
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",3651,2647,1004
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",9981,8297,1684
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",3810,2689,1121
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",1614,1303,311
"McGraw village, New York: Summary level: 160, state:36> place:44193",871,722,149
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2561,1886,675
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",2188,1947,241
"Bellerose village, New York: Summary level: 160, state:36> place:05639",1178,1102,76
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",15683,14563,1120
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9649,8047,1602
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",8074,7661,413
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",1163,1100,63
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",42557,39264,3293
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",1817,1616,201
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",51453,47611,3842
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",3153,2643,510
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",19532,17128,2404
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",7689,7025,664
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",19118,17537,1581
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",1695,1591,104
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",6172,4857,1315
"Oswego city, New York: Summary level: 160, state:36> place:55574",16888,11536,5352
"Parish village, New York: Summary level: 160, state:36> place:56341",498,424,74
"Pulaski village, New York: Summary level: 160, state:36> place:59960",2088,1588,500
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",624,548,76
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",1642,1161,481
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",72542,55294,17248
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",689,615,74
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",9341,8571,770
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",6560,5193,1367
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",3038,2646,392
"Middleport village, New York: Summary level: 160, state:36> place:46998",1783,1437,346
"Avoca village, New York: Summary level: 160, state:36> place:03331",933,793,140
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3558,3217,341
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",392,325,67
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",1417,1241,176
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",2495,2174,321
"Champlain village, New York: Summary level: 160, state:36> place:13739",1018,804,214
"Dannemora village, New York: Summary level: 160, state:36> place:19642",776,647,129
"Rushville village, New York: Summary level: 160, state:36> place:64199",626,475,151
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3590,3039,551
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1126,878,248
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",35993,33722,2271
