,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10880,8769,2111
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2709,2181,528
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11714,10777,937
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",66908,55245,11663
"Munnsville village, New York: Summary level: 160, state:36> place:49220",449,365,84
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2683,2637,46
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2111,1513,598
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3432,3324,108
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6490,6104,386
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",18037,15777,2260
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",1314,1188,126
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",164,128,36
"Naples village, New York: Summary level: 160, state:36> place:49429",1107,908,199
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",470,386,84
"Nassau village, New York: Summary level: 160, state:36> place:49506",1099,850,249
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",741,689,52
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2237,1933,304
"Nelliston village, New York: Summary level: 160, state:36> place:49748",595,456,139
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",749,686,63
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13524,12587,937
"Newark village, New York: Summary level: 160, state:36> place:49891",8806,7179,1627
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1030,867,163
"New Berlin village, New York: Summary level: 160, state:36> place:49946",1138,908,230
"Newburgh city, New York: Summary level: 160, state:36> place:50034",27571,23271,4300
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",13908,13301,607
"New City CDP, New York: Summary level: 160, state:36> place:50100",33155,31116,2039
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3125,2790,335
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",619,461,158
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1722,1276,446
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5190,5084,106
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9722,8508,1214
"New Paltz village, New York: Summary level: 160, state:36> place:50551",4283,1354,2929
"Newport village, New York: Summary level: 160, state:36> place:50573",449,342,107
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",74735,63610,11125
"New Square village, New York: Summary level: 160, state:36> place:50705",7127,7127,0
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",329,232,97
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",8810,7484,1326
"New York city, New York: Summary level: 160, state:36> place:51000",8093535,6503461,1590074
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3345,2230,1115
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",49544,38107,11437
"Nichols village, New York: Summary level: 160, state:36> place:51110",414,363,51
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4910,4467,443
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1590,1492,98
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1798,1560,238
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1170,845,325
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",19317,17589,1728
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",497,345,152
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",17023,15349,1674
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1433,1279,154
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",20044,19132,912
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",20077,18542,1535
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",11323,10546,777
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2476,1990,486
"North Collins village, New York: Summary level: 160, state:36> place:51792",1290,1152,138
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",340,246,94
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",2984,2317,667
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",9825,7648,2177
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",4081,3874,207
"North Haven village, New York: Summary level: 160, state:36> place:52188",967,822,145
"North Hills village, New York: Summary level: 160, state:36> place:53022",5066,4148,918
"North Hornell village, New York: Summary level: 160, state:36> place:53055",748,586,162
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",11782,10815,967
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",628,542,86
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",18635,17180,1455
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",11800,11046,754
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",14570,13784,786
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",6999,6413,586
"Northport village, New York: Summary level: 160, state:36> place:53396",7362,6353,1009
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",635,599,36
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4375,3736,639
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6723,4779,1944
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",31225,24199,7026
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",16723,15647,1076
"Northville village, New York: Summary level: 160, state:36> place:53770",893,738,155
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1639,1514,125
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11727,10615,1112
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3920,3156,764
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",974,604,370
"Norwich city, New York: Summary level: 160, state:36> place:53979",6840,5228,1612
"Norwood village, New York: Summary level: 160, state:36> place:54012",1565,1251,314
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",3673,2903,770
"Nunda village, New York: Summary level: 160, state:36> place:54078",1462,1233,229
"Nyack village, New York: Summary level: 160, state:36> place:54100",6971,4778,2193
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",603,508,95
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7156,6164,992
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1864,1589,275
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",81,59,22
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",29939,27249,2690
"Odessa village, New York: Summary level: 160, state:36> place:54452",599,440,159
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",9405,7347,2058
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1219,1058,161
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5396,4979,417
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",2661,2546,115
"Old Field village, New York: Summary level: 160, state:36> place:54617",887,830,57
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",559,386,173
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",2895,2783,112
"Olean city, New York: Summary level: 160, state:36> place:54716",14032,10565,3467
"Oneida city, New York: Summary level: 160, state:36> place:54837",10985,8854,2131
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",725,601,124
"Oneonta city, New York: Summary level: 160, state:36> place:54881",9757,5580,4177
