,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",312,226,86
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",25476,23193,2283
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",497,427,70
"Smyrna village, New York: Summary level: 160, state:36> place:68099",194,162,32
"Sodus village, New York: Summary level: 160, state:36> place:68209",2318,1925,393
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",994,801,193
"Solvay village, New York: Summary level: 160, state:36> place:68286",6526,4939,1587
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",7663,6876,787
"Southampton village, New York: Summary level: 160, state:36> place:68462",2947,2403,544
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",3227,2819,408
"South Corning village, New York: Summary level: 160, state:36> place:68847",1091,898,193
"South Dayton village, New York: Summary level: 160, state:36> place:68891",762,641,121
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",2763,2313,450
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",14650,13804,846
"South Floral Park village, New York: Summary level: 160, state:36> place:69023",2060,1927,133
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",3543,2544,999
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",3111,2842,269
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",2241,1684,557
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",9117,8046,1071
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",179,145,34
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",8240,6371,1869
"South Nyack village, New York: Summary level: 160, state:36> place:69441",2690,1991,699
"Southold CDP, New York: Summary level: 160, state:36> place:69452",6223,5562,661
"Southport CDP, New York: Summary level: 160, state:36> place:69606",7268,5851,1417
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",6416,6104,312
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",3893,3637,256
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",1184,1022,162
"Speculator village, New York: Summary level: 160, state:36> place:70123",315,268,47
"Spencer village, New York: Summary level: 160, state:36> place:70167",1010,888,122
"Spencerport village, New York: Summary level: 160, state:36> place:70189",3547,3012,535
"Springs CDP, New York: Summary level: 160, state:36> place:70387",6226,5315,911
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",31617,28404,3213
"Springville village, New York: Summary level: 160, state:36> place:70442",4093,3372,721
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",392,275,117
"Staatsburg CDP, New York: Summary level: 160, state:36> place:70552",366,342,24
"Stamford village, New York: Summary level: 160, state:36> place:70618",1253,876,377
"Stannards CDP, New York: Summary level: 160, state:36> place:70717",955,683,272
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",714,606,108
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",2288,2025,263
"Stillwater village, New York: Summary level: 160, state:36> place:71322",1962,1752,210
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",1395,1304,91
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",13296,11670,1626
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",115,98,17
"Stony Point CDP, New York: Summary level: 160, state:36> place:71663",12432,11137,1295
"Stottville CDP, New York: Summary level: 160, state:36> place:71718",1500,1233,267
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",579,520,59
"Suffern village, New York: Summary level: 160, state:36> place:71894",10618,8845,1773
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",532,464,68
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",11,0,11
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",883,644,239
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",18761,17708,1053
"Syracuse city, New York: Summary level: 160, state:36> place:73000",130877,94081,36796
"Tannersville village, New York: Summary level: 160, state:36> place:73143",522,424,98
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",6934,6566,368
"Tarrytown village, New York: Summary level: 160, state:36> place:73176",10803,8655,2148
"Terryville CDP, New York: Summary level: 160, state:36> place:73352",11811,10841,970
"Thendara CDP, New York: Summary level: 160, state:36> place:73459",169,169,0
