,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",0,0,0,0,0,92,49,0,0,10,0,43,3,0,6,0
"Croghan village, New York: Summary level: 160, state:36> place:19070",134,14,8,9,25,136,72,0,4,3,0,64,7,2,2,0
"Crompond CDP, New York: Summary level: 160, state:36> place:19092",28,0,0,0,0,690,489,28,55,69,0,201,0,16,27,0
"Croton-on-Hudson village, New York: Summary level: 160, state:36> place:19213",622,16,66,138,19,2262,1603,117,52,245,0,659,10,51,101,10
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",173,10,33,19,0,859,623,50,49,68,0,236,0,8,18,27
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",640,142,67,181,10,170,126,0,0,50,0,44,0,7,0,0
"Crystal Beach CDP, New York: Summary level: 160, state:36> place:19308",99,12,0,25,12,137,92,0,0,27,11,45,0,0,0,0
"Cuba village, New York: Summary level: 160, state:36> place:19356",259,32,7,42,17,425,271,8,20,16,0,154,0,10,6,0
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",86,0,0,28,0,581,406,9,15,36,0,175,3,10,8,0
"Cumminsville CDP, New York: Summary level: 160, state:36> place:19411",0,0,0,0,0,93,0,0,0,0,0,93,0,11,16,0
"Cutchogue CDP, New York: Summary level: 160, state:36> place:19466",179,0,0,0,27,1149,691,40,44,172,0,458,23,18,39,0
"Cuylerville CDP, New York: Summary level: 160, state:36> place:19510",35,0,0,0,0,100,79,0,13,4,0,21,0,0,0,0
"Dalton CDP, New York: Summary level: 160, state:36> place:19587",20,0,0,4,0,121,40,3,4,0,0,81,0,0,0,0
"Dannemora village, New York: Summary level: 160, state:36> place:19642",158,3,19,45,0,251,161,20,18,17,0,90,6,10,3,0
"Dansville village, New York: Summary level: 160, state:36> place:19664",771,53,122,201,79,1342,957,32,41,112,0,385,0,0,13,0
"Davenport Center CDP, New York: Summary level: 160, state:36> place:19774",23,0,16,0,0,147,78,9,0,0,0,69,0,0,0,0
"Deer Park CDP, New York: Summary level: 160, state:36> place:19972",1668,135,205,524,72,7754,5376,362,532,1264,95,2378,94,264,360,28
"Deferiet village, New York: Summary level: 160, state:36> place:19994",38,0,9,3,4,72,42,3,2,1,0,30,2,0,0,0
"DeKalb Junction CDP, New York: Summary level: 160, state:36> place:20049",12,0,0,0,0,143,56,0,0,5,0,87,0,0,22,0
"Delanson village, New York: Summary level: 160, state:36> place:20082",21,0,0,2,0,120,87,12,11,8,0,33,6,0,2,0
"Delevan village, New York: Summary level: 160, state:36> place:20115",213,3,11,46,4,288,211,7,21,8,0,77,0,2,10,0
"Delhi village, New York: Summary level: 160, state:36> place:20126",380,9,12,129,29,481,275,0,24,46,0,206,11,0,4,0
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",91,0,0,37,0,214,190,30,10,50,0,24,0,0,0,0
"Depew village, New York: Summary level: 160, state:36> place:20313",1675,51,189,334,120,4834,2967,177,143,251,17,1867,32,59,96,6
"Deposit village, New York: Summary level: 160, state:36> place:20346",360,32,40,78,18,440,245,11,24,21,10,195,6,3,26,0
"Dering Harbor village, New York: Summary level: 160, state:36> place:20379",2,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",93,4,2,10,2,119,71,4,2,24,0,48,0,0,0,0
"Dexter village, New York: Summary level: 160, state:36> place:20500",166,19,13,8,14,316,205,13,0,7,0,111,3,0,6,0
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",573,31,9,128,47,7654,5280,407,436,1139,4,2374,104,104,479,0
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",1431,152,91,271,84,2305,1608,140,77,308,0,697,21,44,66,29
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",342,13,24,70,15,542,278,4,6,61,0,264,0,9,20,0
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",272,0,0,106,13,354,131,0,10,9,0,223,0,7,22,0
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",119,0,0,20,26,145,60,0,16,5,0,85,0,0,0,0
"Dresden village, New York: Summary level: 160, state:36> place:20896",36,0,0,13,6,83,48,3,6,1,0,35,0,0,5,0
"Dryden village, New York: Summary level: 160, state:36> place:20951",322,3,0,112,0,506,352,21,35,25,0,154,8,5,8,0
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",0,0,0,0,0,169,113,12,0,0,0,56,0,0,0,0
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",38,0,0,38,0,68,68,0,0,0,0,0,0,0,0,0
"Dundee village, New York: Summary level: 160, state:36> place:21050",396,17,16,98,11,405,210,4,5,13,0,195,0,0,11,4
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",2246,44,246,883,157,3362,1927,44,116,117,7,1435,0,46,67,0
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",123,0,61,62,0,100,65,0,0,43,0,35,0,0,12,0
"Earlville village, New York: Summary level: 160, state:36> place:21523",129,12,29,14,16,229,127,2,8,14,0,102,3,6,3,0
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",190,0,0,0,0,707,427,36,19,72,0,280,0,37,25,0
"East Aurora village, New York: Summary level: 160, state:36> place:21589",708,9,0,78,33,1834,1272,94,52,111,0,562,25,34,17,9
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",36,0,0,36,0,129,92,0,0,0,0,37,0,0,0,0
"Monroe village, New York: Summary level: 160, state:36> place:47988",497,16,29,159,0,2121,1565,67,75,209,0,556,12,17,52,0
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",2126,83,159,1072,261,1410,869,68,81,467,0,541,41,41,80,0
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",421,9,21,150,51,1316,649,33,92,266,11,667,23,16,129,10
"Montebello village, New York: Summary level: 160, state:36> place:48090",212,0,45,50,0,1245,954,42,58,168,12,291,0,31,12,0
"Montgomery village, New York: Summary level: 160, state:36> place:48142",463,30,71,98,9,920,723,40,91,59,0,197,13,20,13,0
"Monticello village, New York: Summary level: 160, state:36> place:48175",2098,128,212,572,160,771,401,0,92,146,0,370,0,21,82,0
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",354,30,15,35,16,405,207,6,10,43,0,198,2,5,18,0
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",120,13,4,55,0,929,718,18,66,93,0,211,0,26,17,0
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",104,0,63,0,22,72,31,17,0,0,0,41,0,0,0,0
"Moravia village, New York: Summary level: 160, state:36> place:48296",179,23,13,24,0,396,246,14,12,8,0,150,0,0,8,11
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",547,19,16,142,80,580,305,0,52,65,0,275,0,10,60,0
"Morris village, New York: Summary level: 160, state:36> place:48483",61,0,15,13,24,172,87,0,2,7,0,85,0,0,0,0
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",312,0,34,104,0,484,294,0,36,41,0,190,8,0,0,0
"Morristown village, New York: Summary level: 160, state:36> place:48571",49,6,0,6,6,149,95,4,9,4,0,54,3,0,0,1
"Morrisville village, New York: Summary level: 160, state:36> place:48593",124,0,0,29,28,172,94,8,0,16,0,78,0,4,16,0
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",54,0,0,0,0,528,435,59,35,5,0,93,0,0,0,0
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",914,95,161,238,14,1786,1210,67,183,244,11,576,16,21,121,39
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",1961,199,308,579,96,2167,1487,52,84,249,13,680,18,80,56,0
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",578,19,21,182,91,555,259,11,10,18,0,296,7,14,34,8
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",206,54,0,98,25,3966,2706,133,176,651,0,1260,110,76,130,73
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",16208,1002,1591,5326,537,9790,6992,509,976,1707,9,2798,146,151,566,17
"Munnsville village, New York: Summary level: 160, state:36> place:49220",53,0,8,12,2,111,84,1,1,0,0,27,0,1,2,0
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",0,0,0,0,0,747,484,45,40,111,0,263,24,18,49,6
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",398,14,41,106,0,559,187,14,11,28,0,372,0,14,19,0
"Muttontown village, New York: Summary level: 160, state:36> place:49330",50,0,0,12,0,1004,632,31,10,212,0,372,26,35,34,0
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",43,0,0,3,16,2152,1540,191,59,190,7,612,2,44,47,0
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",2143,158,279,411,122,4578,3274,268,292,441,0,1304,82,61,250,15
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",133,11,0,18,0,388,282,10,33,45,0,106,11,0,43,0
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",15,0,0,0,15,75,22,0,0,7,0,53,0,0,32,0
"Naples village, New York: Summary level: 160, state:36> place:49429",149,12,3,26,18,292,178,0,3,24,3,114,11,3,6,0
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",49,3,4,21,4,150,101,12,2,18,4,49,0,3,2,0
"Nassau village, New York: Summary level: 160, state:36> place:49506",211,4,22,30,26,298,207,11,17,14,0,91,8,0,2,0
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",65,0,0,22,43,116,106,11,16,0,31,10,0,0,0,0
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",129,30,6,42,22,737,453,30,14,27,16,284,0,12,5,12
"Nelliston village, New York: Summary level: 160, state:36> place:49748",78,0,0,20,8,219,102,7,2,19,0,117,0,7,7,0
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",69,0,3,13,3,175,139,7,12,44,0,36,10,3,7,0
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",856,55,55,180,49,3601,2667,237,215,458,12,934,46,62,110,0
"Newark village, New York: Summary level: 160, state:36> place:49891",1693,127,67,433,7,2068,1419,28,44,136,0,649,0,20,54,39
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",108,4,11,30,3,314,190,14,7,26,0,124,5,6,9,0
"New Berlin village, New York: Summary level: 160, state:36> place:49946",165,5,8,24,21,283,145,4,3,21,10,138,3,4,4,0
"Newburgh city, New York: Summary level: 160, state:36> place:50034",6166,353,602,2444,278,3070,2183,145,226,452,0,887,29,84,131,34
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",1272,82,139,310,69,1837,1275,55,183,355,0,562,0,23,103,0
"New City CDP, New York: Summary level: 160, state:36> place:50100",1025,81,161,219,37,9976,6923,522,446,1101,21,3053,84,259,321,58
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",281,0,37,51,12,1023,490,22,34,47,0,533,39,27,13,0
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",24,0,0,0,24,263,226,15,21,19,0,37,0,0,0,0
"New Hartford village, New York: Summary level: 160, state:36> place:50298",314,12,37,105,10,514,310,4,28,23,0,204,0,6,33,0
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",28,0,7,0,8,1137,936,57,123,224,0,201,0,0,16,0
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",632,32,61,18,56,2616,1522,180,151,250,0,1094,8,73,116,0
"New Paltz village, New York: Summary level: 160, state:36> place:50551",1492,62,127,588,127,636,452,52,32,78,8,184,8,28,35,0
"Newport village, New York: Summary level: 160, state:36> place:50573",111,29,5,2,2,107,63,12,0,1,0,44,0,0,2,0
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",14132,1184,1284,4038,762,14070,9522,526,661,2281,23,4548,158,319,767,42
"New Square village, New York: Summary level: 160, state:36> place:50705",1110,54,115,715,28,130,116,0,13,65,0,14,0,0,0,0
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",30,0,0,9,2,143,57,0,0,19,0,86,0,2,16,0
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",877,51,45,261,67,2538,1794,147,169,332,0,744,20,15,111,0
"New York city, New York: Summary level: 160, state:36> place:51000",2080590,123697,172001,581148,101253,989708,621851,38904,57018,161840,4330,367857,12049,17039,44740,4574
"New York Mills village, New York: Summary level: 160, state:36> place:51011",805,32,57,205,26,777,402,11,12,25,48,375,11,0,45,12
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",9599,706,840,3018,469,12138,6495,355,361,770,63,5643,94,190,383,78
"Nichols village, New York: Summary level: 160, state:36> place:51110",43,3,13,6,0,123,70,2,0,5,0,53,3,0,3,0
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",136,0,14,26,27,1667,1193,15,39,22,0,474,0,0,30,16
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",37,0,0,7,21,504,364,26,37,94,9,140,0,10,12,0
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",103,41,0,0,35,616,414,57,36,14,0,202,0,0,12,0
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",178,5,33,87,28,326,160,7,40,0,0,166,0,0,3,0
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",1971,204,131,845,41,3436,2516,268,481,539,11,920,52,97,238,0
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",61,0,0,33,0,122,64,0,0,25,0,58,0,9,0,0
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",1016,69,59,285,46,5011,3670,367,382,747,0,1341,51,116,204,0
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",61,0,0,0,0,496,344,34,51,40,0,152,0,28,0,0
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",1223,112,40,463,72,3528,2897,346,226,912,0,631,7,4,103,0
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",630,15,75,193,40,5855,3877,368,321,795,0,1978,47,151,263,102
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",1453,97,97,454,141,2098,1599,201,110,498,27,499,26,16,82,42
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",249,0,8,64,16,841,468,39,39,33,0,373,0,6,10,0
"North Collins village, New York: Summary level: 160, state:36> place:51792",117,0,16,21,11,322,256,5,5,31,0,66,7,0,10,0
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",88,21,4,16,13,88,35,5,5,7,0,53,0,0,20,0
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",546,66,31,163,31,606,349,6,16,69,0,257,0,0,0,0
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",1740,177,203,295,26,2473,1731,158,178,217,0,742,9,25,12,0
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",26,0,0,9,0,1190,808,50,102,160,0,382,10,8,79,8
"North Haven village, New York: Summary level: 160, state:36> place:52188",52,3,3,5,22,338,181,11,6,51,0,157,3,6,18,0
"North Hills village, New York: Summary level: 160, state:36> place:53022",270,40,28,132,13,2130,1010,55,78,350,0,1120,88,114,259,0
"North Hornell village, New York: Summary level: 160, state:36> place:53055",39,0,3,5,4,296,139,0,7,6,0,157,4,0,19,0
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",1077,65,26,317,103,2659,1970,195,317,489,0,689,47,17,102,0
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",42,0,0,0,15,179,158,0,7,23,0,21,6,0,0,0
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",436,67,12,67,62,5749,3965,343,297,893,25,1784,214,77,359,15
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",268,0,26,44,20,3554,2514,243,223,433,0,1040,120,29,181,11
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",149,0,20,69,7,4473,2658,264,309,360,7,1815,51,97,291,9
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",193,0,32,84,23,2067,1581,37,134,427,12,486,23,33,65,0
"Northport village, New York: Summary level: 160, state:36> place:53396",580,0,34,192,10,2193,1441,82,69,306,0,752,59,42,105,0
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",22,0,0,0,8,221,110,0,4,0,0,111,0,0,4,0
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",335,14,11,166,10,1495,1008,44,73,353,0,487,9,8,31,0
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",1156,33,269,224,10,2147,1435,106,93,201,0,712,7,39,32,0
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",4638,448,352,1053,323,9299,6048,210,250,573,9,3251,121,110,119,0
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",455,0,23,194,131,4774,3462,340,346,708,20,1312,39,45,150,34
"Northville village, New York: Summary level: 160, state:36> place:53770",93,0,0,37,8,310,148,3,0,3,0,162,3,7,0,0
"Northville CDP, New York: Summary level: 160, state:36> place:53775",57,0,0,57,0,602,296,16,17,105,0,306,0,50,91,0
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",252,0,31,20,14,3905,2618,225,283,664,0,1287,62,68,167,4
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",189,0,0,109,15,1535,1030,28,157,305,0,505,0,20,0,39
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",261,10,33,66,0,261,126,7,0,19,0,135,0,0,23,0
"Norwich city, New York: Summary level: 160, state:36> place:53979",1419,71,91,347,37,1505,851,22,18,80,0,654,36,0,102,0
"Norwood village, New York: Summary level: 160, state:36> place:54012",205,6,16,53,20,445,268,24,20,21,0,177,3,3,5,7
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",288,9,12,157,17,1331,770,67,91,222,0,561,54,150,22,0
"Nunda village, New York: Summary level: 160, state:36> place:54078",258,4,20,71,19,341,213,7,12,12,0,128,0,7,14,3
"Nyack village, New York: Summary level: 160, state:36> place:54100",2235,280,86,598,16,1099,762,30,134,196,14,337,44,55,25,0
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",0,0,0,0,0,231,130,0,0,82,0,101,0,0,6,0
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",398,34,43,142,44,2442,1770,73,173,435,0,672,80,28,139,17
"Oakfield village, New York: Summary level: 160, state:36> place:54155",248,3,24,48,18,454,337,8,17,25,0,117,3,0,3,0
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",0,0,0,0,0,39,18,0,1,9,0,21,0,2,7,0
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",1267,51,96,381,70,9527,6209,522,598,1304,23,3318,104,265,541,49
"Odessa village, New York: Summary level: 160, state:36> place:54452",92,0,3,17,3,183,110,0,0,16,0,73,0,8,13,0
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",1570,116,65,499,93,2661,1565,24,119,155,23,1096,11,49,80,0
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",121,0,0,21,9,409,205,0,0,47,0,204,0,0,44,0
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",183,0,18,51,12,1626,1046,87,120,202,0,580,15,0,103,0
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",70,0,3,19,28,725,430,10,38,152,0,295,9,26,46,0
"Old Field village, New York: Summary level: 160, state:36> place:54617",12,3,0,0,6,308,154,3,7,22,0,154,4,1,14,3
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",146,12,52,0,0,196,117,0,0,29,0,79,0,0,15,0
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",93,0,0,16,15,828,421,10,41,202,0,407,10,10,64,0
"Olean city, New York: Summary level: 160, state:36> place:54716",2793,157,234,801,105,3454,1917,59,117,75,0,1537,59,38,84,0
"Oneida city, New York: Summary level: 160, state:36> place:54837",1885,138,165,377,150,2667,1678,112,160,72,11,989,4,47,47,17
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",82,6,0,19,0,203,138,5,4,18,0,65,3,0,0,2
"Oneonta city, New York: Summary level: 160, state:36> place:54881",2482,189,203,1064,160,1890,1054,77,37,65,0,836,0,22,43,0
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",235,0,0,15,21,763,301,15,11,0,0,462,0,44,41,0
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",548,21,32,230,39,885,567,48,67,32,0,318,0,11,31,0
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",296,0,0,140,26,2345,1686,70,175,308,0,659,40,15,59,0
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",495,33,64,104,9,954,549,14,16,39,0,405,0,8,24,0
"Orient CDP, New York: Summary level: 160, state:36> place:55321",35,0,0,0,10,311,137,6,35,8,0,174,20,3,14,0
"Oriskany village, New York: Summary level: 160, state:36> place:55365",160,14,31,29,22,363,227,13,6,28,0,136,0,3,3,0
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",124,3,8,9,6,190,151,14,3,4,0,39,4,0,0,0
"Ossining village, New York: Summary level: 160, state:36> place:55530",3911,338,409,1304,106,3878,2775,297,264,638,0,1103,61,93,125,0
"Oswego city, New York: Summary level: 160, state:36> place:55574",3597,178,315,1047,474,3879,2419,62,57,180,14,1460,28,17,119,7
"Otego village, New York: Summary level: 160, state:36> place:55618",143,27,3,38,3,348,252,0,22,7,0,96,8,0,0,0
"Otisville village, New York: Summary level: 160, state:36> place:55673",111,23,9,43,0,305,250,0,23,25,0,55,0,13,2,0
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",1389,76,118,301,66,6410,3900,238,302,731,7,2510,154,113,461,5
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",541,8,115,173,30,1466,1139,132,182,236,0,327,0,12,30,0
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",365,27,75,117,20,787,281,15,0,64,0,506,24,29,109,0
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",622,36,102,99,26,1971,1346,94,98,145,23,625,8,12,67,30
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",577,0,71,64,68,1224,838,14,0,89,0,386,0,0,0,0
"East Hampton village, New York: Summary level: 160, state:36> place:22183",159,4,8,13,23,434,196,13,19,92,0,238,0,6,40,3
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",533,0,39,258,92,1047,629,12,81,212,0,418,22,0,36,0
"East Hills village, New York: Summary level: 160, state:36> place:22260",38,0,0,0,18,2176,1274,26,103,379,0,902,55,81,74,11
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",484,30,19,139,49,4026,3042,85,295,697,0,984,82,14,102,0
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",545,62,29,104,141,565,324,6,39,9,0,241,0,0,14,0
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",7,0,0,7,0,75,52,11,11,0,0,23,0,0,0,0
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",25,6,0,8,0,443,215,47,14,44,0,228,10,5,30,0
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",920,12,191,90,70,5498,3731,188,378,633,11,1767,80,113,222,8
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",1586,35,99,497,162,10640,6500,388,849,1193,14,4140,166,252,503,31
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",461,10,47,116,24,1485,971,80,110,216,0,514,11,40,88,10
"East Nassau village, New York: Summary level: 160, state:36> place:22557",53,3,0,17,10,197,147,14,4,31,0,50,0,0,4,0
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",988,136,57,284,106,5980,4087,206,370,553,36,1893,102,158,227,0
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",66,0,5,40,0,858,500,19,21,82,0,358,7,27,47,12
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",3059,319,370,881,145,5211,3716,312,264,883,23,1495,79,27,192,19
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",210,0,37,80,14,464,251,6,12,86,0,213,11,0,47,0
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",179,27,21,13,0,1626,895,85,75,191,0,731,77,20,33,0
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",63,0,7,16,0,128,75,0,0,16,0,53,0,0,2,0
"East Rochester village, New York: Summary level: 160, state:36> place:22865",1097,13,141,325,15,1749,1322,51,104,63,13,427,26,21,54,0
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",981,63,76,345,14,2617,1687,138,127,338,0,930,12,121,78,0
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",122,0,25,20,0,1914,1433,134,77,175,0,481,12,11,48,0
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",754,44,41,268,41,685,444,32,21,64,0,241,12,12,62,0
"East Williston village, New York: Summary level: 160, state:36> place:23217",36,0,15,0,4,808,473,28,34,97,0,335,5,5,78,0
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",10,0,0,10,0,483,298,36,18,40,0,185,0,0,44,0
"Eden CDP, New York: Summary level: 160, state:36> place:23404",150,0,0,21,17,1148,804,28,74,47,0,344,0,35,10,0
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",112,17,4,0,0,178,139,2,9,10,0,39,0,0,0,0
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",1637,73,191,436,135,4646,3181,87,59,325,0,1465,27,38,82,25
"Elba village, New York: Summary level: 160, state:36> place:23745",45,2,0,0,14,212,161,6,6,7,0,51,0,0,3,0
"Elbridge village, New York: Summary level: 160, state:36> place:23789",73,6,3,19,0,312,200,13,3,15,0,112,0,8,0,0
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",96,0,10,4,0,208,117,0,14,0,0,91,0,4,5,0
"Ellenville village, New York: Summary level: 160, state:36> place:23965",720,47,31,228,28,758,617,34,33,143,0,141,7,6,17,0
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",51,6,0,0,5,118,56,0,10,7,0,62,0,3,4,0
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",28,0,0,3,8,54,31,0,1,6,0,23,0,0,8,0
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",98,19,0,26,0,1014,421,17,0,75,0,593,0,42,18,13
"Elmira city, New York: Summary level: 160, state:36> place:24229",5711,358,415,1756,313,5290,3371,204,221,231,0,1919,52,77,87,32
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",941,31,38,247,53,841,503,0,0,41,0,338,8,9,25,0
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",2132,88,137,689,116,7565,5825,488,636,1601,0,1740,67,117,308,0
"Elmsford village, New York: Summary level: 160, state:36> place:24295",789,53,25,171,64,757,517,93,72,89,0,240,0,9,26,0
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",248,25,7,70,58,3260,2195,118,293,462,8,1065,67,41,145,0
"Endicott village, New York: Summary level: 160, state:36> place:24515",3429,218,410,991,133,2648,1672,40,76,177,17,976,37,30,65,26
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",1407,35,212,230,103,3715,2231,48,78,193,24,1484,9,58,29,0
"Erin CDP, New York: Summary level: 160, state:36> place:24625",11,0,8,0,0,166,52,4,0,7,0,114,10,0,0,11
"Esperance village, New York: Summary level: 160, state:36> place:24713",22,0,4,2,0,127,86,12,0,5,1,41,3,7,0,2
