,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Colonie village, New York: Summary level: 160, state:36> place:17332",630,16,12,157,51,2383,1459,67,65,76,8,924,0,25,14,0
"Weston Mills CDP, New York: Summary level: 160, state:36> place:80632",169,5,4,39,0,444,192,0,0,0,0,252,6,0,0,0
"Clayton village, New York: Summary level: 160, state:36> place:16089",371,33,38,75,13,513,335,21,23,21,0,178,0,4,29,0
"Deferiet village, New York: Summary level: 160, state:36> place:19994",48,1,4,8,4,72,48,0,3,0,1,24,0,2,6,0
"Depauville CDP, New York: Summary level: 160, state:36> place:20302",14,0,0,0,0,148,65,0,0,20,0,83,0,0,0,0
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",109,16,4,17,9,109,61,0,2,4,0,48,0,0,2,0
"Port Ewen CDP, New York: Summary level: 160, state:36> place:59311",415,14,40,119,7,1034,529,73,8,21,0,505,0,40,46,26
"Saugerties South CDP, New York: Summary level: 160, state:36> place:65310",244,0,8,50,23,512,287,0,28,0,0,225,15,8,16,0
"Stone Ridge CDP, New York: Summary level: 160, state:36> place:71597",65,0,16,10,0,363,203,0,0,58,0,160,20,0,0,18
"Wallkill CDP, New York: Summary level: 160, state:36> place:78003",315,35,41,85,0,458,335,39,25,23,0,123,0,0,0,5
"West Hurley CDP, New York: Summary level: 160, state:36> place:80291",111,0,0,89,6,783,389,0,30,15,0,394,0,18,52,11
"Woodstock CDP, New York: Summary level: 160, state:36> place:83041",392,12,28,196,8,704,373,16,41,89,0,331,8,33,50,11
"Cambridge village, New York: Summary level: 160, state:36> place:11825",343,0,14,95,33,481,310,0,13,37,0,171,10,0,21,7
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",1457,143,113,457,0,1444,903,28,0,30,0,541,15,0,24,20
"Waterford village, New York: Summary level: 160, state:36> place:78520",531,22,32,96,19,427,265,35,23,11,4,162,9,5,0,4
"Lake George village, New York: Summary level: 160, state:36> place:40508",240,0,10,66,10,254,185,3,10,11,0,69,8,3,9,0
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",113,11,2,32,8,200,103,0,0,10,6,97,0,11,2,4
"Malone village, New York: Summary level: 160, state:36> place:44710",1242,141,72,390,46,1259,648,21,0,111,6,611,15,0,52,13
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",207,11,63,0,23,585,322,0,20,18,0,263,20,21,75,0
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",61,0,9,4,25,473,253,0,43,48,0,220,3,0,12,0
"Little Valley village, New York: Summary level: 160, state:36> place:42829",192,8,25,37,0,253,140,0,0,7,0,113,0,0,0,0
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",102,0,0,25,6,1836,1180,47,85,221,11,656,6,27,96,0
"Dix Hills CDP, New York: Summary level: 160, state:36> place:20687",498,0,0,152,55,7771,5072,370,404,886,48,2699,54,148,452,10
"West Babylon CDP, New York: Summary level: 160, state:36> place:79246",3326,265,337,867,150,10025,7072,551,604,1293,0,2953,102,168,410,0
"Brownville village, New York: Summary level: 160, state:36> place:10231",124,13,0,12,12,283,185,11,0,7,0,98,0,0,0,0
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",1248,32,171,507,38,2333,1631,57,181,381,0,702,69,18,86,29
"Riverhead CDP, New York: Summary level: 160, state:36> place:61973",2193,78,179,742,156,3180,1869,78,314,368,15,1311,29,47,174,35
"South Huntington CDP, New York: Summary level: 160, state:36> place:69254",465,31,0,171,64,2837,1846,194,124,388,12,991,28,77,51,0
"Shinnecock Hills CDP, New York: Summary level: 160, state:36> place:67048",255,0,76,55,30,762,400,16,20,96,0,362,0,46,36,0
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",384,0,0,125,29,970,680,15,136,64,18,290,17,0,27,0
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",564,35,139,110,34,817,572,0,32,99,0,245,0,0,31,0
"Stillwater village, New York: Summary level: 160, state:36> place:71322",220,0,1,31,17,515,355,30,5,10,3,160,0,8,10,3
"West Glens Falls CDP, New York: Summary level: 160, state:36> place:80082",459,22,0,157,13,2255,1481,111,143,115,19,774,16,0,59,19
"Great River CDP, New York: Summary level: 160, state:36> place:30235",47,0,0,8,0,378,222,9,13,19,0,156,0,11,49,0
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",1127,89,21,289,80,5668,3584,197,287,590,6,2084,86,117,249,37
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",1779,48,236,548,167,7060,4920,333,408,1120,9,2140,78,142,404,0
"Oakfield village, New York: Summary level: 160, state:36> place:54155",169,18,20,21,16,463,311,0,16,20,0,152,3,0,3,0
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",427,10,15,107,97,2234,1516,84,116,186,0,718,69,13,105,0
"Bronxville village, New York: Summary level: 160, state:36> place:08532",432,10,59,127,63,1758,953,14,23,106,7,805,0,23,110,0
"Centre Island village, New York: Summary level: 160, state:36> place:13618",15,0,0,2,11,169,61,1,3,28,0,108,1,4,13,12
"Chittenango village, New York: Summary level: 160, state:36> place:15561",416,25,8,69,45,1316,1018,43,22,88,0,298,10,0,0,0
"Larchmont village, New York: Summary level: 160, state:36> place:41333",488,8,35,17,16,1545,1063,59,48,143,0,482,0,0,93,19
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",1559,27,234,366,38,2477,1377,78,123,129,0,1100,10,73,99,34
"Pleasantville village, New York: Summary level: 160, state:36> place:58728",670,11,42,394,20,1878,1424,82,155,99,0,454,14,47,58,0
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",97,6,19,12,5,504,283,22,16,87,0,221,10,23,24,3
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",1227,109,117,380,133,6667,4960,491,197,988,38,1707,78,54,140,14
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",718,185,21,124,15,1170,834,0,74,133,13,336,11,0,51,0
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",964,48,80,286,85,5830,3777,131,283,983,0,2053,91,125,315,0
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",90,9,21,7,38,1242,825,33,46,115,0,417,15,22,68,7
"Great Neck village, New York: Summary level: 160, state:36> place:30169",741,50,109,335,69,2348,1300,88,137,290,10,1048,40,103,222,11
"Kings Point village, New York: Summary level: 160, state:36> place:39694",42,0,0,0,30,1264,677,10,62,372,0,587,21,57,182,0
"Peru CDP, New York: Summary level: 160, state:36> place:57364",155,19,0,23,0,525,315,21,22,0,13,210,0,0,15,0
"Plattsburgh city, New York: Summary level: 160, state:36> place:58574",4989,261,192,1229,357,2905,1780,50,49,89,0,1125,13,10,51,0
"Watervliet city, New York: Summary level: 160, state:36> place:78674",3170,283,340,464,116,1546,980,37,133,56,0,566,30,7,15,0
"East Hills village, New York: Summary level: 160, state:36> place:22260",14,0,0,0,0,2334,1412,111,98,235,0,922,51,23,117,0
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",1157,63,160,361,113,2547,1745,88,143,242,0,802,10,22,116,0
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",193,0,0,69,23,1186,726,16,49,37,8,460,35,19,61,0
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",24,0,13,11,0,277,170,0,12,62,0,107,0,0,16,0
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",1558,37,138,531,37,1485,966,65,144,205,0,519,24,53,41,0
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",148,0,9,45,25,5521,3472,251,183,424,16,2049,105,161,279,16
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",358,19,0,60,65,4432,2409,256,122,452,0,2023,42,65,301,0
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",71,0,0,7,19,1029,579,19,84,215,5,450,0,35,60,7
"Plandome Heights village, New York: Summary level: 160, state:36> place:58486",14,3,0,0,5,315,159,5,5,19,2,156,11,13,14,0
"South Hempstead CDP, New York: Summary level: 160, state:36> place:69188",133,0,22,20,0,920,614,74,104,57,7,306,7,13,45,5
"Margaretville village, New York: Summary level: 160, state:36> place:45557",106,5,7,40,6,140,40,0,12,13,0,100,6,2,0,0
"South Valley Stream CDP, New York: Summary level: 160, state:36> place:69892",273,7,21,62,10,1756,1150,109,173,113,21,606,24,9,39,9
"Upper Brookville village, New York: Summary level: 160, state:36> place:76331",46,0,27,7,0,458,254,18,20,79,0,204,3,5,31,0
"Williston Park village, New York: Summary level: 160, state:36> place:82117",503,18,30,141,19,2079,1229,86,71,200,0,850,29,69,179,0
"Woodbury CDP, New York: Summary level: 160, state:36> place:82744",399,9,23,122,45,2565,1610,115,88,318,0,955,49,60,136,30
"New York Mills village, New York: Summary level: 160, state:36> place:51011",960,18,172,180,38,777,405,0,0,56,0,372,0,69,36,0
"Oriskany village, New York: Summary level: 160, state:36> place:55365",232,8,12,119,14,375,211,8,34,16,0,164,4,0,32,0
"Rome city, New York: Summary level: 160, state:36> place:63418",5551,313,460,1208,343,7071,4321,135,179,369,45,2750,56,107,195,0
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",395,21,14,101,17,1332,789,33,44,40,0,543,45,7,21,6
"Canton village, New York: Summary level: 160, state:36> place:12331",788,28,69,240,19,725,475,10,0,16,0,250,8,0,8,9
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",184,0,0,49,0,1137,666,35,36,70,0,471,25,8,27,0
"Piermont village, New York: Summary level: 160, state:36> place:57749",379,35,29,67,19,805,509,22,30,50,0,296,8,6,61,0
"Sloatsburg village, New York: Summary level: 160, state:36> place:67708",234,15,10,22,31,853,676,18,77,123,10,177,6,5,44,0
"Massena village, New York: Summary level: 160, state:36> place:46019",1646,22,122,490,61,2989,1713,44,64,145,22,1276,41,38,58,10
"Potsdam village, New York: Summary level: 160, state:36> place:59564",1200,34,215,409,70,907,537,8,16,41,0,370,0,9,0,4
"Unadilla village, New York: Summary level: 160, state:36> place:76001",160,15,7,56,12,302,185,6,6,19,0,117,3,0,4,0
"Highland CDP, New York: Summary level: 160, state:36> place:34484",878,65,18,439,12,1223,746,16,41,126,0,477,0,27,62,0
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",673,0,40,296,67,448,227,27,24,19,0,221,17,9,16,0
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",648,105,36,110,54,872,606,42,22,90,0,266,10,0,42,0
"New Paltz village, New York: Summary level: 160, state:36> place:50551",1421,114,96,496,183,514,274,43,37,54,0,240,5,0,23,0
"Pine Hill CDP, New York: Summary level: 160, state:36> place:58057",10,0,0,0,0,81,42,9,0,13,0,39,0,0,19,0
"Deposit village, New York: Summary level: 160, state:36> place:20346",272,20,33,71,18,397,211,3,18,43,0,186,0,1,19,4
"Corinth village, New York: Summary level: 160, state:36> place:18212",360,30,17,104,10,621,439,15,47,73,0,182,0,4,8,0
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",165,0,0,69,22,538,446,13,0,44,41,92,0,0,0,0
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",514,47,62,35,17,1307,901,69,0,15,0,406,14,0,41,0
"Thornwood CDP, New York: Summary level: 160, state:36> place:73715",287,0,8,68,18,1029,577,68,42,79,0,452,13,27,47,0
"White Plains city, New York: Summary level: 160, state:36> place:81677",10901,605,832,3168,590,12028,7473,440,463,1392,96,4555,221,163,653,66
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",386,15,46,161,16,443,248,11,11,20,0,195,0,23,9,0
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",0,0,0,0,0,92,65,0,0,0,0,27,0,13,0,0
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",465,25,12,200,25,1738,990,52,19,45,8,748,7,15,25,0
"Scotia village, New York: Summary level: 160, state:36> place:65893",968,51,41,317,86,2093,1363,85,99,144,12,730,66,12,17,41
"Northville village, New York: Summary level: 160, state:36> place:53770",207,0,20,58,28,242,177,11,0,15,0,65,2,3,16,0
"Cleveland village, New York: Summary level: 160, state:36> place:16188",57,6,3,7,19,226,144,2,10,15,0,82,10,0,5,0
"Mexico village, New York: Summary level: 160, state:36> place:46811",278,10,33,39,13,364,227,10,10,8,0,137,0,7,2,0
"Monticello village, New York: Summary level: 160, state:36> place:48175",1708,144,260,492,105,722,230,40,0,10,0,492,51,0,60,10
"Goshen village, New York: Summary level: 160, state:36> place:29542",967,61,125,304,31,1023,757,17,40,170,9,266,16,30,9,0
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",791,83,61,102,10,871,573,34,20,109,0,298,9,0,19,0
"Maybrook village, New York: Summary level: 160, state:36> place:46162",521,54,41,66,49,849,630,21,28,95,15,219,0,11,46,0
"Lacona village, New York: Summary level: 160, state:36> place:40200",78,0,3,25,3,172,116,0,7,8,0,56,0,2,0,0
"Minetto CDP, New York: Summary level: 160, state:36> place:47680",90,7,0,3,6,377,236,9,3,15,0,141,0,7,10,0
"Liberty village, New York: Summary level: 160, state:36> place:42224",891,77,49,285,91,578,284,8,25,70,0,294,55,0,30,0
"Monroe village, New York: Summary level: 160, state:36> place:47988",573,40,77,151,5,2011,1275,79,124,82,5,736,12,30,68,31
"Smallwood CDP, New York: Summary level: 160, state:36> place:67730",52,0,0,10,0,189,131,26,0,0,0,58,0,0,0,0
"Wurtsboro village, New York: Summary level: 160, state:36> place:83272",168,8,8,44,30,292,222,0,5,32,0,70,0,6,6,0
"Montgomery village, New York: Summary level: 160, state:36> place:48142",610,42,9,191,22,963,646,26,92,81,0,317,0,21,27,0
"Newburgh city, New York: Summary level: 160, state:36> place:50034",6503,300,749,2277,452,2855,2120,168,210,550,19,735,24,57,94,0
"Unionville village, New York: Summary level: 160, state:36> place:76210",60,0,9,14,9,200,140,10,8,14,0,60,0,0,0,0
"Washington Heights CDP, New York: Summary level: 160, state:36> place:78421",161,0,0,79,0,553,376,20,6,26,0,177,0,0,12,0
"Verplanck CDP, New York: Summary level: 160, state:36> place:77211",177,0,0,40,0,290,164,41,0,0,0,126,0,11,0,0
"Phoenicia CDP, New York: Summary level: 160, state:36> place:57650",72,0,0,28,35,111,16,0,0,8,0,95,0,0,0,0
"Athens village, New York: Summary level: 160, state:36> place:02902",211,15,5,78,20,433,275,3,8,59,0,158,8,3,3,6
"Accord CDP, New York: Summary level: 160, state:36> place:00155",79,0,16,13,6,103,81,0,0,0,0,22,0,0,0,0
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",98,0,0,8,33,366,208,23,0,12,0,158,22,0,10,0
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",43,0,0,11,13,436,236,3,17,50,0,200,0,13,53,2
"Saratoga Springs city, New York: Summary level: 160, state:36> place:65255",5400,411,396,970,160,6993,4528,172,272,565,3,2465,70,23,178,0
"Owego village, New York: Summary level: 160, state:36> place:55882",808,42,148,214,9,895,558,0,35,43,0,337,0,0,101,0
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",37,0,2,5,1,103,81,10,6,1,0,22,0,1,0,0
"Lake Success village, New York: Summary level: 160, state:36> place:40937",19,0,0,0,2,747,418,32,37,60,0,329,5,6,57,16
"Pottersville CDP, New York: Summary level: 160, state:36> place:59619",40,0,0,40,0,108,57,0,0,0,0,51,0,0,0,0
"Prattsburgh CDP, New York: Summary level: 160, state:36> place:59708",63,0,0,0,20,241,97,6,0,8,0,144,13,0,5,0
"Prattsville CDP, New York: Summary level: 160, state:36> place:59740",22,0,0,12,0,70,14,0,3,0,0,56,3,3,3,0
"Pultneyville CDP, New York: Summary level: 160, state:36> place:59993",7,0,0,0,7,250,174,18,17,15,0,76,0,0,0,0
"Retsof CDP, New York: Summary level: 160, state:36> place:61236",0,0,0,0,0,60,40,0,0,0,0,20,0,0,0,0
"Rhinecliff CDP, New York: Summary level: 160, state:36> place:61368",26,0,0,10,0,106,64,17,0,0,0,42,0,0,0,0
"Rodman CDP, New York: Summary level: 160, state:36> place:63330",3,0,0,0,0,68,35,0,0,3,0,33,0,0,0,0
"Romulus CDP, New York: Summary level: 160, state:36> place:63429",38,0,0,4,0,110,63,4,6,5,0,47,0,0,4,0
"Rosendale Hamlet CDP, New York: Summary level: 160, state:36> place:63742",146,5,7,29,32,360,206,35,0,50,0,154,0,24,8,0
"St. Regis Falls CDP, New York: Summary level: 160, state:36> place:64716",42,0,0,22,0,134,67,0,16,3,0,67,0,0,0,0
"Salisbury Mills CDP, New York: Summary level: 160, state:36> place:64859",18,0,0,0,0,55,48,7,0,0,0,7,0,0,0,0
"Salt Point CDP, New York: Summary level: 160, state:36> place:64892",0,0,0,0,0,55,20,0,6,5,0,35,0,0,0,0
"Sanborn CDP, New York: Summary level: 160, state:36> place:64958",178,16,0,32,6,371,191,11,0,8,0,180,0,0,40,0
"Savannah CDP, New York: Summary level: 160, state:36> place:65332",51,9,0,14,3,144,78,0,0,0,0,66,0,3,0,4
"Schroon Lake CDP, New York: Summary level: 160, state:36> place:65640",93,0,2,27,3,211,112,28,13,6,0,99,0,0,0,0
"Scio CDP, New York: Summary level: 160, state:36> place:65761",31,0,2,20,0,224,109,5,6,4,0,115,0,0,3,0
"Rushford CDP, New York: Summary level: 160, state:36> place:64155",56,13,8,12,0,121,73,0,0,0,0,48,0,7,0,0
"Scottsburg CDP, New York: Summary level: 160, state:36> place:65926",0,0,0,0,0,33,26,0,0,0,0,7,0,0,0,0
"Smithville Flats CDP, New York: Summary level: 160, state:36> place:68088",31,0,3,4,14,121,69,0,0,0,0,52,0,0,11,0
"South Lima CDP, New York: Summary level: 160, state:36> place:69364",8,0,0,0,0,96,37,0,0,10,0,59,0,8,0,0
"Sparkill CDP, New York: Summary level: 160, state:36> place:70068",33,0,0,33,0,527,384,42,62,51,0,143,0,12,23,0
"Springwater Hamlet CDP, New York: Summary level: 160, state:36> place:70477",38,6,6,10,0,118,73,0,5,19,0,45,0,6,0,0
"Stony Brook University CDP, New York: Summary level: 160, state:36> place:71620",2,0,0,0,0,15,8,4,0,4,0,7,0,0,0,0
"Strykersville CDP, New York: Summary level: 160, state:36> place:71817",54,0,0,6,0,228,137,14,5,8,0,91,5,0,4,0
"Sunset Bay CDP, New York: Summary level: 160, state:36> place:72246",59,0,0,0,0,195,122,0,0,10,0,73,0,0,0,0
"SUNY Oswego CDP, New York: Summary level: 160, state:36> place:72327",7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Thousand Island Park CDP, New York: Summary level: 160, state:36> place:73726",0,0,0,0,0,39,31,5,0,4,0,8,0,0,5,0
"Three Mile Bay CDP, New York: Summary level: 160, state:36> place:73737",13,0,0,0,13,87,41,0,0,16,0,46,14,0,0,0
"Titusville CDP, New York: Summary level: 160, state:36> place:74017",24,0,0,0,0,245,113,0,23,20,0,132,0,0,0,0
"Tuscarora CDP, New York: Summary level: 160, state:36> place:75726",0,0,0,0,0,27,14,0,0,0,0,13,0,0,0,0
"University at Buffalo CDP, New York: Summary level: 160, state:36> place:76280",95,7,8,50,19,0,0,0,0,0,0,0,0,0,0,0
"Verona CDP, New York: Summary level: 160, state:36> place:77167",63,0,0,0,0,288,125,14,11,31,0,163,0,15,0,0
"Wadsworth CDP, New York: Summary level: 160, state:36> place:77783",26,0,0,0,0,97,19,0,0,0,0,78,0,0,21,0
"Wanakah CDP, New York: Summary level: 160, state:36> place:78124",97,0,0,0,15,1178,767,16,0,58,14,411,0,0,100,0
"Washington Mills CDP, New York: Summary level: 160, state:36> place:78454",336,63,0,16,0,389,220,39,0,24,0,169,0,0,0,0
"Websters Crossing CDP, New York: Summary level: 160, state:36> place:78982",0,0,0,0,0,14,9,0,4,5,0,5,0,0,0,0
"West Chazy CDP, New York: Summary level: 160, state:36> place:79543",100,26,0,8,0,133,55,0,0,14,0,78,0,0,0,0
"Westmoreland CDP, New York: Summary level: 160, state:36> place:80522",145,0,0,0,0,173,38,0,0,0,0,135,0,0,0,0
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",15,0,0,4,0,195,105,0,0,10,0,90,0,0,0,0
"Port Gibson CDP, New York: Summary level: 160, state:36> place:59322",20,0,8,8,0,142,71,0,0,29,0,71,0,0,0,0
"Busti CDP, New York: Summary level: 160, state:36> place:11440",18,0,0,0,0,81,44,0,0,0,0,37,0,0,0,0
"Byersville CDP, New York: Summary level: 160, state:36> place:11550",0,0,0,0,0,17,11,0,0,3,0,6,0,0,0,0
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",0,0,0,0,0,110,58,0,0,0,0,52,0,0,0,0
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",109,0,0,37,19,145,55,0,0,0,0,90,0,6,4,0
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",0,0,0,0,0,222,147,0,0,32,0,75,0,0,0,0
"Tuckahoe CDP, New York: Summary level: 160, state:36> place:75572",74,0,0,23,10,291,157,12,0,51,0,134,0,0,47,11
"Millport village, New York: Summary level: 160, state:36> place:47427",30,0,0,11,7,122,49,3,2,9,0,73,2,0,3,6
"Richville village, New York: Summary level: 160, state:36> place:61621",12,0,0,4,0,97,64,5,6,4,0,33,0,0,2,1
"Red Creek village, New York: Summary level: 160, state:36> place:60829",87,7,3,22,15,128,77,0,10,4,0,51,0,0,2,3
"Wolcott village, New York: Summary level: 160, state:36> place:82678",311,34,49,54,32,415,227,21,4,35,0,188,0,8,7,0
"Wappingers Falls village, New York: Summary level: 160, state:36> place:78168",1355,114,91,494,0,743,406,87,52,17,0,337,10,29,17,0
"Alexander village, New York: Summary level: 160, state:36> place:01154",109,3,0,8,10,127,88,4,3,6,0,39,0,0,5,0
"West Sayville CDP, New York: Summary level: 160, state:36> place:80885",218,0,39,122,18,1386,850,66,48,77,10,536,61,20,64,19
"Wheatley Heights CDP, New York: Summary level: 160, state:36> place:81419",140,14,11,67,0,1160,890,47,42,132,19,270,12,22,41,0
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",52,15,0,0,0,471,289,20,0,43,0,182,0,0,20,0
"Frankfort village, New York: Summary level: 160, state:36> place:27188",286,0,5,66,25,654,329,16,19,23,0,325,13,5,0,0
"Ilion village, New York: Summary level: 160, state:36> place:37275",1094,86,55,199,60,2000,1225,0,0,79,0,775,0,0,39,0
"Kensington village, New York: Summary level: 160, state:36> place:39309",30,0,0,12,3,391,158,15,0,47,0,233,6,9,33,9
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",9131,552,961,2565,679,12343,6448,217,305,830,7,5895,229,181,418,97
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",4225,135,328,709,183,9420,5918,188,139,505,39,3502,70,88,158,55
"Ransomville CDP, New York: Summary level: 160, state:36> place:60598",106,0,56,10,0,456,313,8,8,17,0,143,8,0,0,0
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",1,0,0,0,1,132,71,2,6,8,0,61,0,3,8,1
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",3,0,0,0,3,375,180,12,11,41,0,195,0,6,48,0
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",669,44,50,74,13,271,153,0,0,37,0,118,0,0,9,0
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",2057,134,199,363,105,2735,1650,36,81,124,0,1085,10,79,47,34
"Manchester village, New York: Summary level: 160, state:36> place:44853",185,3,12,5,10,557,283,10,14,36,0,274,10,11,15,0
"Cato village, New York: Summary level: 160, state:36> place:12958",80,9,4,11,12,153,100,0,5,2,0,53,2,0,0,0
"Moravia village, New York: Summary level: 160, state:36> place:48296",195,0,0,36,13,377,224,14,12,20,0,153,10,11,16,0
"East Williston village, New York: Summary level: 160, state:36> place:23217",11,0,0,11,0,790,438,50,58,36,0,352,13,10,59,0
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",157,19,0,35,33,1414,783,32,87,155,0,631,0,53,117,0
"Chaumont village, New York: Summary level: 160, state:36> place:14036",81,4,6,15,14,186,133,2,9,8,0,53,0,2,2,0
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",3220,176,420,654,706,28,0,0,0,0,0,28,0,11,0,0
"Mannsville village, New York: Summary level: 160, state:36> place:45073",29,0,0,0,11,93,65,5,5,5,0,28,1,0,0,0
"Nelliston village, New York: Summary level: 160, state:36> place:49748",69,4,0,19,12,149,58,3,2,4,0,91,9,1,0,0
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",900,34,79,228,39,1112,704,37,55,60,0,408,21,10,45,0
"Seaford CDP, New York: Summary level: 160, state:36> place:66058",583,13,45,62,56,4500,2862,132,377,283,8,1638,18,70,168,35
"Wyoming village, New York: Summary level: 160, state:36> place:83371",36,0,0,1,2,117,76,1,7,12,0,41,2,1,6,0
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",61,0,0,0,15,677,388,59,12,52,0,289,0,0,64,0
"Hammond village, New York: Summary level: 160, state:36> place:31830",38,6,0,11,6,69,39,1,3,6,0,30,0,0,0,0
"Harrisville village, New York: Summary level: 160, state:36> place:32424",66,0,2,15,6,166,96,0,6,0,0,70,2,3,14,0
"Clinton village, New York: Summary level: 160, state:36> place:16419",226,16,10,29,0,501,307,10,26,20,7,194,5,5,0,0
"Alden village, New York: Summary level: 160, state:36> place:01088",363,21,20,97,9,810,549,0,24,36,0,261,0,4,13,10
"Sodus Point village, New York: Summary level: 160, state:36> place:68242",95,5,18,22,8,367,204,5,20,18,0,163,18,7,12,0
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",41,0,0,41,0,298,267,21,0,18,0,31,0,0,9,0
"Churchville village, New York: Summary level: 160, state:36> place:15638",215,0,4,48,0,696,429,22,10,30,0,267,0,0,4,0
"West Nyack CDP, New York: Summary level: 160, state:36> place:80599",96,0,17,15,0,1374,902,13,116,24,0,472,17,54,70,20
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",27,0,0,7,6,90,42,0,0,2,0,48,8,2,2,0
"Chatham village, New York: Summary level: 160, state:36> place:14003",316,29,44,78,23,397,236,7,0,37,0,161,0,13,13,0
"Spencerport village, New York: Summary level: 160, state:36> place:70189",364,70,43,76,29,1074,801,0,0,25,19,273,0,11,14,24
"Sayville CDP, New York: Summary level: 160, state:36> place:65409",1333,58,99,422,126,4214,2869,251,226,306,21,1345,64,59,179,0
"Wading River CDP, New York: Summary level: 160, state:36> place:77772",241,0,18,77,24,2401,1600,73,97,317,0,801,54,14,73,0
"Argyle village, New York: Summary level: 160, state:36> place:02550",85,3,10,40,0,121,92,2,9,10,0,29,3,0,1,0
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",72,0,0,44,0,131,47,12,0,3,0,84,0,0,0,0
"Allegany village, New York: Summary level: 160, state:36> place:01286",327,42,9,82,26,415,276,5,7,23,0,139,0,0,3,0
"Sag Harbor village, New York: Summary level: 160, state:36> place:64485",273,9,26,144,18,720,382,44,53,51,0,338,11,35,44,0
"Franklinville village, New York: Summary level: 160, state:36> place:27331",219,11,21,50,9,414,230,7,5,14,0,184,0,0,3,4
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",5,0,0,0,0,337,224,28,21,21,0,113,0,0,21,11
"North Collins village, New York: Summary level: 160, state:36> place:51792",179,13,13,21,3,299,184,6,2,22,3,115,8,10,5,0
