,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Dobbs Ferry village, New York: Summary level: 160, state:36> place:20698",10948,9325,7702,594,68,695,0,49,217,8,209,1623
"Dolgeville village, New York: Summary level: 160, state:36> place:20731",2084,2055,2006,29,0,3,0,0,17,0,17,29
"Dover Plains CDP, New York: Summary level: 160, state:36> place:20841",1282,1121,1097,24,0,0,0,0,0,0,0,161
"Downsville CDP, New York: Summary level: 160, state:36> place:20852",629,617,609,0,0,0,0,0,8,0,8,12
"Dresden village, New York: Summary level: 160, state:36> place:20896",365,312,280,0,3,0,4,0,25,0,25,53
"Dryden village, New York: Summary level: 160, state:36> place:20951",1971,1898,1843,3,0,6,0,0,46,0,46,73
"Duane Lake CDP, New York: Summary level: 160, state:36> place:20989",329,329,329,0,0,0,0,0,0,0,0,0
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",283,243,243,0,0,0,0,0,0,0,0,40
"Dundee village, New York: Summary level: 160, state:36> place:21050",1736,1711,1641,21,10,2,0,0,37,0,37,25
"Dunkirk city, New York: Summary level: 160, state:36> place:21105",12458,9313,8446,619,72,23,0,0,153,7,146,3145
"Durhamville CDP, New York: Summary level: 160, state:36> place:21226",631,631,631,0,0,0,0,0,0,0,0,0
"Earlville village, New York: Summary level: 160, state:36> place:21523",957,951,867,18,19,22,0,0,25,0,25,6
"East Atlantic Beach CDP, New York: Summary level: 160, state:36> place:21578",2109,2016,1962,46,0,8,0,0,0,0,0,93
"East Aurora village, New York: Summary level: 160, state:36> place:21589",6237,6149,6001,54,8,47,0,26,13,0,13,88
"East Avon CDP, New York: Summary level: 160, state:36> place:21600",494,494,421,0,0,0,0,0,73,0,73,0
"Monroe village, New York: Summary level: 160, state:36> place:47988",8455,6783,5938,158,0,609,0,0,78,0,78,1672
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",18341,17909,17346,363,53,86,0,0,61,41,20,432
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3471,3160,2992,98,0,70,0,0,0,0,0,311
"Montebello village, New York: Summary level: 160, state:36> place:48090",4558,4194,3307,412,0,308,0,146,21,0,21,364
"Montgomery village, New York: Summary level: 160, state:36> place:48142",4000,3524,3310,168,0,0,13,0,33,0,33,476
"Monticello village, New York: Summary level: 160, state:36> place:48175",6781,4716,2184,2171,0,75,0,0,286,37,249,2065
"Montour Falls village, New York: Summary level: 160, state:36> place:48197",1844,1787,1738,31,0,13,0,1,4,0,4,57
"Montrose CDP, New York: Summary level: 160, state:36> place:48208",2661,2357,2095,88,16,101,0,0,57,0,57,304
"Mooers CDP, New York: Summary level: 160, state:36> place:48241",266,255,255,0,0,0,0,0,0,0,0,11
"Moravia village, New York: Summary level: 160, state:36> place:48296",1362,1357,1335,0,0,8,0,0,14,0,14,5
"Moriches CDP, New York: Summary level: 160, state:36> place:48450",2156,2058,1833,74,0,148,0,0,3,0,3,98
"Morris village, New York: Summary level: 160, state:36> place:48483",467,453,440,0,0,0,0,0,13,0,13,14
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1937,1937,1871,23,0,28,0,0,15,0,15,0
"Morristown village, New York: Summary level: 160, state:36> place:48571",509,509,498,6,3,1,0,0,1,0,1,0
"Morrisville village, New York: Summary level: 160, state:36> place:48593",2117,1959,1503,353,19,58,3,14,9,0,9,158
"Mountain Lodge Park CDP, New York: Summary level: 160, state:36> place:48750",1512,1315,1186,34,0,0,0,0,95,0,95,197
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6863,4040,3208,435,0,264,0,66,67,0,67,2823
"Mount Kisco village, New York: Summary level: 160, state:36> place:48890",10936,6667,5684,431,11,443,0,21,77,0,77,4269
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2836,2534,2427,42,8,0,0,0,57,0,57,302
"Mount Sinai CDP, New York: Summary level: 160, state:36> place:49066",11750,10732,9987,213,0,424,0,0,108,0,108,1018
"Mount Vernon city, New York: Summary level: 160, state:36> place:49121",67653,58225,13053,41205,86,1561,19,737,1564,322,1242,9428
"Munnsville village, New York: Summary level: 160, state:36> place:49220",451,451,438,1,0,2,0,4,6,0,6,0
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2683,2593,2444,0,0,113,0,0,36,6,30,90
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2395,2331,2245,0,0,10,0,10,66,0,66,64
"Muttontown village, New York: Summary level: 160, state:36> place:49330",3555,3400,2416,161,0,801,0,0,22,5,17,155
"Myers Corner CDP, New York: Summary level: 160, state:36> place:49363",6512,5960,4867,261,0,713,0,0,119,41,78,552
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",18578,16001,11222,2368,34,2113,0,0,264,40,224,2577
"Napanoch CDP, New York: Summary level: 160, state:36> place:49418",1314,1060,1020,11,0,29,0,0,0,0,0,254
"Napeague CDP, New York: Summary level: 160, state:36> place:49424",164,164,164,0,0,0,0,0,0,0,0,0
"Naples village, New York: Summary level: 160, state:36> place:49429",1115,1110,1096,0,0,0,0,0,14,0,14,5
"Narrowsburg CDP, New York: Summary level: 160, state:36> place:49473",470,451,416,28,0,0,0,0,7,0,7,19
"Nassau village, New York: Summary level: 160, state:36> place:49506",1099,1066,1016,15,1,0,0,17,17,2,15,33
"Natural Bridge CDP, New York: Summary level: 160, state:36> place:49605",741,741,741,0,0,0,0,0,0,0,0,0
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2237,2148,1676,85,278,0,0,0,109,0,109,89
"Nelliston village, New York: Summary level: 160, state:36> place:49748",595,586,583,0,0,3,0,0,0,0,0,9
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",759,676,665,5,0,6,0,0,0,0,0,83
"Nesconset CDP, New York: Summary level: 160, state:36> place:49825",13790,13093,11806,252,0,1014,0,0,21,21,0,697
"Newark village, New York: Summary level: 160, state:36> place:49891",9059,8208,7306,666,4,46,0,22,164,0,164,851
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1031,1002,938,5,18,2,0,0,39,0,39,29
"New Berlin village, New York: Summary level: 160, state:36> place:49946",1225,1213,1191,0,0,0,0,0,22,0,22,12
"Newburgh city, New York: Summary level: 160, state:36> place:50034",28731,14774,5688,8294,31,228,0,66,467,13,454,13957
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",13932,7099,866,5432,0,125,9,314,353,84,269,6833
"New City CDP, New York: Summary level: 160, state:36> place:50100",33510,30853,24990,1578,0,3268,0,234,783,275,508,2657
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3316,3316,3240,12,0,0,0,0,64,0,64,0
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",619,619,602,0,0,17,0,0,0,0,0,0
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1732,1714,1680,34,0,0,0,0,0,0,0,18
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5200,4254,3145,660,0,414,0,0,35,0,35,946
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9730,8169,5368,30,13,2479,0,115,164,89,75,1561
"New Paltz village, New York: Summary level: 160, state:36> place:50551",6898,6260,5514,200,0,384,0,12,150,51,99,638
"Newport village, New York: Summary level: 160, state:36> place:50573",449,449,431,6,0,0,0,0,12,0,12,0
"New Rochelle city, New York: Summary level: 160, state:36> place:50617",77820,56342,37726,13897,83,2869,0,199,1568,191,1377,21478
"New Square village, New York: Summary level: 160, state:36> place:50705",7127,7042,6984,4,25,0,0,0,29,7,22,85
"New Suffolk CDP, New York: Summary level: 160, state:36> place:50727",329,303,303,0,0,0,0,0,0,0,0,26
"New Windsor CDP, New York: Summary level: 160, state:36> place:50837",8850,7032,4999,1642,0,78,0,82,231,0,231,1818
"New York city, New York: Summary level: 160, state:36> place:51000",8268999,5897883,2734318,1877183,15667,1069960,3212,66078,131465,21931,109534,2371116
"New York Mills village, New York: Summary level: 160, state:36> place:51011",3345,3172,3019,104,0,9,0,0,40,0,40,173
"Niagara Falls city, New York: Summary level: 160, state:36> place:51055",49920,48774,35650,11170,235,481,38,2,1198,22,1176,1146
"Nichols village, New York: Summary level: 160, state:36> place:51110",414,404,400,0,0,0,0,0,4,0,4,10
"Niskayuna CDP, New York: Summary level: 160, state:36> place:51262",4918,4823,4476,32,0,296,0,0,19,0,19,95
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1645,1624,1592,21,0,11,0,0,0,0,0,21
"Niverville CDP, New York: Summary level: 160, state:36> place:51297",1798,1777,1731,20,0,26,0,0,0,0,0,21
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1172,1172,1125,4,0,0,0,0,43,0,43,0
"North Amityville CDP, New York: Summary level: 160, state:36> place:51396",19502,12257,1614,9901,141,115,0,46,440,33,407,7245
"Northampton CDP, New York: Summary level: 160, state:36> place:51418",503,377,177,135,0,18,0,0,47,0,47,126
"North Babylon CDP, New York: Summary level: 160, state:36> place:51440",17079,15057,13195,1197,0,533,0,39,93,15,78,2022
"North Ballston Spa CDP, New York: Summary level: 160, state:36> place:51467",1441,1441,1372,1,68,0,0,0,0,0,0,0
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",20064,7565,2908,3542,197,599,0,48,271,97,174,12499
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",20210,18225,16538,220,216,1098,0,73,80,42,38,1985
"North Bellport CDP, New York: Summary level: 160, state:36> place:51528",11404,7738,4233,2760,0,431,4,30,280,25,255,3666
"North Boston CDP, New York: Summary level: 160, state:36> place:51583",2476,2476,2476,0,0,0,0,0,0,0,0,0
"North Collins village, New York: Summary level: 160, state:36> place:51792",1301,1301,1275,0,10,0,0,0,16,0,16,0
"North Creek CDP, New York: Summary level: 160, state:36> place:51847",386,380,380,0,0,0,0,0,0,0,0,6
"Northeast Ithaca CDP, New York: Summary level: 160, state:36> place:51915",3004,2909,1778,323,0,695,0,0,113,0,113,95
"North Gates CDP, New York: Summary level: 160, state:36> place:52040",9854,9018,7543,716,14,545,9,13,178,19,159,836
"North Great River CDP, New York: Summary level: 160, state:36> place:52078",4086,3751,3434,23,0,282,0,0,12,12,0,335
"North Haven village, New York: Summary level: 160, state:36> place:52188",967,957,940,0,0,6,0,0,11,0,11,10
"North Hills village, New York: Summary level: 160, state:36> place:53022",5093,5043,3727,28,0,1268,0,0,20,6,14,50
"North Hornell village, New York: Summary level: 160, state:36> place:53055",748,743,738,0,0,5,0,0,0,0,0,5
"North Lindenhurst CDP, New York: Summary level: 160, state:36> place:53198",11818,9409,8445,368,69,293,0,12,222,56,166,2409
"North Lynbrook CDP, New York: Summary level: 160, state:36> place:53231",678,548,539,0,0,0,0,0,9,0,9,130
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",18651,17550,17026,30,0,454,0,8,32,0,32,1101
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",11816,11158,10445,194,0,471,0,0,48,33,15,658
"North New Hyde Park CDP, New York: Summary level: 160, state:36> place:53275",14581,13166,8436,100,0,4270,0,25,335,39,296,1415
"North Patchogue CDP, New York: Summary level: 160, state:36> place:53319",7051,5682,5390,169,0,92,0,0,31,0,31,1369
"Northport village, New York: Summary level: 160, state:36> place:53396",7405,7298,6877,8,0,343,0,0,70,14,56,107
"North Rose CDP, New York: Summary level: 160, state:36> place:53462",635,563,512,51,0,0,0,0,0,0,0,72
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4375,3761,3719,0,0,42,0,0,0,0,0,614
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6733,6516,6225,76,82,0,0,0,133,0,133,217
"North Tonawanda city, New York: Summary level: 160, state:36> place:53682",31373,30749,29746,366,61,399,32,37,108,0,108,624
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",16817,14626,3559,8686,13,1953,0,136,279,57,222,2191
"Northville village, New York: Summary level: 160, state:36> place:53770",899,892,864,0,0,1,0,18,9,0,9,7
"Northville CDP, New York: Summary level: 160, state:36> place:53775",1639,1526,1526,0,0,0,0,0,0,0,0,113
"North Wantagh CDP, New York: Summary level: 160, state:36> place:53792",11742,11013,10624,23,0,286,0,33,47,0,47,729
"Northwest Harbor CDP, New York: Summary level: 160, state:36> place:53852",3920,3629,3208,88,0,311,0,0,22,22,0,291
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1135,1099,1047,52,0,0,0,0,0,0,0,36
"Norwich city, New York: Summary level: 160, state:36> place:53979",7135,7066,6751,126,0,30,0,0,159,0,159,69
"Norwood village, New York: Summary level: 160, state:36> place:54012",1614,1576,1472,17,7,29,0,0,51,0,51,38
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",3673,3015,2839,0,0,176,0,0,0,0,0,658
"Nunda village, New York: Summary level: 160, state:36> place:54078",1523,1515,1484,5,10,0,4,12,0,0,0,8
"Nyack village, New York: Summary level: 160, state:36> place:54100",6980,6290,4174,1794,22,186,0,0,114,13,101,690
"Oak Beach-Captree CDP, New York: Summary level: 160, state:36> place:54112",603,603,603,0,0,0,0,0,0,0,0,0
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7329,6966,6565,94,0,270,0,7,30,8,22,363
"Oakfield village, New York: Summary level: 160, state:36> place:54155",1864,1797,1727,49,7,6,0,0,8,3,5,67
"Ocean Beach village, New York: Summary level: 160, state:36> place:54430",81,81,81,0,0,0,0,0,0,0,0,0
"Oceanside CDP, New York: Summary level: 160, state:36> place:54441",30097,27457,26246,341,21,748,0,0,101,0,101,2640
"Odessa village, New York: Summary level: 160, state:36> place:54452",631,622,612,8,2,0,0,0,0,0,0,9
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",11097,10596,9562,728,76,52,0,28,150,0,150,501
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1227,1207,1204,1,2,0,0,0,0,0,0,20
"Old Bethpage CDP, New York: Summary level: 160, state:36> place:54551",5461,5238,4936,0,0,254,0,0,48,0,48,223
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",2661,2474,1982,41,0,392,0,0,59,0,59,187
"Old Field village, New York: Summary level: 160, state:36> place:54617",898,856,787,0,0,69,0,0,0,0,0,42
"Old Forge CDP, New York: Summary level: 160, state:36> place:54639",598,597,594,0,0,0,0,0,3,0,3,1
"Old Westbury village, New York: Summary level: 160, state:36> place:54705",4648,4262,2922,360,23,774,0,8,175,23,152,386
"Olean city, New York: Summary level: 160, state:36> place:54716",14316,14054,12971,566,172,146,0,0,199,0,199,262
"Oneida city, New York: Summary level: 160, state:36> place:54837",11333,11083,10685,78,91,123,0,0,106,12,94,250
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",725,721,697,0,12,5,0,0,7,0,7,4
"Oneonta city, New York: Summary level: 160, state:36> place:54881",13922,13097,12074,463,13,130,0,107,310,7,303,825
"Ontario CDP, New York: Summary level: 160, state:36> place:55002",2171,1999,1886,71,0,42,0,0,0,0,0,172
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",4492,3850,2892,82,0,760,0,12,104,12,92,642
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",7460,5480,4327,808,0,265,0,0,80,0,80,1980
"Orchard Park village, New York: Summary level: 160, state:36> place:55266",3229,3165,3097,50,0,0,0,0,18,0,18,64
"Orient CDP, New York: Summary level: 160, state:36> place:55321",714,698,689,2,0,7,0,0,0,0,0,16
"Oriskany village, New York: Summary level: 160, state:36> place:55365",1329,1304,1295,0,0,0,0,0,9,0,9,25
"Oriskany Falls village, New York: Summary level: 160, state:36> place:55376",807,806,786,3,0,3,0,2,12,0,12,1
"Ossining village, New York: Summary level: 160, state:36> place:55530",25158,13129,8720,3019,12,995,0,47,336,132,204,12029
"Oswego city, New York: Summary level: 160, state:36> place:55574",18148,17470,16363,439,53,258,9,39,309,4,305,678
"Otego village, New York: Summary level: 160, state:36> place:55618",1204,1176,1082,0,0,12,0,0,82,0,82,28
"Otisville village, New York: Summary level: 160, state:36> place:55673",1219,1057,947,61,0,35,0,4,10,0,10,162
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19678,18576,16447,386,15,1441,0,13,274,13,261,1102
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",6477,5069,3473,954,0,474,0,23,145,86,59,1408
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",6115,5660,4054,1018,39,325,0,11,213,44,169,455
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",6748,6635,6226,119,5,135,8,37,105,0,105,113
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",4429,3984,3561,130,0,97,0,0,196,0,196,445
"East Hampton village, New York: Summary level: 160, state:36> place:22183",1137,1023,999,0,0,12,0,0,12,0,12,114
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4171,2749,2300,400,0,0,0,0,49,0,49,1422
"East Hills village, New York: Summary level: 160, state:36> place:22260",6984,6800,6077,8,0,596,0,0,119,6,113,184
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13796,12834,12449,155,0,99,0,0,131,0,131,962
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",2341,2256,1519,114,0,612,0,11,0,0,0,85
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",234,234,234,0,0,0,0,0,0,0,0,0
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",1012,968,929,0,0,5,0,6,28,0,28,44
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",19265,16199,13281,2393,0,275,0,33,217,0,217,3066
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",37687,33150,26872,1657,17,4234,0,44,326,106,220,4537
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",5109,4768,4597,119,2,26,0,11,13,1,12,341
"East Nassau village, New York: Summary level: 160, state:36> place:22557",565,544,514,7,5,1,0,0,17,0,17,21
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",19877,18565,17715,178,29,400,9,9,225,48,177,1312
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2689,2557,2414,2,0,141,0,0,0,0,0,132
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",22292,17869,16359,898,0,383,29,0,200,0,200,4423
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",1524,1232,1218,0,0,14,0,0,0,0,0,292
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4777,4589,4555,8,0,10,0,0,16,0,16,188
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",574,551,539,4,1,0,0,0,7,0,7,23
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6588,6356,5887,353,5,68,0,0,43,0,43,232
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9841,9047,8831,4,0,172,0,0,40,15,25,794
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6463,6149,5953,7,0,76,0,10,103,19,84,314
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",3063,2978,2687,72,123,21,0,0,75,25,50,85
"East Williston village, New York: Summary level: 160, state:36> place:23217",2570,2448,2370,0,0,78,0,0,0,0,0,122
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1323,1245,1219,4,0,12,0,0,10,0,10,78
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3493,3436,3423,7,0,3,0,0,3,0,3,57
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",778,756,735,0,0,9,0,0,12,0,12,22
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",14764,14619,11369,1941,2,960,0,35,312,94,218,145
"Elba village, New York: Summary level: 160, state:36> place:23745",689,655,607,6,13,0,0,0,29,0,29,34
"Elbridge village, New York: Summary level: 160, state:36> place:23789",1006,1002,983,0,9,2,0,0,8,0,8,4
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",713,713,642,18,2,8,0,0,43,0,43,0
"Ellenville village, New York: Summary level: 160, state:36> place:23965",4140,2876,2205,365,6,113,0,0,187,0,187,1264
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",259,259,259,0,0,0,0,0,0,0,0,0
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",200,198,191,1,0,0,0,0,6,0,6,2
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",2659,2659,2657,2,0,0,0,0,0,0,0,0
"Elmira city, New York: Summary level: 160, state:36> place:24229",29176,27970,22563,4121,107,103,0,10,1066,0,1066,1206
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",4167,4156,3759,131,10,84,0,0,172,0,172,11
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",35991,28238,6514,15870,14,4517,10,664,649,275,374,7753
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4709,3288,1652,929,0,582,0,10,115,0,115,1421
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",10704,9824,8076,615,0,1012,0,61,60,11,49,880
"Endicott village, New York: Summary level: 160, state:36> place:24515",13291,12655,11295,744,12,257,0,35,312,3,309,636
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",11147,10549,9973,139,12,252,22,0,151,0,151,598
"Erin CDP, New York: Summary level: 160, state:36> place:24625",367,353,347,0,0,0,0,0,6,0,6,14
"Esperance village, New York: Summary level: 160, state:36> place:24713",408,408,383,25,0,0,0,0,0,0,0,0
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",597,580,552,13,0,1,0,0,14,0,14,17
"Fabius village, New York: Summary level: 160, state:36> place:24867",377,373,372,0,0,0,0,1,0,0,0,4
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",718,702,662,8,2,7,0,0,23,0,23,16
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",10154,9779,9327,245,68,110,0,0,29,0,29,375
"Fairport village, New York: Summary level: 160, state:36> place:25076",5345,5237,4951,3,5,137,0,0,141,29,112,108
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",5392,5001,4130,773,5,32,0,0,61,5,56,391
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",2998,2052,124,1652,0,92,31,0,153,0,153,946
"Falconer village, New York: Summary level: 160, state:36> place:25164",2690,2560,2481,5,0,35,0,0,39,0,39,130
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",8205,6933,6156,98,0,583,0,20,76,0,76,1272
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",16106,13989,12967,300,0,378,0,0,344,127,217,2117
"Farnham village, New York: Summary level: 160, state:36> place:25428",347,343,321,2,20,0,0,0,0,0,0,4
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",4372,4231,3996,68,69,71,0,14,13,0,13,141
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",181,181,88,39,0,19,0,0,35,0,35,0
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",643,643,632,2,0,0,0,0,9,0,9,0
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",366,320,297,0,0,15,0,0,8,0,8,46
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",5173,4508,4404,1,0,60,0,0,43,0,43,665
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",291,291,291,0,0,0,0,0,0,0,0,0
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",40,40,40,0,0,0,0,0,0,0,0,0
"Fishkill village, New York: Summary level: 160, state:36> place:25967",2248,1946,1508,87,0,336,0,0,15,0,15,302
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",4778,2665,2148,358,0,66,0,0,93,31,62,2113
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",315,238,233,5,0,0,0,0,0,0,0,77
"Floral Park village, New York: Summary level: 160, state:36> place:26264",15988,14412,12620,497,39,958,39,16,243,30,213,1576
"Florida village, New York: Summary level: 160, state:36> place:26319",2835,2350,2052,245,0,21,0,0,32,0,32,485
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",4700,4394,3829,22,0,507,0,0,36,2,34,306
"Fonda village, New York: Summary level: 160, state:36> place:26462",746,667,599,38,0,26,0,0,4,0,4,79
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",792,599,319,0,0,280,0,0,0,0,0,193
"Forestville village, New York: Summary level: 160, state:36> place:26649",810,772,735,0,15,4,0,0,18,0,18,38
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",546,522,508,2,0,3,0,0,9,0,9,24
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",1459,1429,991,7,310,6,0,0,115,0,115,30
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",13745,11504,8589,1462,36,400,164,114,739,0,739,2241
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",3346,3308,3263,18,0,0,0,0,27,0,27,38
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",516,493,483,6,0,0,0,4,0,0,0,23
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",1318,1194,1090,70,0,12,0,0,22,6,16,124
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",2213,2151,2017,0,0,53,0,0,81,0,81,62
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",9926,9619,9058,53,17,398,0,0,93,0,93,307
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",432,432,411,21,0,0,0,0,0,0,0,0
"Frankfort village, New York: Summary level: 160, state:36> place:27188",2576,2504,2335,114,10,6,0,0,39,0,39,72
"Franklin village, New York: Summary level: 160, state:36> place:27221",354,354,352,2,0,0,0,0,0,0,0,0
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",30549,26138,21510,1363,0,2861,0,0,404,123,281,4411
"Franklinville village, New York: Summary level: 160, state:36> place:27331",1834,1758,1688,16,16,22,0,0,16,0,16,76
"Fredonia village, New York: Summary level: 160, state:36> place:27419",11077,10690,10128,208,5,278,0,11,60,0,60,387
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",495,479,479,0,0,0,0,0,0,0,0,16
"Freeport village, New York: Summary level: 160, state:36> place:27485",42976,25308,10214,12960,46,1019,10,309,750,36,714,17668
"Freeville village, New York: Summary level: 160, state:36> place:27529",572,572,550,8,0,0,0,0,14,0,14,0
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",2110,2110,2110,0,0,0,0,0,0,0,0,0
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",1050,1050,1045,0,0,0,0,0,5,0,5,0
"Fulton city, New York: Summary level: 160, state:36> place:27815",11854,11101,10938,28,18,75,0,0,42,0,42,753
"Fultonville village, New York: Summary level: 160, state:36> place:27859",672,672,629,0,0,20,0,0,23,1,22,0
"Gainesville village, New York: Summary level: 160, state:36> place:27969",250,250,240,0,0,2,0,0,8,0,8,0
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4630,4455,3917,353,19,132,0,0,34,0,34,175
"Galway village, New York: Summary level: 160, state:36> place:28101",290,284,277,0,0,0,0,0,7,0,7,6
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",4123,3944,3249,107,0,551,0,0,37,0,37,179
"Garden City village, New York: Summary level: 160, state:36> place:28178",22443,21522,20078,191,0,748,0,54,451,36,415,921
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",7666,6675,3785,135,0,2610,0,95,50,11,39,991
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",3955,3523,2954,41,0,434,0,94,0,0,0,432
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",625,569,569,0,0,0,0,0,0,0,0,56
