,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Canajoharie village, New York: Summary level: 160, state:36> place:12111",610,46188,22401.0,830,47,25,20,90,76,62,25,51,48,98,113,77,42,14,11,31
"Canandaigua city, New York: Summary level: 160, state:36> place:12144",754,42854,28597.0,4988,342,314,404,389,254,322,303,275,194,430,487,475,341,271,85,102
"Canaseraga village, New York: Summary level: 160, state:36> place:12177",720,32500,20586.0,284,18,18,32,31,36,11,36,3,0,27,14,29,0,8,21,0
"Canastota village, New York: Summary level: 160, state:36> place:12188",709,44808,23972.0,1963,156,211,103,87,28,96,134,176,54,131,134,382,147,110,14,0
"Candor village, New York: Summary level: 160, state:36> place:12210",628,60000,26850.0,314,23,19,20,9,19,15,9,4,17,22,35,55,40,4,14,9
"Canisteo village, New York: Summary level: 160, state:36> place:12254",665,40286,19466.0,914,85,61,92,30,33,96,56,39,32,85,108,87,88,14,8,0
"Canton village, New York: Summary level: 160, state:36> place:12331",691,50385,21480.0,1694,97,92,74,44,52,162,202,77,43,133,149,197,131,76,98,67
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",295,46458,28348.0,326,41,32,10,15,23,8,14,13,18,21,45,48,13,16,6,3
"Carle Place CDP, New York: Summary level: 160, state:36> place:12419",1481,86920,34388.0,1889,58,65,30,43,83,60,40,29,34,160,179,343,267,105,250,143
"Carmel Hamlet CDP, New York: Summary level: 160, state:36> place:12532",1053,97540,40312.0,2206,91,124,50,78,20,173,26,62,130,53,122,235,345,96,255,346
"Caroga Lake CDP, New York: Summary level: 160, state:36> place:12584",525,48047,27869.0,235,16,0,12,16,23,12,26,9,16,17,33,34,3,10,5,3
"Carthage village, New York: Summary level: 160, state:36> place:12683",643,38843,23030.0,1612,82,144,104,135,179,85,102,93,61,84,168,274,43,24,0,34
"Cassadaga village, New York: Summary level: 160, state:36> place:12749",675,54205,23609.0,267,13,2,29,28,12,8,5,19,0,28,52,28,20,7,16,0
"Castile village, New York: Summary level: 160, state:36> place:12771",583,52153,22792.0,419,23,21,5,26,25,50,4,15,25,39,56,81,29,12,8,0
"Castleton-on-Hudson village, New York: Summary level: 160, state:36> place:12870",906,67941,29171.0,520,22,10,6,19,16,16,36,26,11,43,84,105,37,45,28,16
"Castorland village, New York: Summary level: 160, state:36> place:12881",604,54375,20807.0,105,11,5,5,6,6,5,0,8,0,11,13,15,8,5,7,0
"Cato village, New York: Summary level: 160, state:36> place:12958",567,51000,19919.0,212,12,16,27,0,5,11,9,16,6,19,30,38,18,0,3,2
"Catskill village, New York: Summary level: 160, state:36> place:13002",893,36273,20342.0,1308,120,28,119,138,97,124,71,39,41,193,75,75,81,57,11,39
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",514,43250,22653.0,468,40,37,31,28,19,45,28,13,27,36,60,43,30,18,9,4
"Cayuga village, New York: Summary level: 160, state:36> place:13068",440,55536,25671.0,207,6,10,2,14,0,7,15,9,20,32,15,39,23,11,4,0
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",1109,81429,45633.0,1476,93,77,0,29,66,46,44,118,47,81,115,124,101,89,224,222
"Cazenovia village, New York: Summary level: 160, state:36> place:13145",791,53182,30026.0,946,105,52,65,41,35,16,23,23,74,74,52,119,112,25,46,84
"Cedarhurst village, New York: Summary level: 160, state:36> place:13233",1455,78695,33765.0,2133,26,68,143,57,62,102,29,128,54,66,170,393,223,115,224,273
"Celoron village, New York: Summary level: 160, state:36> place:13288",713,42500,20403.0,514,32,17,62,20,35,23,48,46,15,70,47,70,18,10,1,0
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",2001,97208,33513.0,10013,252,127,160,342,149,212,211,215,296,653,1007,1596,1544,1133,1305,811
"Center Moriches CDP, New York: Summary level: 160, state:36> place:13420",1503,88247,34218.0,2772,26,156,29,96,140,43,124,48,100,198,266,365,390,334,213,244
"Centerport CDP, New York: Summary level: 160, state:36> place:13442",2001,95446,48423.0,2033,31,41,73,43,55,35,92,51,40,96,221,250,213,174,245,373
"Central Bridge CDP, New York: Summary level: 160, state:36> place:13530",-666666666,36543,20314.0,174,0,43,0,0,0,15,69,16,0,12,19,0,0,0,0,0
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",1403,66643,22022.0,9834,615,461,386,318,246,368,427,560,251,817,1027,1459,981,969,559,390
"Central Square village, New York: Summary level: 160, state:36> place:13585",751,46571,25922.0,818,52,58,73,41,54,43,34,32,56,7,86,89,80,46,53,14
"Centre Island village, New York: Summary level: 160, state:36> place:13618",2001,155313,129678.0,157,6,0,2,2,10,2,4,2,1,5,0,11,15,16,22,59
"Chadwicks CDP, New York: Summary level: 160, state:36> place:13662",757,39882,24317.0,675,44,10,12,31,97,73,74,30,38,0,107,77,34,13,18,17
"Champlain village, New York: Summary level: 160, state:36> place:13739",641,32007,23220.0,461,48,45,57,31,19,46,15,26,6,49,24,41,20,9,15,10
"Chappaqua CDP, New York: Summary level: 160, state:36> place:13805",1464,96970,51690.0,494,14,0,0,27,38,43,0,10,33,42,0,47,93,51,15,81
"Chateaugay village, New York: Summary level: 160, state:36> place:13981",554,41346,24002.0,306,28,26,17,24,16,26,9,17,14,10,52,31,25,8,0,3
"Chatham village, New York: Summary level: 160, state:36> place:14003",854,46591,28765.0,698,58,50,59,31,66,9,34,35,33,37,47,87,64,18,44,26
"Chaumont village, New York: Summary level: 160, state:36> place:14036",528,43750,23450.0,242,11,16,20,30,31,4,2,7,3,14,28,35,26,4,0,11
