,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",25504,1193,249,13,24311,6048,388,21,35,620,434
"Stewart Manor village, New York: Summary level: 160, state:36> place:71267",2086,37,3,0,2049,467,50,0,0,79,58
"Port Leyden village, New York: Summary level: 160, state:36> place:59454",589,136,46,0,453,71,8,8,0,36,28
"Point Lookout CDP, New York: Summary level: 160, state:36> place:58849",988,0,0,0,988,249,20,0,0,20,20
"Roslyn Estates village, New York: Summary level: 160, state:36> place:63792",1164,40,23,3,1124,320,33,0,0,35,20
"Roslyn Heights CDP, New York: Summary level: 160, state:36> place:63814",6478,484,167,0,5994,1715,81,0,36,130,103
"Saddle Rock Estates CDP, New York: Summary level: 160, state:36> place:64441",541,0,0,0,541,198,23,0,0,61,0
"Syosset CDP, New York: Summary level: 160, state:36> place:72554",18953,618,154,7,18335,5099,177,7,0,393,366
"Wantagh CDP, New York: Summary level: 160, state:36> place:78146",17567,389,111,21,17178,4848,329,18,21,454,430
"Boonville village, New York: Summary level: 160, state:36> place:07355",1904,403,122,30,1501,341,0,30,18,22,26
"Camden village, New York: Summary level: 160, state:36> place:11847",2416,425,125,0,1991,411,7,28,0,108,34
"Utica city, New York: Summary level: 160, state:36> place:76540",55621,16248,6352,386,39373,8067,293,1047,1040,1027,1042
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",2854,547,199,17,2307,448,27,28,39,59,36
"Elbridge village, New York: Summary level: 160, state:36> place:23789",959,54,18,0,905,154,4,0,0,14,7
"Akron village, New York: Summary level: 160, state:36> place:00441",2749,138,30,12,2611,747,71,23,0,78,102
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",1367,94,18,0,1273,154,0,0,0,17,0
"Depew village, New York: Summary level: 160, state:36> place:20313",14594,1137,363,25,13457,2467,93,31,83,348,320
"East Aurora village, New York: Summary level: 160, state:36> place:21589",5701,511,194,11,5190,1261,148,6,6,117,158
"Eden CDP, New York: Summary level: 160, state:36> place:23404",3156,205,37,0,2951,648,50,0,0,10,118
"Naples village, New York: Summary level: 160, state:36> place:49429",997,195,24,2,802,124,9,0,3,17,16
"Northwest Ithaca CDP, New York: Summary level: 160, state:36> place:53853",1089,135,68,9,954,147,12,18,16,31,12
"Woodridge village, New York: Summary level: 160, state:36> place:82953",760,163,41,0,597,197,32,20,31,40,23
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",4135,197,0,0,3938,174,10,0,0,22,57
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",701,82,30,0,619,158,6,0,3,17,18
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",1456,106,23,0,1350,344,4,0,6,8,10
"Batavia city, New York: Summary level: 160, state:36> place:04715",13659,2431,815,22,11228,2369,285,153,107,409,196
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",7348,244,36,11,7104,1962,157,11,0,123,243
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",4774,141,35,0,4633,1313,64,0,0,109,91
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",3177,765,344,28,2412,589,15,44,99,42,9
"Esperance village, New York: Summary level: 160, state:36> place:24713",378,20,0,0,358,102,0,0,5,0,1
"Schoharie village, New York: Summary level: 160, state:36> place:65585",750,120,20,12,630,104,12,20,11,23,11
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",1387,204,66,11,1183,357,9,7,8,41,33
"New Berlin village, New York: Summary level: 160, state:36> place:49946",839,58,3,0,781,178,0,0,0,14,7
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",1130,255,121,20,875,223,3,11,27,27,0
"Greene village, New York: Summary level: 160, state:36> place:30411",1622,186,76,9,1436,323,44,9,0,58,67
"Munnsville village, New York: Summary level: 160, state:36> place:49220",456,75,22,0,381,96,4,4,11,18,29
"Wampsville village, New York: Summary level: 160, state:36> place:78113",518,91,2,0,427,57,0,0,0,18,3
"Brookville village, New York: Summary level: 160, state:36> place:10132",2390,50,21,0,2340,609,22,0,0,62,41
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",2772,74,11,0,2698,691,60,0,0,105,39
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",31086,1242,375,9,29844,7771,522,36,38,916,763
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",441,0,0,0,441,172,0,0,0,61,0
"Hempstead village, New York: Summary level: 160, state:36> place:33139",51711,9748,3224,174,41963,10949,998,742,668,1729,1783
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",3999,164,83,0,3835,1021,86,14,6,76,71
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",6284,394,107,9,5890,1253,90,18,9,145,171
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",6085,211,78,0,5874,1881,23,0,30,158,137
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",3486,61,18,0,3425,942,57,0,0,61,126
"North Bellmore CDP, New York: Summary level: 160, state:36> place:51517",19829,549,145,0,19280,4676,439,0,0,564,352
"North Massapequa CDP, New York: Summary level: 160, state:36> place:53253",17886,806,320,31,17080,3889,241,31,11,431,510
"Antwerp village, New York: Summary level: 160, state:36> place:02286",500,64,17,2,436,89,4,7,0,13,27
"Southampton village, New York: Summary level: 160, state:36> place:68462",2952,158,61,0,2794,411,12,0,0,64,36
"Olean city, New York: Summary level: 160, state:36> place:54716",13291,2636,591,31,10655,2381,91,39,95,303,100
"Yorkshire CDP, New York: Summary level: 160, state:36> place:84044",1185,98,39,0,1087,174,21,0,0,20,7
"Schuylerville village, New York: Summary level: 160, state:36> place:65750",1492,114,33,3,1378,348,17,9,3,50,58
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",13615,2071,502,84,11544,2270,122,31,218,295,275
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",1085,104,0,0,981,154,0,0,0,0,0
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",20015,1563,449,25,18452,4724,343,28,25,612,487
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",14308,1562,811,52,12746,3528,112,75,101,260,340
"North Bay Shore CDP, New York: Summary level: 160, state:36> place:51495",20288,2226,765,0,18062,5486,340,92,89,696,764
"North Haven village, New York: Summary level: 160, state:36> place:52188",901,27,5,0,874,174,8,0,0,16,14
"Port Jefferson village, New York: Summary level: 160, state:36> place:59355",7404,398,140,8,7006,1697,100,0,8,117,204
"Riverside CDP, New York: Summary level: 160, state:36> place:62066",892,127,0,0,765,162,59,0,0,0,59
"Selden CDP, New York: Summary level: 160, state:36> place:66212",18933,1191,391,31,17742,3907,197,32,46,424,496
"Smithtown CDP, New York: Summary level: 160, state:36> place:67851",24874,728,183,0,24146,6540,413,9,22,479,661
"Sound Beach CDP, New York: Summary level: 160, state:36> place:68374",7876,333,29,0,7543,1827,129,0,0,254,128
"Westhampton CDP, New York: Summary level: 160, state:36> place:80170",2691,339,73,0,2352,560,91,45,0,59,32
"Westhampton Beach village, New York: Summary level: 160, state:36> place:80181",1594,124,30,0,1470,243,18,0,0,47,35
"Salamanca city, New York: Summary level: 160, state:36> place:64749",5141,1338,423,20,3803,1024,99,84,97,131,185
"Poquott village, New York: Summary level: 160, state:36> place:59157",975,14,6,0,961,290,14,0,0,13,22
"Rocky Point CDP, New York: Summary level: 160, state:36> place:63319",12492,551,208,17,11941,3275,319,46,36,383,270
"Shelter Island Heights CDP, New York: Summary level: 160, state:36> place:66850",969,16,0,0,953,205,0,0,0,0,0
"Stony Brook CDP, New York: Summary level: 160, state:36> place:71608",12244,887,566,0,11357,2929,428,0,0,518,223
"Jordan village, New York: Summary level: 160, state:36> place:38825",1379,135,32,0,1244,276,12,0,4,33,49
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",3752,593,192,20,3159,555,79,47,48,94,66
"Manlius village, New York: Summary level: 160, state:36> place:45018",4425,231,0,0,4194,1011,60,0,0,133,53
"Minoa village, New York: Summary level: 160, state:36> place:47757",3232,87,40,0,3145,955,68,0,0,117,165
"Nedrow CDP, New York: Summary level: 160, state:36> place:49726",2245,326,115,0,1919,467,24,0,19,73,28
"Seneca Knolls CDP, New York: Summary level: 160, state:36> place:66366",1902,149,56,0,1753,233,15,0,0,39,76
"Castile village, New York: Summary level: 160, state:36> place:12771",912,172,78,3,740,149,11,0,26,23,18
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",814,103,43,0,711,282,12,9,0,14,14
"Tribes Hill CDP, New York: Summary level: 160, state:36> place:75341",829,21,0,0,808,178,13,0,0,54,12
"Delanson village, New York: Summary level: 160, state:36> place:20082",351,27,4,4,324,98,23,6,4,21,19
"Rotterdam CDP, New York: Summary level: 160, state:36> place:63924",19332,1632,482,10,17700,3966,232,101,50,574,483
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",3637,489,132,0,3148,436,62,80,31,247,120
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",1391,103,30,0,1288,223,2,1,3,37,46
"East Rochester village, New York: Summary level: 160, state:36> place:22865",6340,740,304,13,5600,1421,159,66,49,202,175
"Plattsburgh West CDP, New York: Summary level: 160, state:36> place:58601",1359,270,69,0,1089,196,0,0,0,15,17
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",681,8,0,0,673,230,0,0,0,0,7
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",2749,176,80,0,2573,780,94,7,7,57,94
"New Hyde Park village, New York: Summary level: 160, state:36> place:50397",9439,327,143,0,9112,2677,175,0,0,319,327
"Callicoon CDP, New York: Summary level: 160, state:36> place:11748",224,8,0,0,216,30,0,0,0,0,0
"Hillburn village, New York: Summary level: 160, state:36> place:34660",953,110,39,8,843,250,8,16,11,20,46
"Valley Cottage CDP, New York: Summary level: 160, state:36> place:76661",9029,363,160,0,8666,1783,179,104,0,265,266
"West Winfield village, New York: Summary level: 160, state:36> place:81292",738,63,12,0,675,99,9,0,0,5,11
"Red Hook village, New York: Summary level: 160, state:36> place:60895",1923,360,225,8,1563,359,7,14,0,32,21
"Thiells CDP, New York: Summary level: 160, state:36> place:73583",5085,140,34,11,4945,1262,81,11,0,120,35
"Adams Center CDP, New York: Summary level: 160, state:36> place:00232",1451,164,84,0,1287,311,0,0,0,0,0
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1343,56,0,0,1287,356,0,0,0,0,0
"Homer village, New York: Summary level: 160, state:36> place:35276",3017,232,72,19,2785,608,0,19,0,131,11
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",1949,112,17,0,1837,299,12,0,23,24,32
"Auburn city, New York: Summary level: 160, state:36> place:03078",23419,4191,1368,76,19228,3863,264,214,207,482,501
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",271,74,0,0,197,28,0,11,0,2,0
"Ovid village, New York: Summary level: 160, state:36> place:55816",512,89,29,2,423,83,3,0,2,7,15
"Valley Falls village, New York: Summary level: 160, state:36> place:76672",472,21,0,0,451,128,3,0,0,5,7
"Solvay village, New York: Summary level: 160, state:36> place:68286",6025,935,294,0,5090,907,106,53,29,193,272
"Ossining village, New York: Summary level: 160, state:36> place:55530",22360,2563,687,135,19797,4923,287,107,113,628,857
"Sands Point village, New York: Summary level: 160, state:36> place:65035",2740,50,10,4,2690,767,48,4,4,93,45
"Oneida Castle village, New York: Summary level: 160, state:36> place:54848",585,65,15,3,520,106,7,0,2,11,10
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",4330,317,12,0,4013,862,28,0,0,35,191
"Waverly village, New York: Summary level: 160, state:36> place:78806",3808,728,141,0,3080,781,64,100,9,81,147
"Tupper Lake village, New York: Summary level: 160, state:36> place:75671",3617,416,65,11,3201,674,52,0,53,60,47
"Greenport village, New York: Summary level: 160, state:36> place:30576",1784,268,24,0,1516,281,0,21,4,7,23
"Nissequogue village, New York: Summary level: 160, state:36> place:51286",1544,83,27,0,1461,388,22,0,0,44,5
"Windsor village, New York: Summary level: 160, state:36> place:82524",934,106,46,0,828,162,6,10,3,18,16
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",430,16,0,0,414,165,14,0,0,0,55
"Leicester village, New York: Summary level: 160, state:36> place:41872",502,22,0,0,480,85,4,0,0,7,15
"Barker village, New York: Summary level: 160, state:36> place:04440",562,112,38,3,450,118,6,5,20,4,5
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",695,97,22,0,598,57,0,0,0,10,0
"Stamford village, New York: Summary level: 160, state:36> place:70618",1212,253,48,0,959,211,3,7,8,27,27
"Saltaire village, New York: Summary level: 160, state:36> place:64881",8,0,0,0,8,2,0,0,0,0,0
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",219,27,5,0,192,41,5,3,0,5,11
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1767,116,38,0,1651,273,7,0,0,22,17
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",4892,896,368,0,3996,873,33,53,39,130,95
"Floral Park village, New York: Summary level: 160, state:36> place:26264",15669,385,81,0,15284,3787,226,9,0,533,335
"Freeport village, New York: Summary level: 160, state:36> place:27485",41173,5040,1781,63,36133,8425,345,216,188,1008,914
"Garden City village, New York: Summary level: 160, state:36> place:28178",20695,542,234,50,20153,5793,531,29,0,594,764
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",5476,370,85,0,5106,1353,67,15,15,175,147
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",933,14,7,7,919,94,28,0,7,14,25
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",8578,1150,525,66,7428,1468,100,66,15,244,99
"Tannersville village, New York: Summary level: 160, state:36> place:73143",992,86,34,0,906,103,0,0,0,20,42
"Painted Post village, New York: Summary level: 160, state:36> place:56088",1651,163,32,0,1488,349,49,0,20,67,40
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",1440,131,103,0,1309,406,54,0,0,0,54
"Lockport city, New York: Summary level: 160, state:36> place:43082",19378,3034,849,23,16344,3533,179,148,118,459,552
"Pelham Manor village, New York: Summary level: 160, state:36> place:57023",5430,204,54,0,5226,1915,87,0,7,180,78
"Port Chester village, New York: Summary level: 160, state:36> place:59223",28060,3303,1086,113,24757,6018,343,105,120,959,855
"Scarsdale village, New York: Summary level: 160, state:36> place:65431",17401,400,116,0,17001,5732,523,10,21,426,474
"Shrub Oak CDP, New York: Summary level: 160, state:36> place:67279",2311,199,99,0,2112,347,86,0,0,48,213
"Yonkers city, New York: Summary level: 160, state:36> place:84000",190097,29748,9346,623,160349,36964,2407,1338,1342,4785,4403
"Round Lake village, New York: Summary level: 160, state:36> place:63957",712,27,2,0,685,89,0,0,0,17,15
"Franklin village, New York: Summary level: 160, state:36> place:27221",393,55,9,0,338,71,1,5,4,5,0
"Hancock village, New York: Summary level: 160, state:36> place:31940",1050,262,64,12,788,105,4,0,15,0,17
"Westvale CDP, New York: Summary level: 160, state:36> place:81127",4685,278,80,0,4407,1111,152,38,47,192,148
"Attica village, New York: Summary level: 160, state:36> place:03001",3040,297,87,0,2743,726,77,19,37,132,94
"Gainesville village, New York: Summary level: 160, state:36> place:27969",225,44,17,6,181,28,1,3,4,4,3
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",17002,4665,1496,100,12337,2865,205,180,191,369,403
"Airmont village, New York: Summary level: 160, state:36> place:00408",8273,888,408,0,7385,2481,193,16,0,292,222
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8236,243,40,0,7993,2161,79,0,0,118,151
"Monsey CDP, New York: Summary level: 160, state:36> place:48010",19524,8154,4845,548,11370,5447,442,1064,1152,899,888
"DeRuyter village, New York: Summary level: 160, state:36> place:20390",442,104,35,0,338,56,2,0,6,11,23
"Springville village, New York: Summary level: 160, state:36> place:70442",4077,622,180,15,3455,766,55,58,42,35,68
"Tonawanda city, New York: Summary level: 160, state:36> place:74166",14463,1676,468,58,12787,2660,99,151,102,176,175
"Canastota village, New York: Summary level: 160, state:36> place:12188",4467,459,61,0,4008,939,27,0,0,151,92
"Tonawanda CDP, New York: Summary level: 160, state:36> place:74183",54743,5104,1775,92,49639,10182,586,90,199,1478,1479
"Madison village, New York: Summary level: 160, state:36> place:44424",439,31,11,0,408,60,1,6,1,26,7
"West Sand Lake CDP, New York: Summary level: 160, state:36> place:80863",2635,213,32,0,2422,440,20,37,0,41,56
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",591,167,138,5,424,180,0,7,9,18,10
"Mayville village, New York: Summary level: 160, state:36> place:46239",1130,131,27,0,999,255,9,4,3,12,33
"Webster village, New York: Summary level: 160, state:36> place:78960",5279,889,337,57,4390,878,30,39,18,120,116
"Nichols village, New York: Summary level: 160, state:36> place:51110",573,86,39,6,487,107,0,0,3,9,15
"Dexter village, New York: Summary level: 160, state:36> place:20500",943,197,53,4,746,165,17,21,10,69,19
"Nassau village, New York: Summary level: 160, state:36> place:49506",1002,64,24,0,938,186,3,4,0,41,17
"Troy city, New York: Summary level: 160, state:36> place:75484",43275,10678,4759,127,32597,7039,454,601,537,763,935
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",25442,3602,1467,99,21840,4405,371,163,121,950,587
"Johnson City village, New York: Summary level: 160, state:36> place:38748",13745,2565,1114,76,11180,2449,255,165,151,450,258
"Le Roy village, New York: Summary level: 160, state:36> place:42026",3996,407,174,9,3589,853,32,6,26,109,36
"Lisle village, New York: Summary level: 160, state:36> place:42642",211,40,14,0,171,37,0,1,6,4,2
"Mohawk village, New York: Summary level: 160, state:36> place:47823",2504,478,141,13,2026,459,21,28,24,35,39
"Port Dickinson village, New York: Summary level: 160, state:36> place:59245",1752,221,81,19,1531,378,34,16,8,22,65
"Millbrook village, New York: Summary level: 160, state:36> place:47273",1393,118,45,0,1275,267,11,0,0,24,8
"Rhinebeck village, New York: Summary level: 160, state:36> place:61346",2377,406,166,17,1971,232,22,0,34,4,28
"Greece CDP, New York: Summary level: 160, state:36> place:30279",14297,894,157,0,13403,2517,152,48,42,239,318
"Nyack village, New York: Summary level: 160, state:36> place:54100",7020,904,205,0,6116,1256,109,67,0,56,104
"Pearl River CDP, New York: Summary level: 160, state:36> place:56902",15843,578,166,12,15265,4027,230,100,0,513,477
"Suffern village, New York: Summary level: 160, state:36> place:71894",10483,837,181,0,9646,2171,290,0,17,148,402
"Star Lake CDP, New York: Summary level: 160, state:36> place:70849",759,119,35,0,640,101,4,0,0,28,32
"Palmyra village, New York: Summary level: 160, state:36> place:56187",3254,651,250,59,2603,523,26,29,99,52,70
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",3840,367,37,0,3473,808,9,40,26,129,75
"Horseheads village, New York: Summary level: 160, state:36> place:35694",6139,538,112,0,5601,1230,82,9,45,107,166
"Wellsburg village, New York: Summary level: 160, state:36> place:79081",504,144,29,2,360,67,3,4,23,8,6
"Caledonia village, New York: Summary level: 160, state:36> place:11704",2040,126,45,3,1914,429,37,19,3,54,44
"Lima village, New York: Summary level: 160, state:36> place:42323",2075,242,91,4,1833,388,34,7,0,42,74
"Pleasant Valley CDP, New York: Summary level: 160, state:36> place:58684",1322,157,15,0,1165,243,41,0,0,32,28
"Spackenkill CDP, New York: Summary level: 160, state:36> place:70035",4127,86,0,0,4041,1189,37,0,0,80,102
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",543,0,0,0,543,115,0,0,0,0,0
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",883,49,38,0,834,199,0,0,0,0,15
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",303,6,0,0,297,65,9,0,0,6,8
"Nanuet CDP, New York: Summary level: 160, state:36> place:49407",16879,922,262,40,15957,3726,355,0,40,664,496
"Orangeburg CDP, New York: Summary level: 160, state:36> place:55167",3579,298,22,5,3281,668,17,5,10,78,28
"Spring Valley village, New York: Summary level: 160, state:36> place:70420",30172,7741,3155,258,22431,7021,343,553,800,950,929
"Scotchtown CDP, New York: Summary level: 160, state:36> place:65882",8779,929,265,0,7850,1964,144,18,9,356,224
"Harriman village, New York: Summary level: 160, state:36> place:32325",2842,262,111,0,2580,725,50,5,16,112,40
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",20079,9155,5688,518,10924,6437,551,1136,1410,1402,1193
"Orange Lake CDP, New York: Summary level: 160, state:36> place:55189",5914,411,163,45,5503,1117,102,106,0,94,99
"Waterville village, New York: Summary level: 160, state:36> place:78663",1452,153,26,3,1299,277,26,14,6,43,41
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",277,35,7,0,242,35,2,0,3,4,3
"Black River village, New York: Summary level: 160, state:36> place:06794",1165,98,37,5,1067,251,10,4,13,26,36
"Carthage village, New York: Summary level: 160, state:36> place:12683",3095,743,197,23,2352,707,70,0,35,89,173
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",337,29,0,0,308,45,0,0,0,22,0
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",625,185,55,0,440,24,0,0,0,34,0
"Delhi village, New York: Summary level: 160, state:36> place:20126",1528,373,161,0,1155,209,9,2,26,11,20
"Morristown village, New York: Summary level: 160, state:36> place:48571",284,59,9,2,225,32,4,2,4,6,5
"Keeseville CDP, New York: Summary level: 160, state:36> place:39089",2877,440,142,4,2437,510,36,25,7,67,44
"Salem CDP, New York: Summary level: 160, state:36> place:64771",645,82,19,3,563,59,3,3,3,8,52
"Copake Hamlet CDP, New York: Summary level: 160, state:36> place:18118",221,7,0,0,214,19,0,0,0,0,0
"Wells CDP, New York: Summary level: 160, state:36> place:79048",632,50,22,0,582,118,8,0,0,32,10
"Thendara CDP, New York: Summary level: 160, state:36> place:73495",66,0,0,0,66,0,0,0,0,0,0
"Randolph CDP, New York: Summary level: 160, state:36> place:60576",1101,182,49,0,919,232,19,5,0,26,54
"Virgil CDP, New York: Summary level: 160, state:36> place:77585",489,81,42,6,408,131,8,12,12,0,14
"Edwards CDP, New York: Summary level: 160, state:36> place:23635",407,60,14,2,347,77,16,3,3,8,14
"Taconic Shores CDP, New York: Summary level: 160, state:36> place:73057",569,27,0,0,542,128,23,0,0,0,81
"Hermon CDP, New York: Summary level: 160, state:36> place:34165",396,89,25,4,307,76,4,0,4,2,4
"Herrings CDP, New York: Summary level: 160, state:36> place:34220",110,0,0,0,110,7,0,0,0,0,2
"Macedon CDP, New York: Summary level: 160, state:36> place:44149",1953,107,9,0,1846,376,30,0,0,30,38
"Barneveld CDP, New York: Summary level: 160, state:36> place:04528",305,18,13,0,287,53,0,7,0,2,5
"Port Henry CDP, New York: Summary level: 160, state:36> place:59333",1082,139,22,7,943,146,32,7,6,35,21
"West Haverstraw village, New York: Summary level: 160, state:36> place:80203",9683,1099,414,74,8584,2357,82,156,45,231,327
"Tappan CDP, New York: Summary level: 160, state:36> place:73154",6853,148,38,0,6705,1817,74,0,0,101,123
"Wesley Hills village, New York: Summary level: 160, state:36> place:79174",5332,498,308,0,4834,1774,206,106,0,292,395
"Norfolk CDP, New York: Summary level: 160, state:36> place:51319",1382,225,93,25,1157,307,43,0,33,26,36
"Poughkeepsie city, New York: Summary level: 160, state:36> place:59641",28548,5652,1945,146,22896,5615,321,248,309,635,712
"Tivoli village, New York: Summary level: 160, state:36> place:74023",1100,278,238,0,822,230,34,0,0,29,5
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",2646,210,33,0,2436,495,68,19,0,71,99
"Southport CDP, New York: Summary level: 160, state:36> place:69606",6651,739,48,0,5912,1091,64,107,43,93,72
"Yaphank CDP, New York: Summary level: 160, state:36> place:83426",5256,232,57,0,5024,1186,60,0,12,181,223
"Buchanan village, New York: Summary level: 160, state:36> place:10341",2045,141,31,0,1904,404,35,0,4,44,79
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",19255,642,121,0,18613,4569,358,14,23,611,476
"Elmsford village, New York: Summary level: 160, state:36> place:24295",4821,770,244,0,4051,934,76,28,10,131,79
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",6891,240,81,0,6651,2006,171,0,0,285,203
"Irvington village, New York: Summary level: 160, state:36> place:37803",6368,453,222,0,5915,1856,153,0,0,144,116
"South Glens Falls village, New York: Summary level: 160, state:36> place:69078",3464,415,58,0,3049,718,95,29,20,108,78
"Brushton village, New York: Summary level: 160, state:36> place:10286",442,101,8,2,341,56,0,7,4,19,1
"Burke village, New York: Summary level: 160, state:36> place:11154",211,52,17,4,159,34,0,8,0,12,3
"Amityville village, New York: Summary level: 160, state:36> place:02044",8717,736,148,0,7981,1851,254,0,133,99,365
"Babylon village, New York: Summary level: 160, state:36> place:03408",11761,405,156,32,11356,2546,253,0,48,277,292
"Central Islip CDP, New York: Summary level: 160, state:36> place:13552",30380,3587,1066,85,26793,7166,344,164,216,927,755
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",22839,1873,544,53,20966,4194,391,19,103,886,591
"Coram CDP, New York: Summary level: 160, state:36> place:18157",38626,2034,594,36,36592,9744,847,125,29,833,1064
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",13096,885,310,0,12211,3339,224,151,0,271,202
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",19586,899,130,0,18687,4650,543,0,0,506,527
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",4730,128,17,0,4602,1227,42,0,0,60,66
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",4674,384,43,0,4290,660,41,0,0,65,134
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",746,57,5,0,689,78,4,0,0,8,0
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",8044,489,102,13,7555,1861,105,0,13,259,216
"Centereach CDP, New York: Summary level: 160, state:36> place:13376",30921,1825,694,21,29096,7465,653,35,109,1009,933
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",4945,131,31,0,4814,1227,67,0,0,71,180
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",11112,492,89,0,10620,2825,219,0,0,371,174
"Candor village, New York: Summary level: 160, state:36> place:12210",618,76,25,0,542,127,18,2,0,33,24
"Crugers CDP, New York: Summary level: 160, state:36> place:19290",1310,218,48,0,1092,124,0,0,23,8,8
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",1786,91,28,0,1695,497,26,0,0,47,11
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",4334,142,16,0,4192,999,134,0,0,135,184
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",6270,264,82,0,6006,1839,112,0,0,174,95
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",2623,29,0,0,2594,525,24,0,0,58,22
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",13738,962,190,0,12776,2651,214,70,64,394,338
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",18831,1004,198,0,17827,4539,284,21,33,419,335
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",15906,515,101,0,15391,3718,238,0,0,324,395
"New Hempstead village, New York: Summary level: 160, state:36> place:50353",5138,81,27,18,5057,1846,141,18,9,242,144
"Seneca Falls CDP, New York: Summary level: 160, state:36> place:66322",5917,877,274,7,5040,998,51,21,14,93,94
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",439,72,17,0,367,133,6,20,0,16,9
