,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Clark Mills CDP, New York: Summary level: 160, state:36> place:15902",1932,302,105,20,1630,265,36,40,56,36,46
"Clarkson CDP, New York: Summary level: 160, state:36> place:15946",4516,454,164,33,4062,1212,79,59,33,13,89
"Claverack-Red Mills CDP, New York: Summary level: 160, state:36> place:16050",691,14,0,0,677,86,25,0,0,51,0
"Clayton village, New York: Summary level: 160, state:36> place:16089",1820,168,15,0,1652,426,16,28,0,75,51
"Clayville village, New York: Summary level: 160, state:36> place:16111",340,45,9,0,295,44,2,6,0,11,8
"Cleveland village, New York: Summary level: 160, state:36> place:16188",771,144,59,6,627,86,5,14,10,7,2
"Clifton Springs village, New York: Summary level: 160, state:36> place:16375",1852,244,29,4,1608,392,20,9,22,35,9
"Clinton village, New York: Summary level: 160, state:36> place:16419",2031,201,60,0,1830,466,25,0,7,52,41
"Clintondale CDP, New York: Summary level: 160, state:36> place:16452",1203,125,30,0,1078,162,0,0,0,16,69
"Clyde village, New York: Summary level: 160, state:36> place:16573",1909,320,111,16,1589,373,22,22,13,63,30
"Cobleskill village, New York: Summary level: 160, state:36> place:16628",3203,515,103,12,2688,472,37,76,0,69,39
"Cohocton village, New York: Summary level: 160, state:36> place:16727",1069,168,69,0,901,215,31,3,3,30,17
"Cohoes city, New York: Summary level: 160, state:36> place:16749",15353,2137,583,28,13216,2560,139,147,78,309,197
"Cold Brook village, New York: Summary level: 160, state:36> place:16815",311,25,7,0,286,59,9,0,0,5,9
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1686,168,20,0,1518,303,68,10,0,65,72
"Cold Spring Harbor CDP, New York: Summary level: 160, state:36> place:16958",4755,58,0,0,4697,1236,93,0,0,156,156
"Colonie village, New York: Summary level: 160, state:36> place:17332",7703,357,195,0,7346,1642,225,0,0,195,121
"Colton CDP, New York: Summary level: 160, state:36> place:17398",394,70,13,0,324,58,4,9,0,13,19
"Commack CDP, New York: Summary level: 160, state:36> place:17530",34070,993,227,9,33077,9773,531,8,13,978,804
"Conesus Hamlet CDP, New York: Summary level: 160, state:36> place:17620",280,118,35,0,162,32,0,0,0,12,12
"Conesus Lake CDP, New York: Summary level: 160, state:36> place:17622",2965,177,92,0,2788,285,29,0,0,24,22
"Congers CDP, New York: Summary level: 160, state:36> place:17739",8520,304,65,16,8216,2295,138,0,15,232,227
"Constableville village, New York: Summary level: 160, state:36> place:17882",228,18,0,0,210,26,0,0,0,16,4
"Constantia CDP, New York: Summary level: 160, state:36> place:17893",1010,172,36,0,838,71,0,0,18,37,0
"Coopers Plains CDP, New York: Summary level: 160, state:36> place:18036",428,32,32,15,396,11,0,0,29,0,0
"Cooperstown village, New York: Summary level: 160, state:36> place:18047",1976,247,108,11,1729,274,13,10,11,28,19
"Copake Lake CDP, New York: Summary level: 160, state:36> place:18124",699,34,23,0,665,153,6,0,0,0,6
"Copenhagen village, New York: Summary level: 160, state:36> place:18135",577,48,14,0,529,74,13,3,0,19,5
"Copiague CDP, New York: Summary level: 160, state:36> place:18146",21285,1574,437,0,19711,4761,181,97,16,466,583
"Coram CDP, New York: Summary level: 160, state:36> place:18157",38034,2861,924,50,35173,8623,636,77,214,1217,1035
"Corfu village, New York: Summary level: 160, state:36> place:18201",734,95,38,0,639,165,2,0,9,13,8
"Corinth village, New York: Summary level: 160, state:36> place:18212",2408,415,165,11,1993,456,19,34,20,104,87
"Corning city, New York: Summary level: 160, state:36> place:18256",10530,2049,634,77,8481,1865,133,339,112,172,171
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",2932,231,147,4,2701,711,41,5,4,40,51
"Cortland city, New York: Summary level: 160, state:36> place:18388",15532,3587,2124,129,11945,2999,143,128,111,409,306
"Cortland West CDP, New York: Summary level: 160, state:36> place:18443",1357,85,0,0,1272,344,22,0,0,11,11
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2105,0,0,0,2105,553,41,0,0,54,14
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",214,2,2,0,212,44,4,0,0,0,6
"Coxsackie village, New York: Summary level: 160, state:36> place:18718",2699,266,113,0,2433,489,19,14,0,52,108
"Cragsmoor CDP, New York: Summary level: 160, state:36> place:18762",480,25,0,0,455,46,0,0,0,0,0
"Cranberry Lake CDP, New York: Summary level: 160, state:36> place:18817",191,13,0,0,178,8,0,0,0,6,0
"Croghan village, New York: Summary level: 160, state:36> place:19070",550,46,5,0,504,118,2,4,0,16,13
