,Total,Owner occupied,Renter occupied
"Otisville village, New York: Summary level: 160, state:36> place:55673",416,305,111
"Eastchester CDP, New York: Summary level: 160, state:36> place:21809",7799,6410,1389
"East Farmingdale CDP, New York: Summary level: 160, state:36> place:21985",2007,1466,541
"East Garden City CDP, New York: Summary level: 160, state:36> place:22065",1152,787,365
"East Glenville CDP, New York: Summary level: 160, state:36> place:22084",2593,1971,622
"East Greenbush CDP, New York: Summary level: 160, state:36> place:22106",1801,1224,577
"East Hampton village, New York: Summary level: 160, state:36> place:22183",593,434,159
"East Hampton North CDP, New York: Summary level: 160, state:36> place:22200",1580,1047,533
"East Hills village, New York: Summary level: 160, state:36> place:22260",2214,2176,38
"East Islip CDP, New York: Summary level: 160, state:36> place:22315",4510,4026,484
"East Ithaca CDP, New York: Summary level: 160, state:36> place:22326",1110,565,545
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",82,75,7
"East Marion CDP, New York: Summary level: 160, state:36> place:22447",468,443,25
"East Massapequa CDP, New York: Summary level: 160, state:36> place:22480",6418,5498,920
"East Meadow CDP, New York: Summary level: 160, state:36> place:22502",12226,10640,1586
"East Moriches CDP, New York: Summary level: 160, state:36> place:22546",1946,1485,461
"East Nassau village, New York: Summary level: 160, state:36> place:22557",250,197,53
"East Northport CDP, New York: Summary level: 160, state:36> place:22612",6968,5980,988
"East Norwich CDP, New York: Summary level: 160, state:36> place:22623",924,858,66
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",8270,5211,3059
"Eastport CDP, New York: Summary level: 160, state:36> place:22810",674,464,210
"East Quogue CDP, New York: Summary level: 160, state:36> place:22832",1805,1626,179
"East Randolph CDP, New York: Summary level: 160, state:36> place:22843",191,128,63
"East Rochester village, New York: Summary level: 160, state:36> place:22865",2846,1749,1097
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",3598,2617,981
"East Shoreham CDP, New York: Summary level: 160, state:36> place:22980",2036,1914,122
"East Syracuse village, New York: Summary level: 160, state:36> place:23052",1439,685,754
"East Williston village, New York: Summary level: 160, state:36> place:23217",844,808,36
"Eatons Neck CDP, New York: Summary level: 160, state:36> place:23316",493,483,10
"Eden CDP, New York: Summary level: 160, state:36> place:23404",1298,1148,150
"Edmeston CDP, New York: Summary level: 160, state:36> place:23602",290,178,112
"Eggertsville CDP, New York: Summary level: 160, state:36> place:23701",6283,4646,1637
"Elba village, New York: Summary level: 160, state:36> place:23745",257,212,45
"Elbridge village, New York: Summary level: 160, state:36> place:23789",385,312,73
"Elizabethtown CDP, New York: Summary level: 160, state:36> place:23822",304,208,96
"Ellenville village, New York: Summary level: 160, state:36> place:23965",1478,758,720
"Ellicottville village, New York: Summary level: 160, state:36> place:24020",169,118,51
"Ellisburg village, New York: Summary level: 160, state:36> place:24075",82,54,28
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",1112,1014,98
"Elmira city, New York: Summary level: 160, state:36> place:24229",11001,5290,5711
"Elmira Heights village, New York: Summary level: 160, state:36> place:24251",1782,841,941
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",9697,7565,2132
"Elmsford village, New York: Summary level: 160, state:36> place:24295",1546,757,789
"Elwood CDP, New York: Summary level: 160, state:36> place:24405",3508,3260,248
"Endicott village, New York: Summary level: 160, state:36> place:24515",6077,2648,3429
"Endwell CDP, New York: Summary level: 160, state:36> place:24526",5122,3715,1407
"Erin CDP, New York: Summary level: 160, state:36> place:24625",177,166,11
"Esperance village, New York: Summary level: 160, state:36> place:24713",149,127,22
"Evans Mills village, New York: Summary level: 160, state:36> place:24823",242,147,95
"Fabius village, New York: Summary level: 160, state:36> place:24867",147,115,32
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",352,235,117
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",4136,3352,784
"Fairport village, New York: Summary level: 160, state:36> place:25076",2327,1758,569
"Fairview CDP (Dutchess County), New York: Summary level: 160, state:36> place:25109",1691,1229,462
"Fairview CDP (Westchester County), New York: Summary level: 160, state:36> place:25120",884,325,559
"Falconer village, New York: Summary level: 160, state:36> place:25164",1102,643,459
"Farmingdale village, New York: Summary level: 160, state:36> place:25384",3170,2193,977
"Farmingville CDP, New York: Summary level: 160, state:36> place:25417",4761,4031,730
"Farnham village, New York: Summary level: 160, state:36> place:25428",129,99,30
"Fayetteville village, New York: Summary level: 160, state:36> place:25527",2152,1516,636
"Felts Mills CDP, New York: Summary level: 160, state:36> place:25571",97,57,40
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",301,174,127
"Fire Island CDP, New York: Summary level: 160, state:36> place:25839",124,111,13
"Firthcliffe CDP, New York: Summary level: 160, state:36> place:25857",1978,1245,733
"Fishers Island CDP, New York: Summary level: 160, state:36> place:25923",121,95,26
"Fishers Landing CDP, New York: Summary level: 160, state:36> place:25934",35,35,0
"Fishkill village, New York: Summary level: 160, state:36> place:25967",997,304,693
"Flanders CDP, New York: Summary level: 160, state:36> place:26121",1413,1072,341
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",126,89,37
"Floral Park village, New York: Summary level: 160, state:36> place:26264",5519,4458,1061
"Florida village, New York: Summary level: 160, state:36> place:26319",1114,842,272
"Flower Hill village, New York: Summary level: 160, state:36> place:26352",1382,1289,93
"Fonda village, New York: Summary level: 160, state:36> place:26462",299,172,127
"Forest Home CDP, New York: Summary level: 160, state:36> place:26561",333,67,266
"Forestville village, New York: Summary level: 160, state:36> place:26649",295,201,94
"Fort Ann village, New York: Summary level: 160, state:36> place:26704",195,147,48
"Fort Covington Hamlet CDP, New York: Summary level: 160, state:36> place:26752",554,381,173
"Fort Drum CDP, New York: Summary level: 160, state:36> place:26759",3845,34,3811
"Fort Edward village, New York: Summary level: 160, state:36> place:26770",1347,981,366
"Fort Johnson village, New York: Summary level: 160, state:36> place:26880",218,177,41
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",477,342,135
"Fort Plain village, New York: Summary level: 160, state:36> place:26924",793,475,318
"Fort Salonga CDP, New York: Summary level: 160, state:36> place:26946",3335,3035,300
"Fowlerville CDP, New York: Summary level: 160, state:36> place:27133",127,91,36
"Frankfort village, New York: Summary level: 160, state:36> place:27188",1033,627,406
"Franklin village, New York: Summary level: 160, state:36> place:27221",161,78,83
"Franklin Square CDP, New York: Summary level: 160, state:36> place:27309",10010,8359,1651
"Franklinville village, New York: Summary level: 160, state:36> place:27331",741,443,298
"Fredonia village, New York: Summary level: 160, state:36> place:27419",3926,2323,1603
"Freedom Plains CDP, New York: Summary level: 160, state:36> place:27452",221,200,21
"Freeport village, New York: Summary level: 160, state:36> place:27485",13854,9107,4747
"Freeville village, New York: Summary level: 160, state:36> place:27529",236,156,80
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",940,602,338
"Friendship CDP, New York: Summary level: 160, state:36> place:27694",406,240,166
"Fulton city, New York: Summary level: 160, state:36> place:27815",4652,2450,2202
"Fultonville village, New York: Summary level: 160, state:36> place:27859",259,186,73
"Gainesville village, New York: Summary level: 160, state:36> place:27969",103,77,26
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",2121,1428,693
"Galway village, New York: Summary level: 160, state:36> place:28101",90,71,19
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",1773,882,891
"Garden City village, New York: Summary level: 160, state:36> place:28178",7409,7029,380
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",2555,2053,502
"Garden City South CDP, New York: Summary level: 160, state:36> place:28200",1313,1203,110
"Gardiner CDP, New York: Summary level: 160, state:36> place:28244",297,163,134
"Gardnertown CDP, New York: Summary level: 160, state:36> place:28310",1614,1455,159
"Gasport CDP, New York: Summary level: 160, state:36> place:28431",341,216,125
"Gates CDP, New York: Summary level: 160, state:36> place:28453",2012,1809,203
"Geneseo village, New York: Summary level: 160, state:36> place:28618",1808,845,963
"Geneva city, New York: Summary level: 160, state:36> place:28640",4736,2368,2368
"Germantown CDP, New York: Summary level: 160, state:36> place:28761",323,258,65
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",181,153,28
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",150,105,45
"Gilgo CDP, New York: Summary level: 160, state:36> place:28990",95,95,0
"Glasco CDP, New York: Summary level: 160, state:36> place:29014",887,634,253
"Glen Aubrey CDP, New York: Summary level: 160, state:36> place:29058",149,95,54
"Glen Cove city, New York: Summary level: 160, state:36> place:29113",9445,5136,4309
"Glen Head CDP, New York: Summary level: 160, state:36> place:29245",1624,1396,228
"Glen Park village, New York: Summary level: 160, state:36> place:29322",169,124,45
"Glens Falls city, New York: Summary level: 160, state:36> place:29333",6662,3529,3133
"Glens Falls North CDP, New York: Summary level: 160, state:36> place:29338",3898,2493,1405
"Glenwood Landing CDP, New York: Summary level: 160, state:36> place:29421",1339,1182,157
"Gloversville city, New York: Summary level: 160, state:36> place:29443",6379,2899,3480
"Golden's Bridge CDP, New York: Summary level: 160, state:36> place:29476",608,592,16
"Gordon Heights CDP, New York: Summary level: 160, state:36> place:29509",1174,747,427
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",277,209,68
"Goshen village, New York: Summary level: 160, state:36> place:29542",2136,1117,1019
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",1631,833,798
"Gowanda village, New York: Summary level: 160, state:36> place:29630",1096,671,425
"Grand View-on-Hudson village, New York: Summary level: 160, state:36> place:29872",142,107,35
"Grandyle Village CDP, New York: Summary level: 160, state:36> place:29894",1879,1614,265
"Granville village, New York: Summary level: 160, state:36> place:30026",1031,569,462
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",382,270,112
"Great Neck village, New York: Summary level: 160, state:36> place:30169",3373,2556,817
"Great Neck Estates village, New York: Summary level: 160, state:36> place:30191",941,829,112
"Great Neck Gardens CDP, New York: Summary level: 160, state:36> place:30202",352,352,0
"Great Neck Plaza village, New York: Summary level: 160, state:36> place:30213",3383,1654,1729
"Great River CDP, New York: Summary level: 160, state:36> place:30235",519,486,33
"Greece CDP, New York: Summary level: 160, state:36> place:30279",6292,4769,1523
"Greene village, New York: Summary level: 160, state:36> place:30411",709,373,336
"Green Island village, New York: Summary level: 160, state:36> place:30521",1026,320,706
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",4615,3722,893
"Greenport village, New York: Summary level: 160, state:36> place:30576",917,450,467
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",887,691,196
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",296,210,86
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",330,214,116
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",2339,2212,127
"Greenwich village, New York: Summary level: 160, state:36> place:30675",843,418,425
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",1195,894,301
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",85,85,0
"Groton village, New York: Summary level: 160, state:36> place:30961",1049,680,369
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",97,81,16
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",112,78,34
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",411,302,109
"Hagaman village, New York: Summary level: 160, state:36> place:31291",516,423,93
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",244,179,65
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",1050,894,156
"Hall CDP, New York: Summary level: 160, state:36> place:31533",79,74,5
"Hamburg village, New York: Summary level: 160, state:36> place:31643",4112,2877,1235
"Hamilton village, New York: Summary level: 160, state:36> place:31709",743,450,293
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",1891,1610,281
"Hammond village, New York: Summary level: 160, state:36> place:31830",127,87,40
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",342,204,138
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",5064,3737,1327
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",982,892,90
"Hancock village, New York: Summary level: 160, state:36> place:31940",401,269,132
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",490,391,99
"Hannibal village, New York: Summary level: 160, state:36> place:32017",270,226,44
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",161,161,0
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",490,481,9
"Harriman village, New York: Summary level: 160, state:36> place:32325",1070,659,411
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",2126,1782,344
"Harrison village, New York: Summary level: 160, state:36> place:32402",8350,5444,2906
"Harrisville village, New York: Summary level: 160, state:36> place:32424",239,151,88
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",2540,1815,725
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",230,160,70
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",2938,2070,868
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",7234,6272,962
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",3640,1763,1877
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",1488,1200,288
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",1564,1341,223
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",473,439,34
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",191,191,0
"Hempstead village, New York: Summary level: 160, state:36> place:33139",16182,6444,9738
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",76,50,26
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",2496,2190,306
"Herkimer village, New York: Summary level: 160, state:36> place:34121",3349,1488,1861
"Hermon village, New York: Summary level: 160, state:36> place:34165",150,115,35
"Herricks CDP, New York: Summary level: 160, state:36> place:34198",1297,1262,35
"Herrings village, New York: Summary level: 160, state:36> place:34220",29,28,1
"Heuvelton village, New York: Summary level: 160, state:36> place:34264",275,197,78
"Hewlett CDP, New York: Summary level: 160, state:36> place:34286",2316,2066,250
"Hewlett Bay Park village, New York: Summary level: 160, state:36> place:34297",145,143,2
"Hewlett Harbor village, New York: Summary level: 160, state:36> place:34308",397,385,12
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",131,129,2
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",13426,11371,2055
"High Falls CDP, New York: Summary level: 160, state:36> place:34451",340,249,91
"Highland CDP, New York: Summary level: 160, state:36> place:34484",2308,1390,918
"Highland Falls village, New York: Summary level: 160, state:36> place:34495",1718,732,986
"Hillburn village, New York: Summary level: 160, state:36> place:34660",280,204,76
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",2004,1808,196
"Hillside CDP, New York: Summary level: 160, state:36> place:34786",293,288,5
"Hillside Lake CDP, New York: Summary level: 160, state:36> place:34803",366,349,17
"Hilton village, New York: Summary level: 160, state:36> place:34847",2248,1546,702
"Hobart village, New York: Summary level: 160, state:36> place:34979",203,120,83
"Holbrook CDP, New York: Summary level: 160, state:36> place:35056",9215,7195,2020
"Holland CDP, New York: Summary level: 160, state:36> place:35111",456,322,134
"Holland Patent village, New York: Summary level: 160, state:36> place:35144",154,118,36
"Holley village, New York: Summary level: 160, state:36> place:35155",880,500,380
"Holtsville CDP, New York: Summary level: 160, state:36> place:35254",6610,5430,1180
"Homer village, New York: Summary level: 160, state:36> place:35276",1339,971,368
"Honeoye CDP, New York: Summary level: 160, state:36> place:35353",250,193,57
"Honeoye Falls village, New York: Summary level: 160, state:36> place:35364",1198,749,449
"Hoosick Falls village, New York: Summary level: 160, state:36> place:35474",1326,785,541
"Hopewell Junction CDP, New York: Summary level: 160, state:36> place:35573",195,184,11
"Hornell city, New York: Summary level: 160, state:36> place:35672",3637,1886,1751
"Horseheads village, New York: Summary level: 160, state:36> place:35694",3059,1832,1227
"Horseheads North CDP, New York: Summary level: 160, state:36> place:35710",1159,885,274
"Hortonville CDP, New York: Summary level: 160, state:36> place:35738",67,28,39
"Houghton CDP, New York: Summary level: 160, state:36> place:35771",278,158,120
"Hudson city, New York: Summary level: 160, state:36> place:35969",2937,1129,1808
"Hudson Falls village, New York: Summary level: 160, state:36> place:35980",2987,1789,1198
"Hunt CDP, New York: Summary level: 160, state:36> place:36156",26,22,4
"Hunter village, New York: Summary level: 160, state:36> place:36167",218,151,67
"Huntington CDP, New York: Summary level: 160, state:36> place:36233",7051,5807,1244
"Huntington Bay village, New York: Summary level: 160, state:36> place:37022",569,560,9
"Huntington Station CDP, New York: Summary level: 160, state:36> place:37044",10390,7221,3169
"Hurley CDP, New York: Summary level: 160, state:36> place:37132",1378,1198,180
"Hyde Park CDP, New York: Summary level: 160, state:36> place:37198",853,638,215
"Ilion village, New York: Summary level: 160, state:36> place:37275",3396,1873,1523
"Interlaken village, New York: Summary level: 160, state:36> place:37528",256,172,84
"Inwood CDP, New York: Summary level: 160, state:36> place:37583",2977,1392,1585
"Irondequoit CDP, New York: Summary level: 160, state:36> place:37737",22076,17261,4815
"Irvington village, New York: Summary level: 160, state:36> place:37803",2609,2006,603
"Islandia village, New York: Summary level: 160, state:36> place:37840",1005,937,68
"Island Park village, New York: Summary level: 160, state:36> place:37847",1691,1112,579
"Islip CDP, New York: Summary level: 160, state:36> place:37869",6334,5242,1092
"Islip Terrace CDP, New York: Summary level: 160, state:36> place:38022",1744,1470,274
"Ithaca city, New York: Summary level: 160, state:36> place:38077",9944,2677,7267
"Jamesport CDP, New York: Summary level: 160, state:36> place:38253",549,479,70
"Jamestown city, New York: Summary level: 160, state:36> place:38264",13351,6623,6728
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",914,766,148
"Jefferson Heights CDP, New York: Summary level: 160, state:36> place:38451",379,160,219
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",5296,4785,511
"Jeffersonville village, New York: Summary level: 160, state:36> place:38506",123,83,40
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",4566,3816,750
"Johnson City village, New York: Summary level: 160, state:36> place:38748",6490,3594,2896
"Johnstown city, New York: Summary level: 160, state:36> place:38781",3763,2145,1618
"Jordan village, New York: Summary level: 160, state:36> place:38825",494,354,140
"Kaser village, New York: Summary level: 160, state:36> place:38934",964,66,898
"Katonah CDP, New York: Summary level: 160, state:36> place:38946",604,392,212
"Keeseville village, New York: Summary level: 160, state:36> place:39089",810,534,276
"Kenmore village, New York: Summary level: 160, state:36> place:39232",6890,4566,2324
"Kennedy CDP, New York: Summary level: 160, state:36> place:39243",184,129,55
"Kensington village, New York: Summary level: 160, state:36> place:39309",397,389,8
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",673,581,92
"Keuka Park CDP, New York: Summary level: 160, state:36> place:39463",77,68,9
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",571,478,93
"Kings Park CDP, New York: Summary level: 160, state:36> place:39672",6128,5005,1123
"Kings Point village, New York: Summary level: 160, state:36> place:39694",1347,1247,100
"Kingston city, New York: Summary level: 160, state:36> place:39727",9883,4616,5267
"Kiryas Joel village, New York: Summary level: 160, state:36> place:39853",3716,1251,2465
"Kysorville CDP, New York: Summary level: 160, state:36> place:40175",28,22,6
"Lackawanna city, New York: Summary level: 160, state:36> place:40189",8214,4754,3460
"Lacona village, New York: Summary level: 160, state:36> place:40200",265,201,64
"La Fargeville CDP, New York: Summary level: 160, state:36> place:40233",173,146,27
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",2763,2460,303
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",1544,1290,254
"Lake George village, New York: Summary level: 160, state:36> place:40508",406,245,161
"Lake Grove village, New York: Summary level: 160, state:36> place:40530",3631,2956,675
"Lake Katrine CDP, New York: Summary level: 160, state:36> place:40585",843,527,316
"Lakeland CDP, New York: Summary level: 160, state:36> place:40607",1149,1026,123
"Lake Luzerne CDP, New York: Summary level: 160, state:36> place:40651",398,322,76
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",1989,1474,515
"Lake Placid village, New York: Summary level: 160, state:36> place:40761",1326,506,820
"Lake Ronkonkoma CDP, New York: Summary level: 160, state:36> place:40838",6723,4940,1783
"Lake Success village, New York: Summary level: 160, state:36> place:40937",827,807,20
"Lakeview CDP, New York: Summary level: 160, state:36> place:41003",1502,1235,267
"Lakeville CDP, New York: Summary level: 160, state:36> place:41036",240,141,99
"Lakewood village, New York: Summary level: 160, state:36> place:41069",1309,917,392
"Lancaster village, New York: Summary level: 160, state:36> place:41135",4303,3086,1217
"Lansing village, New York: Summary level: 160, state:36> place:41223",1673,494,1179
"Larchmont village, New York: Summary level: 160, state:36> place:41333",2228,1622,606
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",613,545,68
"Laurel CDP, New York: Summary level: 160, state:36> place:41465",449,422,27
"Laurel Hollow village, New York: Summary level: 160, state:36> place:41487",530,527,3
"Laurens village, New York: Summary level: 160, state:36> place:41520",97,56,41
"Lawrence village, New York: Summary level: 160, state:36> place:41553",2045,1782,263
"Leeds CDP, New York: Summary level: 160, state:36> place:41784",132,102,30
"Leicester village, New York: Summary level: 160, state:36> place:41872",204,155,49
"Le Roy village, New York: Summary level: 160, state:36> place:42026",1614,1055,559
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",16785,15253,1532
"Lewiston village, New York: Summary level: 160, state:36> place:42147",1268,938,330
"Liberty village, New York: Summary level: 160, state:36> place:42224",1763,654,1109
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",1103,1048,55
"Lima village, New York: Summary level: 160, state:36> place:42323",891,590,301
"Lime Lake CDP, New York: Summary level: 160, state:36> place:42345",217,168,49
"Limestone CDP, New York: Summary level: 160, state:36> place:42378",130,82,48
"Lincolndale CDP, New York: Summary level: 160, state:36> place:42455",410,367,43
"Lincoln Park CDP, New York: Summary level: 160, state:36> place:42488",1154,572,582
"Lindenhurst village, New York: Summary level: 160, state:36> place:42554",8983,7209,1774
"Linwood CDP, New York: Summary level: 160, state:36> place:42609",33,33,0
"Lisle village, New York: Summary level: 160, state:36> place:42642",122,92,30
"Little Falls city, New York: Summary level: 160, state:36> place:42741",2310,1251,1059
"Little Valley village, New York: Summary level: 160, state:36> place:42829",440,272,168
"Liverpool village, New York: Summary level: 160, state:36> place:42884",1110,742,368
"Livingston Manor CDP, New York: Summary level: 160, state:36> place:42928",468,253,215
"Livonia village, New York: Summary level: 160, state:36> place:42950",596,352,244
"Livonia Center CDP, New York: Summary level: 160, state:36> place:42972",98,67,31
"Lloyd Harbor village, New York: Summary level: 160, state:36> place:43005",1085,1028,57
"Loch Sheldrake CDP, New York: Summary level: 160, state:36> place:43038",323,194,129
"Lockport city, New York: Summary level: 160, state:36> place:43082",8990,5186,3804
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",1191,943,248
"Lodi village, New York: Summary level: 160, state:36> place:43214",163,150,13
"Long Beach city, New York: Summary level: 160, state:36> place:43335",14430,8248,6182
"Long Lake CDP, New York: Summary level: 160, state:36> place:43401",171,145,26
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",959,630,329
"Lorraine CDP, New York: Summary level: 160, state:36> place:43533",78,73,5
"Lowville village, New York: Summary level: 160, state:36> place:43720",1668,1010,658
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",7121,5283,1838
"Lyncourt CDP, New York: Summary level: 160, state:36> place:43885",1879,1368,511
"Lyndonville village, New York: Summary level: 160, state:36> place:43918",341,267,74
"Lyon Mountain CDP, New York: Summary level: 160, state:36> place:43951",213,195,18
"Lyons village, New York: Summary level: 160, state:36> place:43962",1579,953,626
"Lyons Falls village, New York: Summary level: 160, state:36> place:44006",339,263,76
"Macedon village, New York: Summary level: 160, state:36> place:44149",557,471,86
"McGraw village, New York: Summary level: 160, state:36> place:44193",439,283,156
"Machias CDP, New York: Summary level: 160, state:36> place:44226",230,155,75
"Madison village, New York: Summary level: 160, state:36> place:44424",148,105,43
"Madrid CDP, New York: Summary level: 160, state:36> place:44479",259,201,58
"Mahopac CDP, New York: Summary level: 160, state:36> place:44534",2905,2217,688
"Malden-on-Hudson CDP, New York: Summary level: 160, state:36> place:44677",82,82,0
"Malone village, New York: Summary level: 160, state:36> place:44710",2482,1421,1061
"Malverne village, New York: Summary level: 160, state:36> place:44787",3033,2786,247
"Malverne Park Oaks CDP, New York: Summary level: 160, state:36> place:44792",166,166,0
"Mamaroneck village, New York: Summary level: 160, state:36> place:44831",7189,4360,2829
"Manchester village, New York: Summary level: 160, state:36> place:44853",743,608,135
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",2646,1992,654
"Manhasset Hills CDP, New York: Summary level: 160, state:36> place:44908",1198,1132,66
"Manlius village, New York: Summary level: 160, state:36> place:45018",1838,1131,707
"Mannsville village, New York: Summary level: 160, state:36> place:45073",129,108,21
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",2377,1023,1354
"Manorville CDP, New York: Summary level: 160, state:36> place:45139",4839,4153,686
"Marathon village, New York: Summary level: 160, state:36> place:45392",445,239,206
"Marcellus village, New York: Summary level: 160, state:36> place:45480",736,408,328
"Margaretville village, New York: Summary level: 160, state:36> place:45557",252,138,114
"Mariaville Lake CDP, New York: Summary level: 160, state:36> place:45573",282,282,0
"Marion CDP, New York: Summary level: 160, state:36> place:45634",648,461,187
"Marlboro CDP, New York: Summary level: 160, state:36> place:45700",1400,923,477
"Massapequa CDP, New York: Summary level: 160, state:36> place:45986",7207,6753,454
"Massapequa Park village, New York: Summary level: 160, state:36> place:45997",5500,5415,85
"Massena village, New York: Summary level: 160, state:36> place:46019",4971,2910,2061
"Mastic CDP, New York: Summary level: 160, state:36> place:46074",5180,4149,1031
"Mastic Beach village, New York: Summary level: 160, state:36> place:46085",4827,3546,1281
"Matinecock village, New York: Summary level: 160, state:36> place:46107",287,240,47
"Mattituck CDP, New York: Summary level: 160, state:36> place:46140",1795,1417,378
"Mattydale CDP, New York: Summary level: 160, state:36> place:46151",2669,1822,847
"Maybrook village, New York: Summary level: 160, state:36> place:46162",1113,580,533
"Mayfield village, New York: Summary level: 160, state:36> place:46206",313,247,66
"Mayville village, New York: Summary level: 160, state:36> place:46239",573,362,211
"Mechanicstown CDP, New York: Summary level: 160, state:36> place:46349",2669,1176,1493
"Mechanicville city, New York: Summary level: 160, state:36> place:46360",2357,894,1463
"Medford CDP, New York: Summary level: 160, state:36> place:46404",7943,6788,1155
"Medina village, New York: Summary level: 160, state:36> place:46415",2409,1330,1079
"Melrose Park CDP, New York: Summary level: 160, state:36> place:46503",904,879,25
"Melville CDP, New York: Summary level: 160, state:36> place:46514",6926,5886,1040
"Menands village, New York: Summary level: 160, state:36> place:46536",1702,618,1084
"Meridian village, New York: Summary level: 160, state:36> place:46646",113,90,23
"Merrick CDP, New York: Summary level: 160, state:36> place:46668",7033,6671,362
"Merritt Park CDP, New York: Summary level: 160, state:36> place:46750",476,402,74
"Mexico village, New York: Summary level: 160, state:36> place:46811",715,432,283
"Middleburgh village, New York: Summary level: 160, state:36> place:46866",695,432,263
"Middle Island CDP, New York: Summary level: 160, state:36> place:46976",4058,3136,922
"Middleport village, New York: Summary level: 160, state:36> place:46998",667,462,205
"Middletown city, New York: Summary level: 160, state:36> place:47042",9506,4764,4742
"Middleville village, New York: Summary level: 160, state:36> place:47108",239,195,44
"Milford village, New York: Summary level: 160, state:36> place:47229",188,135,53
"Millbrook village, New York: Summary level: 160, state:36> place:47273",701,330,371
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",3977,3697,280
"Millerton village, New York: Summary level: 160, state:36> place:47361",312,181,131
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",353,329,24
"Millport village, New York: Summary level: 160, state:36> place:47427",118,95,23
"Milton CDP (Saratoga County), New York: Summary level: 160, state:36> place:47548",1228,1049,179
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",528,362,166
